dataset,model,schedule,pairs,reconstructed_rank_mismatches,max_rank_difference,max_C0_score_error,rank_source,fixed_competitors,original_entry_removed
wands,minilm,C0,25470,0,0,1.1920928955078125e-07,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet,raw C0,True
wands,minilm,C1,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet,raw C0,True
wands,minilm,C2s1,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet,raw C0,True
wands,minilm,C2s2,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet,raw C0,True
wands,minilm,C2s3,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet,raw C0,True
wands,minilm,C2s4,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet,raw C0,True
wands,minilm,C2s5,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,raw C0,True
wands,bge_base,C0,25470,0,0,1.1920928955078125e-07,phase2/results/phase2_pair_ranks/wands_bge_base_native_C0.parquet,raw C0,True
wands,bge_base,C1,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_bge_base_native_C1.parquet,raw C0,True
wands,bge_base,C2s1,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s1.parquet,raw C0,True
wands,bge_base,C2s2,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s2.parquet,raw C0,True
wands,bge_base,C2s3,25470,1,1,0.0,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s3.parquet,raw C0,True
wands,bge_base,C2s4,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s4.parquet,raw C0,True
wands,bge_base,C2s5,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s5.parquet,raw C0,True
wands,gte_modernbert,C0,25470,0,0,1.7881393432617188e-07,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C0.parquet,raw C0,True
wands,gte_modernbert,C1,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C1.parquet,raw C0,True
wands,gte_modernbert,C2s1,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s1.parquet,raw C0,True
wands,gte_modernbert,C2s2,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s2.parquet,raw C0,True
wands,gte_modernbert,C2s3,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s3.parquet,raw C0,True
wands,gte_modernbert,C2s4,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s4.parquet,raw C0,True
wands,gte_modernbert,C2s5,25470,0,0,0.0,phase2/results/phase2_pair_ranks/wands_gte_modernbert_native_C2s5.parquet,raw C0,True
esci,minilm,C0,4434,0,0,2.384185791015625e-07,phase2/results/phase2_pair_ranks/esci_minilm_native_C0.parquet,raw C0,True
esci,minilm,C1,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_minilm_native_C1.parquet,raw C0,True
esci,minilm,C2s1,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s1.parquet,raw C0,True
esci,minilm,C2s2,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s2.parquet,raw C0,True
esci,minilm,C2s3,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s3.parquet,raw C0,True
esci,minilm,C2s4,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s4.parquet,raw C0,True
esci,minilm,C2s5,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_minilm_native_C2s5.parquet,raw C0,True
esci,bge_base,C0,4434,0,0,2.384185791015625e-07,phase2/results/phase2_pair_ranks/esci_bge_base_native_C0.parquet,raw C0,True
esci,bge_base,C1,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_bge_base_native_C1.parquet,raw C0,True
esci,bge_base,C2s1,4434,0,0,0.0,phase2/results/phase2_pair_ranks/esci_bge_base_native_C2s1.parquet,raw C0,True
