dataset,model,product_id,tokens_C0,tokens_C1,tokens_C2s1,tokens_C2s2,tokens_C2s3,tokens_C2s4,tokens_C2s5,max_tokens_seven,tokenizer_cap,fully_fits,special_token_overhead
wands,minilm,0,1024,1024,1024,1024,1024,1024,1024,1024,256,False,2
wands,minilm,1,450,450,450,450,450,450,450,450,256,False,2
wands,minilm,2,378,378,378,378,378,378,378,378,256,False,2
wands,minilm,3,159,159,159,159,159,159,159,159,256,True,2
wands,minilm,4,494,494,494,494,494,494,494,494,256,False,2
wands,minilm,5,829,829,829,829,829,829,829,829,256,False,2
wands,minilm,6,836,836,836,836,836,836,836,836,256,False,2
wands,minilm,7,576,576,576,576,576,576,576,576,256,False,2
wands,minilm,8,299,299,299,299,299,299,299,299,256,False,2
wands,minilm,9,858,858,858,858,858,858,858,858,256,False,2
wands,minilm,10,532,532,532,532,532,532,532,532,256,False,2
wands,minilm,11,816,816,816,816,816,816,816,816,256,False,2
wands,minilm,12,382,382,382,382,382,382,382,382,256,False,2
wands,minilm,13,969,969,969,969,969,969,969,969,256,False,2
wands,minilm,14,440,440,440,440,440,440,440,440,256,False,2
wands,minilm,15,663,663,663,663,663,663,663,663,256,False,2
wands,minilm,16,534,534,534,534,534,534,534,534,256,False,2
wands,minilm,17,500,500,500,500,500,500,500,500,256,False,2
wands,minilm,18,409,409,409,409,409,409,409,409,256,False,2
wands,minilm,19,444,444,444,444,444,444,444,444,256,False,2
wands,minilm,20,388,388,388,388,388,388,388,388,256,False,2
wands,minilm,21,318,318,318,318,318,318,318,318,256,False,2
wands,minilm,22,279,279,279,279,279,279,279,279,256,False,2
wands,minilm,23,343,343,343,343,343,343,343,343,256,False,2
wands,minilm,24,402,402,402,402,402,402,402,402,256,False,2
wands,minilm,25,259,259,259,259,259,259,259,259,256,False,2
wands,minilm,26,525,525,525,525,525,525,525,525,256,False,2
wands,minilm,27,685,685,685,685,685,685,685,685,256,False,2
wands,minilm,28,200,200,200,200,200,200,200,200,256,True,2
wands,minilm,29,304,304,304,304,304,304,304,304,256,False,2
wands,minilm,30,688,688,688,688,688,688,688,688,256,False,2
wands,minilm,31,354,354,354,354,354,354,354,354,256,False,2
wands,minilm,32,315,315,315,315,315,315,315,315,256,False,2
wands,minilm,33,622,622,622,622,622,622,622,622,256,False,2
wands,minilm,34,544,544,544,544,544,544,544,544,256,False,2
wands,minilm,35,731,731,731,731,731,731,731,731,256,False,2
wands,minilm,36,705,705,705,705,705,705,705,705,256,False,2
wands,minilm,37,496,496,496,496,496,496,496,496,256,False,2
wands,minilm,38,180,180,180,180,180,180,180,180,256,True,2
wands,minilm,39,279,279,279,279,279,279,279,279,256,False,2
wands,minilm,40,679,679,679,679,679,679,679,679,256,False,2
wands,minilm,41,501,501,501,501,501,501,501,501,256,False,2
wands,minilm,42,249,249,249,249,249,249,249,249,256,True,2
wands,minilm,43,158,158,158,158,158,158,158,158,256,True,2
wands,minilm,44,301,301,301,301,301,301,301,301,256,False,2
wands,minilm,45,280,280,280,280,280,280,280,280,256,False,2
wands,minilm,46,286,286,286,286,286,286,286,286,256,False,2
wands,minilm,47,299,299,299,299,299,299,299,299,256,False,2
wands,minilm,48,181,181,181,181,181,181,181,181,256,True,2
wands,minilm,49,243,243,243,243,243,243,243,243,256,True,2
wands,minilm,50,389,389,389,389,389,389,389,389,256,False,2
wands,minilm,51,428,428,428,428,428,428,428,428,256,False,2
wands,minilm,52,732,732,732,732,732,732,732,732,256,False,2
wands,minilm,53,741,741,741,741,741,741,741,741,256,False,2
wands,minilm,54,811,811,811,811,811,811,811,811,256,False,2
wands,minilm,55,761,761,761,761,761,761,761,761,256,False,2
wands,minilm,56,796,796,796,796,796,796,796,796,256,False,2
wands,minilm,57,762,762,762,762,762,762,762,762,256,False,2
wands,minilm,58,351,351,351,351,351,351,351,351,256,False,2
wands,minilm,59,764,764,764,764,764,764,764,764,256,False,2
wands,minilm,60,713,713,713,713,713,713,713,713,256,False,2
