query_id,retained,newly_included,newly_omitted,absent_in_both,relevant_count,reference_recall,alternative_recall,gain_fraction,loss_fraction,net_delta,membership_change_fraction,any_membership_change,exact_zero_net_with_changes,positive_net,negative_net,dataset,model,encoder_profile,population,K,reference,alternative,control_family,rank_origin,intervention,catalog_size
0,11,1,1,26,39,0.3076923076923077,0.3076923076923077,0.02564102564102564,0.02564102564102564,0.0,0.05128205128205128,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
1,0,0,0,8,8,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
2,13,7,7,124,151,0.13245033112582782,0.13245033112582782,0.046357615894039736,0.046357615894039736,0.0,0.09271523178807947,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
3,6,2,1,46,55,0.12727272727272726,0.14545454545454545,0.03636363636363636,0.01818181818181818,0.01818181818181818,0.05454545454545454,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
4,0,1,2,20,23,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.08695652173913043,-0.043478260869565216,0.13043478260869565,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
5,7,3,2,167,179,0.05027932960893855,0.055865921787709494,0.01675977653631285,0.0111731843575419,0.00558659217877095,0.027932960893854747,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
6,1,1,1,40,43,0.046511627906976744,0.046511627906976744,0.023255813953488372,0.023255813953488372,0.0,0.046511627906976744,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
7,8,4,0,11,23,0.34782608695652173,0.5217391304347826,0.17391304347826086,0.0,0.17391304347826086,0.17391304347826086,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
8,5,0,2,18,25,0.28,0.2,0.0,0.08,-0.08,0.08,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
9,14,6,6,48,74,0.2702702702702703,0.2702702702702703,0.08108108108108109,0.08108108108108109,0.0,0.16216216216216217,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
10,10,2,1,8,21,0.5238095238095238,0.5714285714285714,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.14285714285714285,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
11,16,4,3,42,65,0.2923076923076923,0.3076923076923077,0.06153846153846154,0.046153846153846156,0.015384615384615385,0.1076923076923077,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
12,11,1,1,14,27,0.4444444444444444,0.4444444444444444,0.037037037037037035,0.037037037037037035,0.0,0.07407407407407407,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
13,11,3,3,29,46,0.30434782608695654,0.30434782608695654,0.06521739130434782,0.06521739130434782,0.0,0.13043478260869565,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
14,5,3,1,11,20,0.3,0.4,0.15,0.05,0.1,0.2,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
15,1,0,0,1,2,0.5,0.5,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
16,1,0,0,3,4,0.25,0.25,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
17,7,0,0,14,21,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
18,6,5,4,19,34,0.29411764705882354,0.3235294117647059,0.14705882352941177,0.11764705882352941,0.029411764705882353,0.2647058823529412,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
20,0,0,0,12,12,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
21,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
22,1,2,0,19,22,0.045454545454545456,0.13636363636363635,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
24,5,3,1,75,84,0.07142857142857142,0.09523809523809523,0.03571428571428571,0.011904761904761904,0.023809523809523808,0.047619047619047616,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
25,10,10,10,197,227,0.0881057268722467,0.0881057268722467,0.04405286343612335,0.04405286343612335,0.0,0.0881057268722467,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
26,8,9,7,852,876,0.017123287671232876,0.019406392694063926,0.010273972602739725,0.007990867579908675,0.00228310502283105,0.0182648401826484,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
27,1,0,0,99,100,0.01,0.01,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
28,15,5,5,150,175,0.11428571428571428,0.11428571428571428,0.02857142857142857,0.02857142857142857,0.0,0.05714285714285714,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
29,8,1,2,127,138,0.07246376811594203,0.06521739130434782,0.007246376811594203,0.014492753623188406,-0.007246376811594203,0.021739130434782608,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
30,2,1,0,85,88,0.022727272727272728,0.03409090909090909,0.011363636363636364,0.0,0.011363636363636364,0.011363636363636364,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
31,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
32,0,0,0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
33,0,1,2,122,125,0.016,0.008,0.008,0.016,-0.008,0.024,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
34,4,7,1,362,374,0.013368983957219251,0.029411764705882353,0.01871657754010695,0.00267379679144385,0.016042780748663103,0.0213903743315508,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
35,1,2,0,48,51,0.0196078431372549,0.058823529411764705,0.0392156862745098,0.0,0.0392156862745098,0.0392156862745098,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
36,6,2,0,29,37,0.16216216216216217,0.21621621621621623,0.05405405405405406,0.0,0.05405405405405406,0.05405405405405406,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
37,1,0,1,108,110,0.01818181818181818,0.00909090909090909,0.0,0.00909090909090909,-0.00909090909090909,0.00909090909090909,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
38,1,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
39,1,0,1,29,31,0.06451612903225806,0.03225806451612903,0.0,0.03225806451612903,-0.03225806451612903,0.03225806451612903,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
40,8,4,3,25,40,0.275,0.3,0.1,0.075,0.025,0.175,True,False,True,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
41,12,0,1,6,19,0.6842105263157895,0.631578947368421,0.0,0.05263157894736842,-0.05263157894736842,0.05263157894736842,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
42,1,0,1,1,3,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
43,7,2,2,11,22,0.4090909090909091,0.4090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.18181818181818182,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
44,4,1,3,25,33,0.21212121212121213,0.15151515151515152,0.030303030303030304,0.09090909090909091,-0.06060606060606061,0.12121212121212122,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
45,1,0,0,19,20,0.05,0.05,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
46,2,0,1,2,5,0.6,0.4,0.0,0.2,-0.2,0.2,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
48,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
50,1,1,1,25,28,0.07142857142857142,0.07142857142857142,0.03571428571428571,0.03571428571428571,0.0,0.07142857142857142,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
51,1,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
54,1,0,2,2,5,0.6,0.2,0.0,0.4,-0.4,0.4,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
55,0,0,1,0,1,1.0,0.0,0.0,1.0,-1.0,1.0,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
57,1,0,0,0,1,1.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
58,0,0,2,61,63,0.031746031746031744,0.0,0.0,0.031746031746031744,-0.031746031746031744,0.031746031746031744,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
59,12,8,8,15,43,0.46511627906976744,0.46511627906976744,0.18604651162790697,0.18604651162790697,0.0,0.37209302325581395,True,True,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
60,1,0,1,1,3,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
61,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
62,4,0,1,4,9,0.5555555555555556,0.4444444444444444,0.0,0.1111111111111111,-0.1111111111111111,0.1111111111111111,True,False,False,True,wands,minilm,native,historical_full,20,C0,lexical_ascending,pure complete-entry sorting,reused inherited exact ranks,catalog_wide,42994
