dataset,model,schedule,model_name,revision,profile,pooling,tokenizer_cap,query_prefix,product_prefix,implementation,precision,catalog_size,query_count,rank_source,product_embedding,query_embedding,sampled_judged_pairs,max_sample_score_error,embedding_candidates,candidates_under_tolerance
wands,minilm,C0,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_minilm_native_C0.parquet,phase2/results/embeddings/wands_minilm_native_C0_6ffb5b340d35d66f2b33.npy,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,400,2.384185791015625e-07,2,1
wands,minilm,C1,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_minilm_native_C1.parquet,phase2/results/embeddings/wands_minilm_native_C1_3ee547664d76abcf96a3.npy,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,400,1.7881393432617188e-07,1,1
wands,minilm,C2s1,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s1.parquet,phase2/results/embeddings/wands_minilm_native_C2s1_45a99b07f4ca9c5d5955.npy,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,400,1.7881393432617188e-07,1,1
wands,minilm,C2s2,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s2.parquet,phase2/results/embeddings/wands_minilm_native_C2s2_5151741b5fee5b3e0e51.npy,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,400,1.7881393432617188e-07,1,1
wands,minilm,C2s3,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s3.parquet,phase2/results/embeddings/wands_minilm_native_C2s3_aedd8c4e450966998fc9.npy,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,400,1.7881393432617188e-07,1,1
wands,minilm,C2s4,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s4.parquet,phase2/results/embeddings/wands_minilm_native_C2s4_3edebedc49da2802393b.npy,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,400,2.086162567138672e-07,1,1
wands,minilm,C2s5,sentence-transformers/all-MiniLM-L6-v2,1110a243fdf4706b3f48f1d95db1a4f5529b4d41,native,attention-mask mean,256,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_minilm_native_C2s5.parquet,phase2/results/embeddings/wands_minilm_native_C2s5_ad55c02317988c151d70.npy,phase2/results/embeddings/wands_minilm_native_queries_dd4ec9d25c9825426d5d.npy,400,1.4901161193847656e-07,1,1
wands,bge_base,C0,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_bge_base_native_C0.parquet,phase2/results/embeddings/wands_bge_base_native_C0_3a16535a80738388b384.npy,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,400,3.5762786865234375e-07,2,1
wands,bge_base,C1,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_bge_base_native_C1.parquet,phase2/results/embeddings/wands_bge_base_native_C1_b252c980dd5208f38418.npy,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,400,2.980232238769531e-07,1,1
wands,bge_base,C2s1,BAAI/bge-base-en-v1.5,a5beb1e3e68b9ab74eb54cfd186867f64f240e1a,native,CLS,512,,,phase2-encoder-v1,fp16_model_fp32_pooling,42994,480,phase2/results/phase2_pair_ranks/wands_bge_base_native_C2s1.parquet,phase2/results/embeddings/wands_bge_base_native_C2s1_99243d606aecfe6e2e17.npy,phase2/results/embeddings/wands_bge_base_native_queries_38883e33627c0c4689f6.npy,400,2.384185791015625e-07,1,1
