dataset,model,rule,status,source
wands,minilm,lexical_ascending,available,phase4/results/wands/minilm_canonical_raw_pairs.parquet
wands,minilm,lexical_descending,available,revision_evidence_20260917/experiments/wands_minilm_lexical_descending_pairs.parquet
wands,minilm,field_priority_type,available,revision_evidence_20260917/experiments/wands_minilm_field_priority_type_pairs.parquet
wands,bge_base,lexical_ascending,available,phase4/results/wands/bge_base_canonical_raw_pairs.parquet
wands,bge_base,lexical_descending,available,revision_evidence_20260917/experiments/wands_bge_base_lexical_descending_pairs.parquet
wands,bge_base,field_priority_type,available,revision_evidence_20260917/experiments/wands_bge_base_field_priority_type_pairs.parquet
wands,gte_modernbert,lexical_ascending,available,revision_evidence_20260917/experiments/wands_gte_modernbert_lexical_ascending_pairs.parquet
wands,gte_modernbert,lexical_descending,available,revision_evidence_20260917/experiments/wands_gte_modernbert_lexical_descending_pairs.parquet
wands,gte_modernbert,field_priority_type,available,revision_evidence_20260917/experiments/wands_gte_modernbert_field_priority_type_pairs.parquet
esci,minilm,lexical_ascending,available,phase4/results/esci/minilm_canonical_raw_pairs.parquet
esci,minilm,lexical_descending,available,revision_evidence_20260917/experiments/esci_minilm_lexical_descending_pairs.parquet
esci,minilm,field_priority_type,available,revision_evidence_20260917/experiments/esci_minilm_field_priority_type_pairs.parquet
esci,bge_base,lexical_ascending,available,phase4/results/esci/bge_base_canonical_raw_pairs.parquet
esci,bge_base,lexical_descending,available,revision_evidence_20260917/experiments/esci_bge_base_lexical_descending_pairs.parquet
esci,bge_base,field_priority_type,available,revision_evidence_20260917/experiments/esci_bge_base_field_priority_type_pairs.parquet
esci,gte_modernbert,lexical_ascending,available,revision_evidence_20260917/experiments/esci_gte_modernbert_lexical_ascending_pairs.parquet
esci,gte_modernbert,lexical_descending,available,revision_evidence_20260917/experiments/esci_gte_modernbert_lexical_descending_pairs.parquet
esci,gte_modernbert,field_priority_type,available,revision_evidence_20260917/experiments/esci_gte_modernbert_field_priority_type_pairs.parquet
