dataset,retriever,representation,subset,pairs,single_rank_delta_median,full_rank_delta_median,single_improved_fraction,single_worsened_fraction,single_crossing@20,full_crossing@20
wands,minilm,M1_factual_field_sentence,highest,25470,26.0,3.0,0.6554770318021201,0.3211621515508441,0.0970946211228896,0.0690223792697291
wands,minilm,M2_normalized_attributes,highest,25470,-56.0,-3.0,0.3475461327051433,0.6428739693757362,0.1027090694935217,0.1153513937966234
wands,bge_base,M1_factual_field_sentence,highest,25470,-47.0,-1.0,0.216215155084413,0.7681193561052219,0.0843345111896348,0.0679230467216333
wands,bge_base,M2_normalized_attributes,highest,25470,-180.0,0.0,0.1423635649784059,0.8477424420887318,0.1012171181782489,0.1095798979191205
wands,gte_modernbert,M1_factual_field_sentence,highest,25470,-35.0,0.0,0.3077345897133883,0.6797801334903808,0.0934040047114252,0.0822928936003141
wands,gte_modernbert,M2_normalized_attributes,highest,25470,-15.0,0.0,0.3787985865724381,0.6010208087946604,0.0847663918335296,0.080015704750687
esci,minilm,M1_factual_field_sentence,highest,4434,0.0,0.0,0.3709968425800631,0.4312133513757329,0.0861524582769508,0.0784844384303112
esci,minilm,M2_normalized_attributes,highest,4434,0.0,0.0,0.3917456021650879,0.4176815516463689,0.1080288678394226,0.107126747857465
esci,bge_base,M1_factual_field_sentence,highest,4434,-1.0,0.0,0.1887686062246278,0.5942715381145692,0.0843482183130356,0.0613441587731168
esci,bge_base,M2_normalized_attributes,highest,4434,0.0,0.0,0.3204781235904375,0.4120433017591339,0.0703653585926928,0.0681100586377988
esci,gte_modernbert,M1_factual_field_sentence,highest,4434,0.0,0.0,0.3125845737483085,0.48872350022553,0.0893098782138024,0.0818673883626522
esci,gte_modernbert,M2_normalized_attributes,highest,4434,-2.0,0.0,0.1932792061344158,0.6127649977447001,0.096977898060442,0.0798376184032476
