dataset,model,support,K,contrast,observed_audit_score_error,new_crossing_pairs,pairs_with_witness_beyond_audit_error,pairs_near_observed_error,query_macro_increment,query_macro_witness_beyond_error,query_macro_near_error,interpretation
wands,minilm,full,20,16 minus 7,0.0002181828022003,278,274,4,0.03648701466927007,0.036062689140754826,0.00042432552851524093,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,minilm,full,20,32 minus 16,0.0002181828022003,248,242,6,0.037120494895033065,0.03488292623014679,0.0022375686648862772,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,minilm,full,100,16 minus 7,0.0002181828022003,429,423,6,0.059315108884463785,0.058991028894147944,0.00032407999031583635,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,minilm,full,100,32 minus 16,0.0002181828022003,374,366,8,0.049928651478905545,0.04908442065275426,0.0008442308261512831,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,minilm,common_all_fitting,20,16 minus 7,0.0002181828022003,12,12,0,0.03983613759428977,0.03983613759428977,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,minilm,common_all_fitting,20,32 minus 16,0.0002181828022003,13,13,0,0.01264649702149702,0.01264649702149702,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,minilm,common_all_fitting,100,16 minus 7,0.0002181828022003,16,16,0,0.07438115427245862,0.07438115427245862,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,minilm,common_all_fitting,100,32 minus 16,0.0002181828022003,9,9,0,0.05521619584119584,0.05521619584119584,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,bge_base,full,20,16 minus 7,0.0,174,174,0,0.03629683926582386,0.03629683926582386,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,bge_base,full,20,32 minus 16,0.0,148,148,0,0.025155442946251147,0.025155442946251147,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,bge_base,full,100,16 minus 7,0.0,268,268,0,0.02825200161988077,0.02825200161988077,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,bge_base,full,100,32 minus 16,0.0,224,224,0,0.018660360891374024,0.018660360891374024,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,bge_base,common_all_fitting,20,16 minus 7,0.0,74,74,0,0.043419653508983955,0.043419653508983955,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,bge_base,common_all_fitting,20,32 minus 16,0.0,67,67,0,0.04514902526487566,0.04514902526487566,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,bge_base,common_all_fitting,100,16 minus 7,0.0,79,79,0,0.028411014340690134,0.028411014340690134,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
wands,bge_base,common_all_fitting,100,32 minus 16,0.0,54,54,0,0.024072946938200078,0.024072946938200078,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
esci,minilm,full,20,exhaustive_target minus 7,0.0002109408378601,19,17,2,0.003361270291682841,0.0029786869431676286,0.0003825833485152123,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
esci,minilm,full,100,exhaustive_target minus 7,0.0002109408378601,4,4,0,0.0007561419134565426,0.0007561419134565426,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
esci,minilm,common_all_fitting,20,exhaustive_target minus 7,0.0002109408378601,12,11,1,0.0028692724344898256,0.002671643975991802,0.0001976284584980237,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
esci,minilm,common_all_fitting,100,exhaustive_target minus 7,0.0002109408378601,2,2,0,0.0002566425120772947,0.0002566425120772947,0.0,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
esci,bge_base,full,20,exhaustive_target minus 7,0.0001318752765655,21,20,1,0.007111016905606084,0.006443014233595396,0.000668002672010688,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
esci,bge_base,full,100,exhaustive_target minus 7,0.0001318752765655,6,5,1,0.0008665581060370639,0.0005802712466039119,0.000286286859433152,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
esci,bge_base,common_all_fitting,20,exhaustive_target minus 7,0.0001318752765655,20,19,1,0.007814680554237981,0.007131620444948365,0.0006830601092896175,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
esci,bge_base,common_all_fitting,100,exhaustive_target minus 7,0.0001318752765655,6,5,1,0.0010011647050581478,0.0006596346504133388,0.00034153005464480874,Descriptive sensitivity to largest score discrepancy over 16 hash-fixed historical products and cached queries; not a proven error bound or changed ranking tolerance.
