model,query_id,product_id,display,zero_pad_change_pearson,change_sign_agreement,zero_change_l1,pad_change_l1,both_variant_boundary_guard,all_completeness_passed
bge_base,2,24094,supplement,0.13522282670362631,0.5806451612903226,0.07033245061938942,0.07583311602138565,True,True
bge_base,26,5296,supplement,0.28930467929332315,0.6136363636363636,0.10885432922896143,0.12309226107208815,True,False
bge_base,235,28377,supplement,-0.33602602590553243,0.5,0.09211189581401413,0.060039638196030864,True,True
bge_base,235,40594,supplement,0.5772676351577571,0.5769230769230769,0.13072454493158148,0.17909242637688294,True,True
bge_base,235,7253,main_crossing,0.28766739225668403,0.6078431372549019,0.13117155556756188,0.10161166051329928,False,True
bge_base,241,13328,supplement,0.4160501139547986,0.5,0.19854522582681966,0.1305698848900647,True,True
bge_base,242,14483,supplement,0.09892331090671126,0.42857142857142855,0.1448757011039561,0.10121294111195311,True,True
bge_base,250,2598,supplement,0.3278541928374245,0.6739130434782609,0.17883327264007676,0.10789964009018149,False,True
bge_base,260,41359,main_stable_control,0.27992324941090235,0.5853658536585366,0.1048939124775643,0.09682124489700072,True,False
bge_base,408,27808,supplement,0.5031959720564327,0.7142857142857143,0.09389039688358025,0.08365567290820763,True,True
bge_base,420,13149,supplement,0.17395629792787376,0.6078431372549019,0.150652465848907,0.13084590253129136,True,True
bge_base,473,4373,supplement,0.024082002176947254,0.45161290322580644,0.16356157137852279,0.12552849076746497,True,True
minilm,2,3276,supplement,-0.4506133469541709,0.47368421052631576,0.21841556934668915,0.1891601838869974,True,True
minilm,28,35834,supplement,0.7335464925910932,0.7083333333333334,0.29616195759444963,0.19854237690742593,True,True
minilm,68,9711,supplement,0.42947835017852576,0.6666666666666666,0.6431206985362223,0.37560705004580086,True,True
minilm,86,41495,supplement,0.2896305212276718,0.5384615384615384,0.40528371524851536,0.29276127555203857,True,True
minilm,111,10165,supplement,0.3095194119455222,0.45454545454545453,0.15340750006726012,0.16791951800405513,True,True
minilm,160,8066,supplement,-0.02056013059843898,0.6190476190476191,0.21640864307119045,0.1458578171368572,True,True
minilm,184,15749,supplement,0.14447891603109367,0.5555555555555556,0.3798906169831753,0.28335235958365956,True,True
minilm,231,10873,supplement,0.4260905864023662,0.6071428571428571,0.28522233087278437,0.1984489432106784,True,True
minilm,245,4394,supplement,0.30462832950697194,0.6875,0.3548634338512784,0.18896587126073427,True,True
minilm,333,22324,supplement,-0.2527026255145872,0.35,0.25035417983599473,0.18097288827993907,True,True
minilm,359,12575,supplement_historical,0.6039237241583583,0.8571428571428571,0.19752269549644552,0.14870560386043508,True,True
minilm,415,32674,supplement,0.5727782773161663,0.5833333333333334,0.2984964291972574,0.23303545501403278,True,True
minilm,446,27022,supplement,0.5007466193024697,0.6111111111111112,0.3202143275120761,0.20943589480157243,True,True
