model,query_id,product_id,variant,entries,active_entries,zero_pad_entry_pearson,sign_agreement,absolute_entry_difference
bge_base,2,24094,maximum,32,31,0.8353169199988263,0.5161290322580645,0.2454333995920024
bge_base,2,24094,minimum,32,31,0.8361861999223223,0.6129032258064516,0.23108816151761857
bge_base,26,5296,maximum,45,44,0.9408997333846548,0.6590909090909091,0.12302083628492255
bge_base,26,5296,minimum,45,44,0.9443639672652161,0.6818181818181818,0.13815886099382624
bge_base,235,28377,maximum,25,24,0.9160548365953645,0.7083333333333334,0.24018637136759935
bge_base,235,28377,minimum,25,24,0.9247481388110885,0.625,0.19847497028604266
bge_base,235,40594,maximum,27,26,0.9455008304763566,0.6538461538461539,0.14404051080418867
bge_base,235,40594,minimum,27,26,0.9229468176780103,0.46153846153846156,0.22145221136452165
bge_base,235,7253,maximum,52,51,0.9399605907723915,0.6862745098039216,0.22490485644811997
bge_base,235,7253,minimum,52,51,0.9489203771145698,0.6666666666666666,0.1942691568619921
bge_base,241,13328,maximum,57,56,0.947329025542016,0.7321428571428571,0.2488185493311903
bge_base,241,13328,minimum,57,56,0.9639995660216972,0.6071428571428571,0.26118787373525265
bge_base,242,14483,maximum,50,49,0.9655300639343948,0.5918367346938775,0.19218554682811373
bge_base,242,14483,minimum,50,49,0.9641312498592972,0.4489795918367347,0.19971693347542896
bge_base,250,2598,maximum,47,46,0.8310776065350015,0.5652173913043478,0.2059918464437942
bge_base,250,2598,minimum,47,46,0.9380779333827105,0.6521739130434783,0.14993960660194716
bge_base,260,41359,maximum,42,41,0.9769540473995113,0.7804878048780488,0.18431768759182887
bge_base,260,41359,minimum,42,41,0.9819321401685641,0.8048780487804879,0.1766876880574273
bge_base,408,27808,maximum,29,28,0.9134293589233442,0.8214285714285714,0.19795620212426002
bge_base,408,27808,minimum,29,28,0.9219375871776188,0.6428571428571429,0.1928409666288644
bge_base,420,13149,maximum,52,51,0.9510947790059451,0.7647058823529411,0.16601030723541044
bge_base,420,13149,minimum,52,51,0.9274557777244345,0.6470588235294118,0.21701144323196786
bge_base,473,4373,maximum,32,31,0.8566493537915616,0.7419354838709677,0.22344438976506353
bge_base,473,4373,minimum,32,31,0.8461959839461547,0.5806451612903226,0.20213249645894393
minilm,2,3276,maximum,20,19,0.9364199775036638,0.6842105263157895,0.28476258381124353
minilm,2,3276,minimum,20,19,0.939650629208463,0.5789473684210527,0.31335565881454386
minilm,28,35834,maximum,25,24,0.8707186835784442,0.9583333333333334,0.26780609774868935
minilm,28,35834,minimum,25,24,0.7757790753472125,0.9583333333333334,0.3326213503460167
minilm,68,9711,maximum,34,33,0.426044707440167,0.7575757575757576,0.505404391202319
minilm,68,9711,minimum,34,33,0.4387776007928253,0.8181818181818182,0.3458129424179788
minilm,86,41495,maximum,27,26,0.8058158018607382,0.7692307692307693,0.5171589266392402
minilm,86,41495,minimum,27,26,0.8381630347620063,0.8076923076923077,0.4654939231550088
minilm,111,10165,maximum,23,22,0.848975629666033,0.7272727272727273,0.2840275455964729
minilm,111,10165,minimum,23,22,0.7521934504263376,0.6818181818181818,0.32291908909974154
minilm,160,8066,maximum,22,21,0.9704244222385601,0.8571428571428571,0.24318801803019596
minilm,160,8066,minimum,22,21,0.9763760041093372,0.8095238095238095,0.24410513587645255
minilm,184,15749,maximum,28,27,0.8168085158973776,0.6666666666666666,0.3732301939598983
minilm,184,15749,minimum,28,27,0.9128042974588368,0.6666666666666666,0.303917116332741
minilm,231,10873,maximum,29,28,0.912057102595482,0.8571428571428571,0.36850258007325465
minilm,231,10873,minimum,29,28,0.9532066449253422,0.8571428571428571,0.28588888333251816
minilm,245,4394,maximum,17,16,0.9722435953212804,0.6875,0.3167641400359571
minilm,245,4394,minimum,17,16,0.9670852745971638,0.75,0.3267124538833741
minilm,333,22324,maximum,21,20,0.9121879327020628,0.95,0.30953215562476544
minilm,333,22324,minimum,21,20,0.918588976776752,0.9,0.31372160393948434
minilm,359,12575,maximum,15,14,0.6447487372028691,1.0,0.2821615310094785
minilm,359,12575,minimum,15,14,0.6912857043931147,0.8571428571428571,0.2518786822183756
minilm,415,32674,maximum,25,24,0.9622458684463924,0.7916666666666666,0.3080012094214908
minilm,415,32674,minimum,25,24,0.948929997955318,0.8333333333333334,0.30513786964002065
minilm,446,27022,maximum,19,18,0.8170578589622983,0.9444444444444444,0.485493049985962
minilm,446,27022,minimum,19,18,0.7176339737053009,0.6666666666666666,0.632088748337992
