dataset,model,product_id,max_abs_vector_error,cosine_distance,max_abs_query_score_error,historical_replaced
wands,minilm,14926,8.677318692207336e-05,1.1920928955078125e-07,0.00013941526412963867,False
wands,minilm,33158,0.00010701350402086973,1.7881393432617188e-07,0.00013231486082077026,False
wands,minilm,343,8.068419992923737e-05,5.960464477539063e-08,9.848549962043762e-05,False
wands,minilm,5945,9.728223085403442e-05,1.1920928955078125e-07,0.00010359473526477814,False
wands,minilm,15526,0.00010558962821960449,1.7881393432617188e-07,0.00015866756439208984,False
wands,minilm,38695,8.654594421386719e-05,1.1920928955078125e-07,0.00010693073272705078,False
wands,minilm,24769,0.00012243539094924927,3.5762786865234375e-07,0.00021818280220031738,False
wands,minilm,18719,8.659437298774719e-05,1.1920928955078125e-07,0.00020870566368103027,False
wands,minilm,8970,0.00012473110109567642,3.5762786865234375e-07,0.0001496933400630951,False
wands,minilm,39196,9.961053729057312e-05,5.960464477539063e-08,0.00012522190809249878,False
wands,minilm,21945,0.0001026354730129242,2.384185791015625e-07,0.00014021992683410645,False
wands,minilm,8663,9.943172335624695e-05,2.384185791015625e-07,0.00018787384033203125,False
wands,minilm,28275,0.00013136398047208786,2.384185791015625e-07,0.0001500844955444336,False
wands,minilm,23091,0.00010919198393821716,2.384185791015625e-07,0.00014907121658325195,False
wands,minilm,42159,8.722348138689995e-05,1.7881393432617188e-07,0.0001125037670135498,False
wands,minilm,2641,0.0001206686720252037,1.7881393432617188e-07,0.0001527741551399231,False
esci,minilm,B07JN5X4XC,0.00015265494585037231,4.76837158203125e-07,0.00017982721328735352,False
esci,minilm,0848749502,0.0001303795725107193,2.384185791015625e-07,0.00018456578254699707,False
esci,minilm,B073XB8QLF,8.887611329555511e-05,1.1920928955078125e-07,0.0001292657107114792,False
esci,minilm,B0751SW3GP,0.00011138617992401123,2.384185791015625e-07,0.00013153254985809326,False
esci,minilm,B0000CBITW,0.00012519210577011108,1.1920928955078125e-07,0.00013446807861328125,False
esci,minilm,B08HR3YSSM,9.687617421150208e-05,5.960464477539063e-08,0.00011144578456878662,False
esci,minilm,B00NN3YZ48,7.375027053058147e-05,1.1920928955078125e-07,8.951127529144287e-05,False
esci,minilm,B07H3XZMQC,7.64559954404831e-05,1.1920928955078125e-07,0.00011523067951202393,False
esci,minilm,B00004SAF4,0.00012587755918502808,2.384185791015625e-07,0.00012630969285964966,False
esci,minilm,B01DF7MKQG,0.00010188156738877296,1.7881393432617188e-07,0.00011602789163589478,False
esci,minilm,B078SP9BKN,9.480863809585571e-05,1.7881393432617188e-07,0.00011167488992214203,False
esci,minilm,B01BNPLBGW,7.080286741256714e-05,0.0,0.00012862682342529297,False
esci,minilm,B000NG800S,7.81714916229248e-05,1.1920928955078125e-07,0.00010222196578979492,False
esci,minilm,B07BJ21FP8,0.00012319907546043396,2.384185791015625e-07,0.00015357136726379395,False
esci,minilm,B007G0PMAA,8.547306060791016e-05,1.1920928955078125e-07,0.00010085105895996094,False
esci,minilm,B076FNQWTF,0.00015248358249664307,4.172325134277344e-07,0.00021094083786010742,False
