query_id,query,query_type,n_judged,n_highest,cNDCG@10,RelevantRecall@10,HighestRecall@10,RelevantHidden@10,JudgedCoverage@10,cNDCG@20,RelevantRecall@20,HighestRecall@20,RelevantHidden@20,JudgedCoverage@20,cNDCG@50,RelevantRecall@50,HighestRecall@50,RelevantHidden@50,JudgedCoverage@50,RelevanceVisibilitySpearman
0,salon chair,product_type,3301,39,0.7645708157107939,0.003316749585406302,0.1794871794871795,0.8205128205128205,1.0,0.65961282936124,0.006633499170812604,0.23076923076923078,0.7692307692307692,1.0,0.5916766306482801,0.015920398009950248,0.28205128205128205,0.717948717948718,0.96,0.38970577443389226
1,smart coffee table,product_type,1436,8,0.413286545585664,0.007052186177715092,0.125,0.875,1.0,0.511288381460973,0.014104372355430184,0.125,0.875,1.0,0.6488830660044433,0.03455571227080395,0.125,0.875,0.98,0.062003412247653655
2,dinosaur,brand_entity_proxy,165,151,0.9575861412006988,0.06329113924050633,0.059602649006622516,0.9403973509933775,1.0,0.9726274804087407,0.12658227848101267,0.12582781456953643,0.8741721854304636,1.0,0.9755329782679268,0.310126582278481,0.31125827814569534,0.6887417218543046,0.98,0.21609625554103298
3,turquoise pillows,brand_entity_proxy,997,55,0.8182198962070145,0.012953367875647668,0.10909090909090909,0.8909090909090909,1.0,0.6945873138012381,0.025906735751295335,0.14545454545454545,0.8545454545454545,1.0,0.5938795638072035,0.06347150259067358,0.2545454545454545,0.7454545454545455,0.98,0.5603971218093573
4,chair and a half recliner,multi_constraint,239,23,0.43893943504566835,0.021052631578947368,0.043478260869565216,0.9565217391304348,0.4,0.4237797240997564,0.031578947368421054,0.043478260869565216,0.9565217391304348,0.3,0.5870392314993182,0.05789473684210526,0.08695652173913043,0.9130434782608696,0.22,0.4916071842987298
5,sofa with ottoman,product_type,1344,179,0.6927913446250978,0.006111535523300229,0.0223463687150838,0.9776536312849162,0.8,0.638892669501366,0.012987012987012988,0.03910614525139665,0.9608938547486033,0.85,0.6512417481002516,0.03361344537815126,0.10614525139664804,0.8938547486033519,0.88,0.4572767099082915
6,acrylic clear chair,attribute_constraint,109,43,1.0,0.10101010101010101,0.23255813953488372,0.7674418604651163,1.0,0.9557324910637985,0.16161616161616163,0.37209302325581395,0.627906976744186,0.8,0.8641252790707846,0.24242424242424243,0.5116279069767442,0.4883720930232558,0.48,0.6090885555879008
7,driftwood mirror,product_type,603,23,0.8590331472570637,0.018691588785046728,0.30434782608695654,0.6956521739130435,1.0,0.7453554149422038,0.037383177570093455,0.43478260869565216,0.5652173913043479,1.0,0.845868312795394,0.09345794392523364,0.6956521739130435,0.30434782608695654,1.0,0.42742314906332035
8,home sweet home sign,product_type,105,25,0.9537125187088151,0.10638297872340426,0.36,0.64,1.0,0.876817237394036,0.2127659574468085,0.6,0.4,1.0,0.9500631053810824,0.44680851063829785,0.92,0.07999999999999996,0.86,0.5833393582626156
9,coffee table fire pit,product_type,1516,74,0.9477344873475497,0.005960264900662252,0.10810810810810811,0.8918918918918919,0.9,0.8532519336308139,0.011258278145695364,0.17567567567567569,0.8243243243243243,0.85,0.7213832177031092,0.027152317880794703,0.3108108108108108,0.6891891891891893,0.82,0.3218465611244388
