dataset,model,method,schedule,all_judged_rank_mismatches,highest_rank_mismatches,recall20_and_coverage_saved_exact,all_support_ids_exact,max_rank_difference,all_judged_membership_mismatches_K10,highest_membership_mismatches_K10,all_judged_membership_mismatches_K20,highest_membership_mismatches_K20,all_judged_membership_mismatches_K100,highest_membership_mismatches_K100,hybrid_highest_ranks_exact,hybrid_top1000_exact
wands,minilm,raw_saved_reuse,C0,0,0,True,True,,,,,,,,,
wands,minilm,raw_saved_reuse,C1,0,0,True,True,,,,,,,,,
wands,minilm,raw_saved_reuse,C2s1,0,0,True,True,,,,,,,,,
wands,minilm,raw_saved_reuse,C2s2,0,0,True,True,,,,,,,,,
wands,minilm,raw_saved_reuse,C2s3,0,0,True,True,,,,,,,,,
wands,minilm,raw_saved_reuse,C2s4,0,0,True,True,,,,,,,,,
wands,minilm,raw_saved_reuse,C2s5,0,0,True,True,,,,,,,,,
wands,bge_base,raw_saved_reuse,C0,0,0,True,True,,,,,,,,,
wands,bge_base,raw_saved_reuse,C1,0,0,True,True,,,,,,,,,
wands,bge_base,raw_saved_reuse,C2s1,0,0,True,True,,,,,,,,,
wands,bge_base,raw_saved_reuse,C2s2,0,0,True,True,,,,,,,,,
wands,bge_base,raw_saved_reuse,C2s3,0,0,True,True,,,,,,,,,
wands,bge_base,raw_saved_reuse,C2s4,0,0,True,True,,,,,,,,,
wands,bge_base,raw_saved_reuse,C2s5,0,0,True,True,,,,,,,,,
wands,gte_modernbert,raw_saved_reuse,C0,0,0,True,True,,,,,,,,,
wands,gte_modernbert,raw_saved_reuse,C1,0,0,True,True,,,,,,,,,
wands,gte_modernbert,raw_saved_reuse,C2s1,0,0,True,True,,,,,,,,,
wands,gte_modernbert,raw_saved_reuse,C2s2,0,0,True,True,,,,,,,,,
wands,gte_modernbert,raw_saved_reuse,C2s3,0,0,True,True,,,,,,,,,
wands,gte_modernbert,raw_saved_reuse,C2s4,0,0,True,True,,,,,,,,,
wands,gte_modernbert,raw_saved_reuse,C2s5,0,0,True,True,,,,,,,,,
wands,lexical,BM25_reconstruction,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,minilm,lexical_ascending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,bge_base,lexical_ascending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,gte_modernbert,lexical_ascending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,minilm,lexical_descending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,bge_base,lexical_descending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,gte_modernbert,lexical_descending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,minilm,field_priority_type,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,bge_base,field_priority_type,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,gte_modernbert,field_priority_type,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,minilm,raw_reconstructed_for_hybrid,C0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw_hybrid_C0_all_judged,C0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,minilm,raw_reconstructed_for_hybrid,C1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw_reconstructed_for_hybrid,C2s1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw_reconstructed_for_hybrid,C2s2,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw_reconstructed_for_hybrid,C2s3,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw_reconstructed_for_hybrid,C2s4,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,minilm,raw_reconstructed_for_hybrid,C2s5,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,bge_base,raw_reconstructed_for_hybrid,C0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,bge_base,raw_hybrid_C0_all_judged,C0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
wands,bge_base,raw_reconstructed_for_hybrid,C1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,bge_base,raw_reconstructed_for_hybrid,C2s1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,bge_base,raw_reconstructed_for_hybrid,C2s2,1,0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,bge_base,raw_reconstructed_for_hybrid,C2s3,2,0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,bge_base,raw_reconstructed_for_hybrid,C2s4,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
wands,bge_base,raw_reconstructed_for_hybrid,C2s5,1,0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,minilm,raw_saved_reuse,C0,0,0,True,True,,,,,,,,,
esci,minilm,raw_saved_reuse,C1,0,0,True,True,,,,,,,,,
esci,minilm,raw_saved_reuse,C2s1,0,0,True,True,,,,,,,,,
esci,minilm,raw_saved_reuse,C2s2,0,0,True,True,,,,,,,,,
esci,minilm,raw_saved_reuse,C2s3,0,0,True,True,,,,,,,,,
esci,minilm,raw_saved_reuse,C2s4,0,0,True,True,,,,,,,,,
esci,minilm,raw_saved_reuse,C2s5,0,0,True,True,,,,,,,,,
esci,bge_base,raw_saved_reuse,C0,0,0,True,True,,,,,,,,,
esci,bge_base,raw_saved_reuse,C1,0,0,True,True,,,,,,,,,
esci,bge_base,raw_saved_reuse,C2s1,0,0,True,True,,,,,,,,,
esci,bge_base,raw_saved_reuse,C2s2,0,0,True,True,,,,,,,,,
esci,bge_base,raw_saved_reuse,C2s3,0,0,True,True,,,,,,,,,
esci,bge_base,raw_saved_reuse,C2s4,0,0,True,True,,,,,,,,,
esci,bge_base,raw_saved_reuse,C2s5,0,0,True,True,,,,,,,,,
esci,gte_modernbert,raw_saved_reuse,C0,0,0,True,True,,,,,,,,,
esci,gte_modernbert,raw_saved_reuse,C1,0,0,True,True,,,,,,,,,
esci,gte_modernbert,raw_saved_reuse,C2s1,0,0,True,True,,,,,,,,,
esci,gte_modernbert,raw_saved_reuse,C2s2,0,0,True,True,,,,,,,,,
esci,gte_modernbert,raw_saved_reuse,C2s3,0,0,True,True,,,,,,,,,
esci,gte_modernbert,raw_saved_reuse,C2s4,0,0,True,True,,,,,,,,,
esci,gte_modernbert,raw_saved_reuse,C2s5,0,0,True,True,,,,,,,,,
esci,lexical,BM25_reconstruction,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,minilm,lexical_ascending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,bge_base,lexical_ascending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,gte_modernbert,lexical_ascending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,minilm,lexical_descending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,bge_base,lexical_descending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,gte_modernbert,lexical_descending,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,minilm,field_priority_type,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,bge_base,field_priority_type,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,gte_modernbert,field_priority_type,fixed,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,minilm,raw_reconstructed_for_hybrid,C0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,minilm,raw_hybrid_C0_all_judged,C0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,minilm,raw_reconstructed_for_hybrid,C1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,minilm,raw_reconstructed_for_hybrid,C2s1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,minilm,raw_reconstructed_for_hybrid,C2s2,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,minilm,raw_reconstructed_for_hybrid,C2s3,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,minilm,raw_reconstructed_for_hybrid,C2s4,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,minilm,raw_reconstructed_for_hybrid,C2s5,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,bge_base,raw_reconstructed_for_hybrid,C0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,bge_base,raw_hybrid_C0_all_judged,C0,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
esci,bge_base,raw_reconstructed_for_hybrid,C1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,bge_base,raw_reconstructed_for_hybrid,C2s1,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,bge_base,raw_reconstructed_for_hybrid,C2s2,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,bge_base,raw_reconstructed_for_hybrid,C2s3,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,bge_base,raw_reconstructed_for_hybrid,C2s4,1,0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
esci,bge_base,raw_reconstructed_for_hybrid,C2s5,1,0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
