method,group,lr,seed,epoch,train_loss,gradient_mean,gradient_max,sample_entropy,sample_max_weight,Recall@20,Recall@100,VI@20,VI@100,Robust@100,Never@100,worst_schedule@100,cNDCG@10,invariance_max_L2
C3,C3_lr3e-05,3e-05,42,0,,0.0,0.0,3.8918254375457764,0.031115666031837463,0.5106883727542438,0.7981459316163033,0.0,0.0,0.7981459316163033,0.20185406838369668,0.7981459316163033,0.8784946872666445,1.3960891465103487e-07
C3,C3_lr3e-05,3e-05,43,0,,0.0,0.0,3.8918254375457764,0.031115666031837463,0.5106883727542438,0.7981459316163033,0.0,0.0,0.7981459316163033,0.20185406838369668,0.7981459316163033,0.8784946872666445,1.3960891465103487e-07
C3,C3_lr3e-05,3e-05,44,0,,0.0,0.0,3.8918254375457764,0.031115666031837463,0.5106883727542438,0.7981459316163033,0.0,0.0,0.7981459316163033,0.20185406838369668,0.7981459316163033,0.8784946872666445,1.3960891465103487e-07
C3,C3_lr3e-05,3e-05,42,1,0.2510603964328766,0.12233126598099868,0.3429265320301056,3.8319859504699707,0.05924011021852493,0.505396297590845,0.7888203743473599,0.0,0.0,0.7888203743473599,0.21117962565264012,0.7888203743473599,0.8737112972906438,1.27387735915363e-07
C3,C3_lr3e-05,3e-05,43,1,0.25026820092038676,0.12078010265461424,0.46974173188209534,3.830798387527466,0.05696270614862442,0.5058812509304697,0.7900547092294703,0.0,0.0,0.7900547092294703,0.20994529077052965,0.7900547092294703,0.8758057412834553,1.0937011296618948e-07
C3,C3_lr3e-05,3e-05,44,1,0.24739413731025928,0.12270900680486,0.3367970585823059,3.8199851512908936,0.056225575506687164,0.507677708149721,0.7958739551379649,0.0,0.0,0.7958739551379649,0.2041260448620351,0.7958739551379649,0.8760489910001773,1.459894463096134e-07
C3,C3_lr3e-05,3e-05,42,2,0.21631316197189418,0.33902278051457624,1.0786899328231812,2.930285930633545,0.23276039958000183,0.453595869851742,0.7687403869641248,0.0,0.0,0.7687403869641248,0.23125961303587517,0.7687403869641248,0.8451092394941379,1.318807676398137e-07
C3,C3_lr3e-05,3e-05,43,2,0.21690117206537363,0.3235894162207842,0.9560415148735046,2.932424545288086,0.21423257887363434,0.4747133297105984,0.787829764134843,0.0,0.0,0.787829764134843,0.21217023586515704,0.787829764134843,0.8529300845264386,1.4133770775970333e-07
C3,C3_lr3e-05,3e-05,44,2,0.21731365167281844,0.3091369324899984,0.7401968240737915,3.0092849731445312,0.19363045692443848,0.5267448226146654,0.7855937688008804,0.0,0.0,0.7855937688008804,0.2144062311991195,0.7855937688008804,0.8552568813306868,1.3709136226225382e-07
C3,C3_lr3e-05,3e-05,42,3,0.1803869806004293,0.6257122032005679,2.1301779747009277,2.277940273284912,0.4102573096752167,0.44164302818620405,0.7275605572178395,0.0,0.0,0.7275605572178395,0.2724394427821604,0.7275605572178395,0.8318168110009495,1.5217428028790891e-07
C3,C3_lr3e-05,3e-05,43,3,0.17894572987588067,0.6300635110361107,1.947553038597107,2.2029213905334473,0.3612401783466339,0.4624638226971668,0.7652375429897229,0.0,0.0,0.7652375429897229,0.2347624570102771,0.7652375429897229,0.8336598409512987,1.3550378241689032e-07
C3,C3_lr3e-05,3e-05,44,3,0.18077114873537511,0.6762136109173298,3.1063008308410645,2.16396427154541,0.340764582157135,0.4314067149361388,0.7478521401698058,0.0,0.0,0.7478521401698058,0.25214785983019405,0.7478521401698058,0.8363252251421468,1.1598197602324944e-07
C3,C3_lr3e-05,3e-05,42,4,0.16464398313087947,0.847860770243587,2.7009499073028564,1.9218592643737793,0.4816756844520569,0.3367879483693661,0.6401137453269402,0.0,0.0,0.6401137453269402,0.3598862546730597,0.6401137453269402,0.8038164720673536,1.683501551497102e-07
C3,C3_lr3e-05,3e-05,43,4,0.167019273577766,0.9767022329297933,4.235222339630127,1.8190536499023438,0.4689614474773407,0.41028788878499,0.7077146761833037,0.0,0.0,0.7077146761833037,0.2922853238166962,0.7077146761833037,0.8232882251336893,1.532184512598178e-07
C3,C3_lr3e-05,3e-05,44,4,0.164631265949345,0.9673679469887054,4.485405445098877,1.752919316291809,0.46383434534072876,0.381451665079384,0.6559744902613001,0.0,0.0,0.6559744902613001,0.3440255097386999,0.6559744902613001,0.819034992260696,1.518148451395973e-07
C3,C3_lr3e-05,3e-05,42,5,0.1547251297160983,1.0709230159268235,4.39643669128418,1.7101657390594482,0.5377908945083618,0.31816270335588714,0.636749205657055,0.0,0.0,0.636749205657055,0.3632507943429451,0.636749205657055,0.7965863484649764,1.5638323702660273e-07
C3,C3_lr3e-05,3e-05,43,5,0.1551228626207872,1.2201571501791477,4.599789619445801,1.555274486541748,0.5513755679130554,0.3856188828586363,0.6509602042116619,0.0,0.0,0.6509602042116619,0.3490397957883381,0.6509602042116619,0.8059816172374693,1.740220625379152e-07
C3,C3_lr3e-05,3e-05,44,5,0.15101749413279872,1.1065577812718623,4.922189235687256,1.521003007888794,0.5391230583190918,0.35500401911138835,0.6423980354858415,0.0,0.0,0.6423980354858415,0.3576019645141585,0.6423980354858415,0.8017107584722499,1.5935991370952252e-07
