dataset,method,component,failure_rate
wands,G1,new_numbers,0.21059907834101382
wands,G1,missing_numbers,0.9875576036866359
wands,G1,new_colors,0.028110599078341014
wands,G1,missing_colors,0.7069124423963133
wands,G1,new_units,0.30230414746543777
wands,G1,missing_units,0.5682027649769585
wands,G1,new_models,0.2447004608294931
wands,G1,missing_models,0.852073732718894
wands,G1,missing_attributes,0.9967741935483871
wands,G1,missing_negations,1.0
wands,G1,title_below_80pct,0.5124423963133641
wands,G1,source_conflict_present,0.832258064516129
wands,CG1,new_numbers,0.2032258064516129
wands,CG1,missing_numbers,0.9870967741935484
wands,CG1,new_colors,0.035483870967741936
wands,CG1,missing_colors,0.6870967741935484
wands,CG1,new_units,0.24516129032258063
wands,CG1,missing_units,0.6064516129032258
wands,CG1,new_models,0.2032258064516129
wands,CG1,missing_models,0.8419354838709677
wands,CG1,missing_attributes,0.9967741935483871
wands,CG1,missing_negations,1.0
wands,CG1,title_below_80pct,0.4838709677419355
wands,CG1,source_conflict_present,0.832258064516129
wands,G2,new_numbers,0.6258064516129033
wands,G2,missing_numbers,0.9972350230414746
wands,G2,new_colors,0.04331797235023042
wands,G2,missing_colors,0.7069124423963133
wands,G2,new_units,0.5622119815668203
wands,G2,missing_units,0.53963133640553
wands,G2,new_models,0.25622119815668204
wands,G2,missing_models,0.8580645161290322
wands,G2,missing_attributes,0.9995391705069124
wands,G2,missing_negations,1.0
wands,G2,title_below_80pct,0.3824884792626728
wands,G2,source_conflict_present,0.832258064516129
wands,CG2,new_numbers,0.6903225806451613
wands,CG2,missing_numbers,0.9967741935483871
wands,CG2,new_colors,0.04838709677419355
wands,CG2,missing_colors,0.6612903225806451
wands,CG2,new_units,0.5129032258064516
wands,CG2,missing_units,0.5774193548387097
wands,CG2,new_models,0.2806451612903226
wands,CG2,missing_models,0.8612903225806452
wands,CG2,missing_attributes,1.0
wands,CG2,missing_negations,1.0
wands,CG2,title_below_80pct,0.3774193548387097
wands,CG2,source_conflict_present,0.832258064516129
esci,G1,new_numbers,0.18275418275418276
esci,G1,missing_numbers,0.7567567567567568
esci,G1,new_colors,0.023166023166023165
esci,G1,missing_colors,0.2754182754182754
esci,G1,new_units,0.18275418275418276
esci,G1,missing_units,0.46332046332046334
esci,G1,new_models,0.16087516087516088
esci,G1,missing_models,0.4594594594594595
esci,G1,missing_attributes,0.8494208494208494
esci,G1,missing_negations,0.0
esci,G1,title_below_80pct,0.4247104247104247
esci,G1,source_conflict_present,0.0
esci,CG1,new_numbers,0.23423423423423423
esci,CG1,missing_numbers,0.7387387387387387
esci,CG1,new_colors,0.018018018018018018
esci,CG1,missing_colors,0.3153153153153153
esci,CG1,new_units,0.21621621621621623
esci,CG1,missing_units,0.4774774774774775
esci,CG1,new_models,0.18018018018018017
esci,CG1,missing_models,0.4594594594594595
esci,CG1,missing_attributes,0.8468468468468469
esci,CG1,missing_negations,0.0
esci,CG1,title_below_80pct,0.3963963963963964
esci,CG1,source_conflict_present,0.0
esci,G2,new_numbers,0.6589446589446589
esci,G2,missing_numbers,0.8301158301158301
esci,G2,new_colors,0.05662805662805663
esci,G2,missing_colors,0.4697554697554698
esci,G2,new_units,0.46074646074646075
esci,G2,missing_units,0.4967824967824968
esci,G2,new_models,0.23938223938223938
esci,G2,missing_models,0.5637065637065637
esci,G2,missing_attributes,0.9433719433719434
esci,G2,missing_negations,0.0
esci,G2,title_below_80pct,0.5714285714285714
esci,G2,source_conflict_present,0.0
esci,CG2,new_numbers,0.6306306306306306
esci,CG2,missing_numbers,0.8108108108108109
esci,CG2,new_colors,0.07207207207207207
esci,CG2,missing_colors,0.5495495495495496
esci,CG2,new_units,0.44144144144144143
esci,CG2,missing_units,0.5045045045045045
esci,CG2,new_models,0.21621621621621623
esci,CG2,missing_models,0.5405405405405406
esci,CG2,missing_attributes,0.9369369369369369
esci,CG2,missing_negations,0.0
esci,CG2,title_below_80pct,0.6036036036036037
esci,CG2,source_conflict_present,0.0
