dataset,model,method,K,pairs,queries,macro_inclusion
wands,bge_base,CG1,20,264,8,0.28563335139039364
wands,bge_base,CG1,100,264,8,0.3806861682918021
wands,bge_base,CG2,20,53,5,0.06714285714285714
wands,bge_base,CG2,100,53,5,0.13476190476190475
wands,bge_base,Canonical,20,21,5,0.08787878787878786
wands,bge_base,Canonical,100,21,5,0.12121212121212119
wands,bge_base,G1,20,137,7,0.18801702499181494
wands,bge_base,G1,100,137,7,0.3090833736091839
wands,bge_base,G2,20,21,5,0.09333333333333334
wands,bge_base,G2,100,21,5,0.19999999999999998
wands,bge_base,GuardCG1,20,21,5,0.08787878787878786
wands,bge_base,GuardCG1,100,21,5,0.12121212121212119
wands,bge_base,GuardCG2,20,21,5,0.08787878787878786
wands,bge_base,GuardCG2,100,21,5,0.12121212121212119
wands,bge_base,GuardG1,20,21,5,0.08787878787878786
wands,bge_base,GuardG1,100,21,5,0.12121212121212119
wands,bge_base,GuardG2,20,21,5,0.08787878787878786
wands,bge_base,GuardG2,100,21,5,0.12121212121212119
wands,minilm,CG1,20,229,8,0.08565653196085907
wands,minilm,CG1,100,229,8,0.2970199517092388
wands,minilm,CG2,20,9,2,0.0
wands,minilm,CG2,100,9,2,0.2
wands,minilm,Canonical,20,1,1,0.0
wands,minilm,Canonical,100,1,1,0.0
wands,minilm,G1,20,85,6,0.14577869795261097
wands,minilm,G1,100,85,6,0.2227283183804923
wands,minilm,G2,20,1,1,0.14285714285714285
wands,minilm,G2,100,1,1,0.42857142857142855
wands,minilm,GuardCG1,20,1,1,0.0
wands,minilm,GuardCG1,100,1,1,0.0
wands,minilm,GuardCG2,20,1,1,0.0
wands,minilm,GuardCG2,100,1,1,0.0
wands,minilm,GuardG1,20,1,1,0.0
wands,minilm,GuardG1,100,1,1,0.0
wands,minilm,GuardG2,20,1,1,0.0
wands,minilm,GuardG2,100,1,1,0.0
esci,bge_base,CG1,20,105,8,0.5098638573702512
esci,bge_base,CG1,100,105,8,0.7244063907107385
esci,bge_base,CG2,20,75,8,0.562213480963481
esci,bge_base,CG2,100,75,8,0.8090277777777778
esci,bge_base,Canonical,20,84,8,0.5680631868131869
esci,bge_base,Canonical,100,84,8,0.83871336996337
esci,bge_base,G1,20,96,8,0.5188077795220652
esci,bge_base,G1,100,96,8,0.72365293436722
esci,bge_base,G2,20,55,8,0.5514652014652015
esci,bge_base,G2,100,55,8,0.8302884615384616
esci,bge_base,GuardCG1,20,84,8,0.5680631868131869
esci,bge_base,GuardCG1,100,84,8,0.8290979853479854
esci,bge_base,GuardCG2,20,84,8,0.5680631868131869
esci,bge_base,GuardCG2,100,84,8,0.83871336996337
esci,bge_base,GuardG1,20,84,8,0.5621108058608059
esci,bge_base,GuardG1,100,84,8,0.8290979853479854
esci,bge_base,GuardG2,20,84,8,0.5680631868131869
esci,bge_base,GuardG2,100,84,8,0.83871336996337
esci,minilm,CG1,20,74,8,0.509049630924631
esci,minilm,CG1,100,74,8,0.7579278360528361
esci,minilm,CG2,20,30,8,0.5803571428571428
esci,minilm,CG2,100,30,8,0.7857142857142857
esci,minilm,Canonical,20,49,8,0.5293290043290043
esci,minilm,Canonical,100,49,8,0.7448593073593073
esci,minilm,G1,20,53,8,0.5375824572253144
esci,minilm,G1,100,53,8,0.7499613481756339
esci,minilm,G2,20,13,6,0.6111111111111112
esci,minilm,G2,100,13,6,0.7777777777777778
esci,minilm,GuardCG1,20,49,8,0.545995670995671
esci,minilm,GuardCG1,100,49,8,0.7511093073593074
esci,minilm,GuardCG2,20,49,8,0.5293290043290043
esci,minilm,GuardCG2,100,49,8,0.7448593073593073
esci,minilm,GuardG1,20,49,8,0.5249922696351268
esci,minilm,GuardG1,100,49,8,0.7377164502164502
esci,minilm,GuardG2,20,49,8,0.5293290043290043
esci,minilm,GuardG2,100,49,8,0.7448593073593073
