dataset,model,method,pairs,queries,rank_spread_median,inclusion@20_micro,inclusion@20_macro,inclusion@20_ci_low,inclusion@20_ci_high,VI@20_micro,VI@20_macro,robust_coverage@20_macro,schedule_min_inclusion@20_macro,always@20,sometimes@20,never@20,inclusion@100_micro,inclusion@100_macro,inclusion@100_ci_low,inclusion@100_ci_high,VI@100_micro,VI@100_macro,robust_coverage@100_macro,schedule_min_inclusion@100_macro,always@100,sometimes@100,never@100
wands,bge_base,Raw,310,8,230.5,0.07695852534562211,0.19558519486489345,0.03851608486609596,0.43786914548217737,0.08709677419354839,0.07742824223320677,0.146513039675717,0.16070460067578862,13,27,270,0.223963133640553,0.3207806706033656,0.16338963661437064,0.537092151675485,0.1774193548387097,0.14827836580939419,0.23310864257229505,0.2922949202426153,44,55,211
wands,bge_base,Canonical,310,8,0.0,0.0935483870967742,0.2023440671490317,0.03567740048236502,0.451739618406285,0.0,0.0,0.2023440671490317,0.2023440671490317,29,0,281,0.24838709677419354,0.3164424609570886,0.16463383838383838,0.5332448935274733,0.0,0.0,0.3164424609570886,0.3164424609570886,77,0,233
wands,bge_base,G1,310,8,650.0,0.20506912442396313,0.2024408322502294,0.04298638695081515,0.40849143612330663,0.2806451612903226,0.30594938002961053,0.0348735582778136,0.13835014596317788,23,87,200,0.30230414746543777,0.32324995565243786,0.13713042276872062,0.5632466045331734,0.38064516129032255,0.31552403467297085,0.18972291621892684,0.2654960509348807,41,118,151
wands,bge_base,CG1,310,8,0.0,0.2064516129032258,0.27056237612531936,0.0677086859284333,0.5230471380471374,0.0,0.0,0.27056237612531936,0.2705623761253194,64,0,246,0.3,0.36831293132268317,0.17073863636363634,0.5999913810086681,0.0,0.0,0.36831293132268306,0.3683129313226831,93,0,217
wands,bge_base,GuardG1,310,8,0.0,0.0935483870967742,0.2023440671490317,0.03567740048236502,0.451739618406285,0.0,0.0,0.2023440671490317,0.2023440671490317,29,0,281,0.24838709677419354,0.3164424609570886,0.16463383838383838,0.5332448935274733,0.0,0.0,0.3164424609570886,0.3164424609570886,77,0,233
wands,bge_base,GuardCG1,310,8,0.0,0.0935483870967742,0.2023440671490317,0.03567740048236502,0.451739618406285,0.0,0.0,0.2023440671490317,0.2023440671490317,29,0,281,0.24838709677419354,0.3164424609570886,0.16463383838383838,0.5332448935274733,0.0,0.0,0.3164424609570886,0.3164424609570886,77,0,233
wands,bge_base,G2,310,8,329.0,0.08018433179723503,0.2148237376295887,0.05739499861840287,0.4553254812563323,0.12580645161290321,0.116469698462163,0.17275533108866442,0.19988511742722734,7,39,264,0.21566820276497695,0.3160518452850013,0.16219751737870086,0.5317298315602835,0.22903225806451613,0.23241557865892973,0.20194442205745394,0.29301936325429234,24,71,215
wands,bge_base,CG2,310,8,0.0,0.08064516129032258,0.20956349845977507,0.045507154882154885,0.45269738049824476,0.0,0.0,0.20956349845977504,0.20956349845977504,25,0,285,0.2161290322580645,0.31521632548893186,0.1624385477111541,0.5312342171717171,0.0,0.0,0.31521632548893186,0.31521632548893186,67,0,243
wands,bge_base,GuardG2,310,8,0.0,0.0935483870967742,0.2023440671490317,0.03567740048236502,0.451739618406285,0.0,0.0,0.2023440671490317,0.2023440671490317,29,0,281,0.24838709677419354,0.3164424609570886,0.16463383838383838,0.5332448935274733,0.0,0.0,0.3164424609570886,0.3164424609570886,77,0,233
wands,bge_base,GuardCG2,310,8,0.0,0.0935483870967742,0.2023440671490317,0.03567740048236502,0.451739618406285,0.0,0.0,0.2023440671490317,0.2023440671490317,29,0,281,0.24838709677419354,0.3164424609570886,0.16463383838383838,0.5332448935274733,0.0,0.0,0.3164424609570886,0.3164424609570886,77,0,233
wands,minilm,Raw,310,8,357.0,0.022119815668202765,0.0207329116903585,0.003246753246753247,0.04469562647754132,0.05806451612903226,0.0657870071877164,0.0024661508704061893,0.006882357857535163,2,18,290,0.12119815668202764,0.22335287184577965,0.07007575757575757,0.4621389138343923,0.2129032258064516,0.19059089715118083,0.137414929436206,0.17810880674355853,10,66,234
wands,minilm,Canonical,310,8,0.0,0.02258064516129032,0.009348508727941351,0.002272727272727273,0.018697017455882703,0.0,0.0,0.009348508727941351,0.009348508727941351,7,0,303,0.1064516129032258,0.23698315901330086,0.0703164923466342,0.47518939393939397,0.0,0.0,0.23698315901330086,0.23698315901330086,33,0,277
wands,minilm,G1,310,8,755.0,0.08709677419354839,0.10634626938926585,0.03478797494533311,0.20778658439341063,0.25806451612903225,0.27777277801657235,0.0022727272727272726,0.039739034852066764,2,80,228,0.19262672811059908,0.18561132154882154,0.06224991732804233,0.3573131425865799,0.4064516129032258,0.3449319957852759,0.009864603481624757,0.0692235967834372,8,126,176
wands,minilm,CG1,310,8,0.0,0.07741935483870968,0.07724709416863672,0.02025462962962963,0.15871872537431048,0.0,0.0,0.07724709416863673,0.07724709416863672,24,0,286,0.2064516129032258,0.2798136880029611,0.1122372746749409,0.5069326772825776,0.0,0.0,0.2798136880029611,0.2798136880029611,64,0,246
