dataset,method,replicate,pairs,VI@100_micro,rank_spread_mean
wands,G1,noise1,6,0.3333333333333333,3307.3333333333335
wands,G1,noise2,6,0.3333333333333333,2291.5
wands,G1,noise3,6,0.5,1653.3333333333333
wands,G2,noise1,6,0.3333333333333333,1864.1666666666667
wands,G2,noise2,6,0.16666666666666666,2475.6666666666665
wands,G2,noise3,6,0.3333333333333333,2302.8333333333335
esci,G1,noise1,2,0.5,39.0
esci,G1,noise2,2,0.0,6.0
esci,G1,noise3,2,0.5,72.5
esci,G2,noise1,2,0.0,15.5
esci,G2,noise2,2,0.0,22.5
esci,G2,noise3,2,0.5,46.0
