dataset,method,queries,cNDCG@10,delta_cNDCG@10,cNDCG_ci_low,cNDCG_ci_high,p_cNDCG,query_macro_VI@20,delta_query_macro_VI@20,VI_ci_low,VI_ci_high,p_VI,relevance_loss_confirmed,VI_reduced,aligned_success
wands,Original,384,0.8246828875288349,0.0,0.0,0.0,1.0,0.11931807342696618,0.0,0.0,0.0,1.0,False,False,False
wands,M1 factual,384,0.8178193691087234,-0.006863518420111584,-0.013705997665897226,-0.00017763048678938605,0.055594440555944404,0.11228378523200727,-0.007034288194958908,-0.023927383320248425,0.008108521063701697,0.39346065393460655,True,True,False
wands,M2 canonical,384,0.8030023689534211,-0.021680518575413935,-0.033214993743122236,-0.010327361263130044,0.00039996000399960006,0.0,-0.11931807342696618,-0.13741717289019945,-0.10275589847877191,9.999000099990002e-05,True,True,False
wands,set_mean,384,0.8151136959090464,-0.009569191619788572,-0.019464444489933595,0.00026594354340600865,0.058994100589941006,0.0,-0.11931807342696618,-0.13741717289019945,-0.10275589847877191,9.999000099990002e-05,False,True,True
wands,late_mean,384,0.8057926603054664,-0.018890227223368555,-0.02944226176354803,-0.008220759552590932,0.0005999400059994001,0.0,-0.11931807342696618,-0.13741717289019945,-0.10275589847877191,9.999000099990002e-05,True,True,False
wands,late_max,384,0.8093438132898365,-0.01533907423899846,-0.026436291680284957,-0.004629041031662328,0.0046995300469953,0.0,-0.11931807342696618,-0.13741717289019945,-0.10275589847877191,9.999000099990002e-05,True,True,False
wands,late_top3,384,0.8105740020703882,-0.014108885458446683,-0.02437391765621628,-0.003842226758690037,0.004999500049995001,0.0,-0.11931807342696618,-0.13741717289019945,-0.10275589847877191,9.999000099990002e-05,True,True,False
esci,Original,500,0.7124454703586713,0.0,0.0,0.0,1.0,0.03661806169556642,0.0,0.0,0.0,1.0,False,False,False
esci,M1 factual,500,0.7061174440746639,-0.006328026284007329,-0.013838000908049748,0.0012084531028913866,0.10878912108789121,0.030780060349239795,-0.0058380013463266225,-0.015370526624513074,0.003057729617511199,0.23197680231976803,False,True,True
esci,M2 canonical,500,0.7192272500402048,0.006781779681533476,-0.0015500157517977556,0.015178866717992142,0.11278872112788721,0.0,-0.03661806169556642,-0.04539101509603836,-0.02856792602407648,9.999000099990002e-05,False,True,True
esci,set_mean,500,0.7058780646586647,-0.006567405700006576,-0.01870734179933023,0.005479604842054162,0.294970502949705,0.0,-0.03661806169556642,-0.04539101509603836,-0.02856792602407648,9.999000099990002e-05,False,True,True
esci,late_mean,500,0.7025637606073227,-0.009881709751348548,-0.021204873454833233,0.0016644521614672342,0.09569043095690431,0.0,-0.03661806169556642,-0.04539101509603836,-0.02856792602407648,9.999000099990002e-05,False,True,True
esci,late_max,500,0.7041295391791198,-0.008315931179551426,-0.020762990607217754,0.004244478203331487,0.1934806519348065,0.0,-0.03661806169556642,-0.04539101509603836,-0.02856792602407648,9.999000099990002e-05,False,True,True
esci,late_top3,500,0.7025637606073227,-0.009881709751348548,-0.021204873454833233,0.0016644521614672342,0.09569043095690431,0.0,-0.03661806169556642,-0.04539101509603836,-0.02856792602407648,9.999000099990002e-05,False,True,True
