dataset,model,intervention,target_support,catalog_size,K,reference_K,aggregation,eligible_queries,highest_label_pairs,bootstrap_seed,bootstrap_draws,source_order_inclusion,source_order_inclusion_ci_low,source_order_inclusion_ci_high,mean_schedule_inclusion,mean_schedule_inclusion_ci_low,mean_schedule_inclusion_ci_high,persistent_inclusion,persistent_inclusion_ci_low,persistent_inclusion_ci_high,VI,VI_ci_low,VI_ci_high,persistent_omission,persistent_omission_ci_low,persistent_omission_ci_high
wands,minilm,catalog_wide,full,42994,50,20,query_macro,308,21299,2026091701,10000,0.1416893380774617,0.12394005264646729,0.16015928964415954,0.1450344309913763,0.12979833489846007,0.16074252657689903,0.12297181728210925,0.10344051392417158,0.14424899281778758,0.028429413760241617,0.006771857450909761,0.04938080457143239,-0.1514012310423509,-0.16818515786455385,-0.1353843473306437
wands,minilm,catalog_wide,full,42994,50,20,pair_micro,308,21299,2026091701,10000,0.11540447908352505,0.09860674869652485,0.13555097453342574,0.11419717894200263,0.09753497510115156,0.13400250171248704,0.07901779426264144,0.06396895494745361,0.09760508981194872,0.07145875393210949,0.060579478788485415,0.08276281447107338,-0.15047654819475093,-0.17104990856499114,-0.13317845304591094
wands,minilm,catalog_wide,full,42994,100,20,query_macro,308,21299,2026091701,10000,0.2707482253298049,0.24470480443906742,0.29715723664921956,0.2714290068972017,0.24799049950146487,0.2949864612823833,0.24200826280546148,0.213581348284899,0.27200481468961896,0.023144656620011504,-0.006476152328302862,0.050615427715813455,-0.2651529194254726,-0.28901262553104373,-0.24193812465153022
wands,minilm,catalog_wide,full,42994,100,20,pair_micro,308,21299,2026091701,10000,0.2441429175078642,0.21247129752003785,0.28078996446999577,0.23856921518783566,0.207442553868103,0.27449005365121415,0.17686276351002395,0.14682158853649727,0.21250606337863767,0.11408986337386731,0.09677063762620518,0.13039759709021603,-0.2909526268838913,-0.324482234814104,-0.261625639368791
wands,minilm,catalog_wide,full,42994,100,50,query_macro,308,21299,2026091701,10000,0.1290588872523433,0.11271336461168924,0.14663986215559496,0.1263945759058253,0.11366207607798692,0.13948951117674205,0.11903644552335188,0.10142500605731905,0.1381119199410146,-0.005284757140230128,-0.026550617541909367,0.014457517872447409,-0.11375168838312182,-0.12809025910102342,-0.0998758815410843
wands,minilm,catalog_wide,full,42994,100,50,pair_micro,308,21299,2026091701,10000,0.12873843842433916,0.11283698046076747,0.14741779405575822,0.1243720362458331,0.10902385271479614,0.1422654787536836,0.09784496924738251,0.08139273566864483,0.1170482793978111,0.04263110944175783,0.03171513705443791,0.05193835513345724,-0.14047607868914033,-0.1558697873554272,-0.12730790852118315
wands,minilm,catalog_wide,full,42994,200,20,query_macro,308,21299,2026091701,10000,0.3883201008904338,0.35685154395472246,0.4199425924873374,0.38837535129867057,0.35926935066526633,0.4173299363564243,0.3727992845984109,0.3391490129946038,0.407430466929116,0.0031045870624524844,-0.03005475448115799,0.035111436241879346,-0.3759038716608634,-0.405243204533514,-0.3473031212527734
wands,minilm,catalog_wide,full,42994,200,20,pair_micro,308,21299,2026091701,10000,0.39743649936616743,0.3527109436667405,0.44873559623826337,0.3889988128215275,0.34541288207127374,0.4388860399939765,0.3178083478097563,0.2698685180501665,0.3737070524913011,0.12653176205455655,0.09795265636891035,0.15047311349208292,-0.4443401098643129,-0.4817461712064133,-0.4106499000474689
wands,minilm,catalog_wide,full,42994,200,100,query_macro,308,21299,2026091701,10000,0.1175718755606287,0.1017906199014412,0.13439724542488435,0.11694634440146898,0.10445381026825691,0.12999969381822066,0.1307910217929497,0.11353198592222867,0.14884690325894773,-0.02004006955755901,-0.04041044634016321,0.0002924397114606673,-0.11075095223539068,-0.12667632429107797,-0.09555682293280461
wands,minilm,catalog_wide,full,42994,200,100,pair_micro,308,21299,2026091701,10000,0.15329358185830322,0.13657596768823085,0.17267084014883533,0.15042959763369168,0.13427796181205262,0.1688555636479579,0.1409455842997324,0.11871511924048163,0.16719002145570708,0.012441898680689237,-0.009742462937879075,0.03161347214309074,-0.15338748298042162,-0.16571175209510816,-0.1412686721175932
