model,query_id,product_id,state,max_tokens_seven,attribute_count,rank_span,selection_hash,selected,selection,display
minilm,2,3276,crossing,217,14,16,02136fab4e70bacfbb9447d397bcf05c74267641ab41ba11b794cc6eb04a76a4,True,stratified_hash_panel,supplement
minilm,111,10165,crossing,172,18,20,024a9b4083f4d67c8941e8ef8274503fe9ebf1184c5bceb891465fffc42def7f,True,stratified_hash_panel,supplement
minilm,86,41495,crossing,200,23,27,062fdc287ed9c3e871e8c972a6ec5532bfd98a03b297b1b7c74abdfa6f8119e5,True,stratified_hash_panel,supplement
minilm,245,4394,crossing,244,12,9,074650fbac3a8ace8e29b5f160bcb9a6245de8d93ec1642844d9c4bd1172ddea,True,stratified_hash_panel,supplement
minilm,160,8066,persistent_inclusion,226,16,2,008cc7f86260762620029b12be73f3bbfdac85c8109348b17233667213f208ac,True,stratified_hash_panel,supplement
minilm,333,22324,persistent_inclusion,192,15,2,02086bce1a16a473b33ea914572ae06a07a0845490faaffa30775568ecdc631e,True,stratified_hash_panel,supplement
minilm,415,32674,persistent_inclusion,207,19,7,02d8134166726d68ea52dadffe01105cfb54c5290be07a6b5e0967b48391a1d7,True,stratified_hash_panel,supplement
minilm,446,27022,persistent_inclusion,217,13,11,03daafc5adee16608f81998593ed69e9c342954a78cd2465b4b9ae1d2b9925c2,True,stratified_hash_panel,supplement
minilm,28,35834,persistent_omission,220,19,19,000930db478c24d41f1805b720ca51ca6bda7a692e30ef8c9d659705825527eb,True,stratified_hash_panel,supplement
minilm,68,9711,persistent_omission,243,31,439,002b77f21b5863359ee35e38f2ab64ac1cb19de74717af2be8de28fafa551d44,True,stratified_hash_panel,supplement
minilm,184,15749,persistent_omission,241,23,32,00b4808b815960ac1b667538a9130b9de74c3188d511b8fcef66157dc6d448f8,True,stratified_hash_panel,supplement
minilm,231,10873,persistent_omission,246,23,59,018f21bdc3f55d786fbfc5455dfdadb834ecf5c95a7388a1612a886647c4c8aa,True,stratified_hash_panel,supplement
bge_base,241,13328,crossing,480,51,67,001124da19693492e7e594581b2d58a9f7d42541a07e83bd16897e3b63bfff33,True,stratified_hash_panel,supplement
bge_base,235,7253,crossing,512,46,19,0023d7d397ab00d93d588dd9b375413af8f72393b52e101ed5b68b88189a3d3d,True,stratified_hash_panel,main_crossing
bge_base,242,14483,crossing,444,44,18,018d741c9c07b4a6efc00c3c374c4ed6f90d11061bfc618bee1c187cd95d0041,True,stratified_hash_panel,supplement
bge_base,250,2598,crossing,449,41,14,02595ace30e3b1f2c86a43ac5e44454d3b0a75a3c6b4ed2f93c86ff48089f8f6,True,stratified_hash_panel,supplement
bge_base,260,41359,persistent_inclusion,444,36,5,00522782da0982a5ead9608015486a212feeb47f21fa74bb3200bf7619b409d5,True,stratified_hash_panel,main_stable_control
bge_base,408,27808,persistent_inclusion,322,23,2,00ba233720ca1b1594a817622f111006f1905cd9c8cf9780cd9aee1d04e6513f,True,stratified_hash_panel,supplement
bge_base,2,24094,persistent_inclusion,275,26,2,00d31f1b3106fcc3e50b0f5427bd9dad8553459e26c7b3360c7ca46e32a376ed,True,stratified_hash_panel,supplement
bge_base,235,28377,persistent_inclusion,278,19,3,01568e4cb5eddaddb729d1a802eaee0f67e38defe1689dacc0a13764efeca165,True,stratified_hash_panel,supplement
bge_base,420,13149,persistent_omission,430,46,147,0009bf3061cc376864dff3196ad33cfaf8a3b7bb8a70530fa867bc6a7342746d,True,stratified_hash_panel,supplement
bge_base,473,4373,persistent_omission,243,28,376,000b470128e7bf43b1fdb466b0bb35c488ffeccc583d286b7ceb11c0a0e0ffba,True,stratified_hash_panel,supplement
bge_base,235,40594,persistent_omission,211,21,36,001485341873329347583255773937ac72eb5f01f8b5768c634e11764035c2af,True,stratified_hash_panel,supplement
bge_base,26,5296,persistent_omission,407,39,1667,002000f4b1de56df7e425d9676322fa71aad4a576e8ffb5ba5485e449f8395a1,True,stratified_hash_panel,supplement
minilm,359,12575,crossing,139,10,159,2be5fd4ba06e7482d0d7511cbde68caec0c40d15e90aa658a33378826046ad6c,True,post_hoc_historical,supplement_historical
