query_id,query,query_type
0,salon chair,product_type
1,smart coffee table,product_type
2,dinosaur,brand_entity_proxy
3,turquoise pillows,brand_entity_proxy
4,chair and a half recliner,multi_constraint
5,sofa with ottoman,product_type
6,acrylic clear chair,attribute_constraint
7,driftwood mirror,product_type
8,home sweet home sign,product_type
9,coffee table fire pit,product_type
10,king poster bed,attribute_constraint
11,ombre rug,product_type
12,large spoon and fork wall decor,multi_constraint
13,outdoor privacy wall,product_type
14,beds that have leds,product_type
15,black 5 drawer dresser by guilford,multi_constraint
16,blk 18x18 seat cushions,attribute_constraint
17,closet storage with zipper,product_type
18,chrome bathroom 4 light vanity light,multi_constraint
19,gurney  slade 56,attribute_constraint
20,foutains with brick look,product_type
21,living curtains pearl,product_type
22,light and navy blue decorative pillow,multi_constraint
23,stoneford end tables white and wood,multi_constraint
24,wood coffee table set by storage,multi_constraint
25,sunflower,brand_entity_proxy
26,leather chairs,attribute_constraint
27,outdoor welcome rug,product_type
28,rooster decor,brand_entity_proxy
29,bathroom vanity knobs,product_type
30,3 1/2 inch drawer pull,multi_constraint
31,burnt orange curtains,product_type
32,dark gray dresser,attribute_constraint
33,non slip shower floor tile,multi_constraint
34,bar stool with backrest,product_type
35,enclosed shoe rack,product_type
36,laundry basket with wheels,product_type
37,bar stool 24 inches height,multi_constraint
38,calvin patio chair,product_type
39,door jewelry organizer,product_type
40,elegant executive chair,product_type
41,closet pull out valet rod,multi_constraint
42,toddler couch fold out,product_type
43,solid teak end table,product_type
44,chrome shower head and valve,multi_constraint
45,70s inspired furniture,attribute_constraint
46,beach blue headboard,attribute_constraint
47,porcelain loaf pan,product_type
48,arwen table lamp,product_type
49,moen matte black hooks,attribute_constraint
50,tufted chair with gold legs,multi_constraint
51,kohen 5 drawer dresser,attribute_constraint
52,westling coffee table,product_type
53,carolyn console table,product_type
54,wayfair sleep zippered,product_type
55,tollette teal outdoor rug,product_type
56,royal blue counter height chairs,multi_constraint
57,jordanna solid wood rocking,attribute_constraint
58,medium size chandelier,product_type
59,broadway lever,brand_entity_proxy
60,capricorn chest,brand_entity_proxy
61,overstreet rustic pub stools,style
62,7qt slow cooker,attribute_constraint
63,monthly calendar,brand_entity_proxy
64,zachary 72.5,attribute_constraint
65,gnome fairy garden,product_type
66,novara pergola,brand_entity_proxy
67,osgood mirror,product_type
68,nautical platters,brand_entity_proxy
69,wall sconce with usb port,multi_constraint
70,annex dresser,product_type
71,infant girl crib bedding,product_type
72,fold in half table,product_type
73,certified international melamine,product_type
74,serta kleinmon,brand_entity_proxy
75,sheffield home bath set,product_type
76,46 inch closet door,attribute_constraint
77,sancroft armchair,brand_entity_proxy
78,dorel vanity,brand_entity_proxy
79,palram harmony greenhouses,product_type
80,7 draw white dresser,attribute_constraint
81,orren ellis l shape desk,multi_constraint
82,bathroom vanity with counter space,multi_constraint
83,wall art fiji,product_type
84,full metal bed rose gold,multi_constraint
85,3/4 size mattress,attribute_constraint
86,aloe vera plant pot,product_type
87,vlad modular sectional,product_type
88,rose gold lounge,attribute_constraint
89,whimsical solar lights,product_type
90,filaret outdoor sofa,product_type
91,industrial pipe dining  table,style
92,antique silver entry table,attribute_constraint
93,outdoor sectional dining,product_type
94,kohler whitehaven farmhouse kitchen sink,style
95,entertainment stand end table,product_type
96,bar room wall decor,product_type
97,regner power loom red,attribute_constraint
98,gracie oaks 62 oller 14 ceiling fan,multi_constraint
99,arched christmas tree,product_type
100,tufted upholstered bed diamond,product_type
101,48 in entry table with side by side drawer,long_descriptive
102,flamingo,brand_entity_proxy
103,kitchen anti fatigue mats,product_type
104,flour and sugar containers,product_type
105,outdoor movie screen,product_type
106,bed risers,product_type
107,front porch furniture sets,product_type
108,ayesha curry kitchen,product_type
109,hillsby oriental rug,product_type
110,mila task chair,product_type
111,delta trinsic,brand_entity_proxy
112,pineapple,brand_entity_proxy
113,led light strip,product_type
114,geralyn upholstered storage platform bed,multi_constraint
115,peacock,brand_entity_proxy
116,brockham solid blackout thermal grommet curtain panels,multi_constraint
117,tall storage cabinet,attribute_constraint
118,body pillow case,product_type
119,welcome sign,brand_entity_proxy
120,zodiac pillow,brand_entity_proxy
121,upholstered bed,product_type
122,king size bed,attribute_constraint
123,entrance table,product_type
124,unique coffee tables,product_type
125,boho bed frame,product_type
126,leather dining chairs,attribute_constraint
127,wine bar,brand_entity_proxy
128,block coffee table,product_type
129,wainscoting ideas,brand_entity_proxy
130,entertainment console,brand_entity_proxy
131,kids chair,product_type
132,farmhouse cabinet,style
133,outdoor light fixtures,product_type
134,black hanging bookshelf,attribute_constraint
135,low profile loveseat recliner,product_type
136,black fluffy stool,attribute_constraint
137,orren ellis l shaped desk,multi_constraint
138,glass doors for bath,product_type
139,auburn throw pillows,product_type
140,wire basket with dividers,product_type
141,podium with locking cabinet,product_type
142,kitchen wooden stand,attribute_constraint
143,queen wingback chair,attribute_constraint
144,rug plum,product_type
145,liberty hardware francisco,product_type
146,laundry vanity cabinet,product_type
147,drum picture,brand_entity_proxy
148,industrial,style
149,mid century modern,style
150,dumbbells,brand_entity_proxy
151,leather chair,attribute_constraint
152,wishbone chair,product_type
153,bohemian,style
155,floating bed,product_type
156,papasan chair frame only,product_type
157,velvet chaise,brand_entity_proxy
158,led nightstand,brand_entity_proxy
159,meditation,brand_entity_proxy
160,marble,brand_entity_proxy
161,accent chair recliner,product_type
162,turquoise chair,product_type
163,dual monitor stand,product_type
164,modern outdoor furniture,style
165,kitchen storage shelves,product_type
166,feather wall art,product_type
167,camper,brand_entity_proxy
168,printers,brand_entity_proxy
169,coffee bar buffet,product_type
170,zen,brand_entity_proxy
171,nectar queen mattress,attribute_constraint
172,picasso,brand_entity_proxy
173,bedroom accessories,brand_entity_proxy
174,star wars rug,product_type
175,basket planter,brand_entity_proxy
176,mexican art,brand_entity_proxy
177,rustic storage cabinet,style
178,almost heaven sauna,product_type
179,promo codes or discounts,product_type
180,outdoor lounge cushions,product_type
181,e12/candelabra,attribute_constraint
182,penny round tile,attribute_constraint
183,farmhouse bread box,style
184,sugar canister,brand_entity_proxy
185,lunch bag,brand_entity_proxy
186,board game storage cabinet,product_type
188,"bedroom wall decor floral, multicolored with some teal (prints)",long_descriptive
189,big basket for dirty cloths,multi_constraint
190,benjiamino faux leather power lift chair,multi_constraint
191,biycicle plant stands,product_type
193,belchertown table lamp,product_type
194,black frame 22 x 36,multi_constraint
195,black freestanding tub  with faucet,multi_constraint
196,chabely 5 draw chest,attribute_constraint
197,desk for kids tjat ate 10 year old,long_descriptive
198,cake plates with tops,product_type
199,blue faux throw with pillows,multi_constraint
200,ceramic tile sea shell,product_type
201,delta trinsic double towel hook in champagne bronze,long_descriptive
202,full mattress padded liner,product_type
203,ge top loading washer 4.5,multi_constraint
204,fleur de lis living candle wall sconce bronze,long_descriptive
205,ines shag rug w003096809,attribute_constraint
206,grill cover 73,attribute_constraint
207,dull bed with shirt head board,multi_constraint
208,"fawkes 36"" blue vanity",attribute_constraint
209,door pulls bronze matte 4 inch,multi_constraint
210,love seat wide faux leather tuxedo arm sofa,long_descriptive
211,memory foam rug galveston,product_type
212,nettie 5 pc bar set,multi_constraint
213,kraus kitchen sink faucet oletto kpf 2820 sfs,long_descriptive
214,light wood nightstand with silver accents,multi_constraint
215,king adjustable bed including mattress,multi_constraint
216,music plug wall plate,product_type
218,wand bunk beds,product_type
219,trinaic towel rod,product_type
220,sheets for twinxl,product_type
221,small space dining table and chairs sets,multi_constraint
222,small loving roomtables,attribute_constraint
223,wisdom stone river 3-3/4,multi_constraint
224,twin over full bunk beds cool desins,multi_constraint
225,white splashproof shiplap wallpaper,attribute_constraint
226,power lift chair,product_type
227,owl,brand_entity_proxy
228,bee,brand_entity_proxy
229,waterfall faucet,brand_entity_proxy
230,gold,attribute_constraint
231,anti fatigue mat,product_type
232,storage dresser,product_type
233,kelly clarkson light fixtures,product_type
234,artificial orchid arrangement,product_type
235,bathroom wastebasket,brand_entity_proxy
236,3 piece rug set with runners,multi_constraint
237,cloud modular sectional,product_type
238,outdoor seat/back cushion,product_type
239,bathroom single faucet,product_type
240,eiffel tower wall art,product_type
241,decorative wall clocks,product_type
242,accent leather chair,attribute_constraint
243,indoor multi tiered plant stand,multi_constraint
244,pull out sleeper loveseat,product_type
245,anchor decor,brand_entity_proxy
246,clear shower curtain,attribute_constraint
247,beaded curtains,brand_entity_proxy
248,surge protector,brand_entity_proxy
249,bistro table and chairs,product_type
250,multi color rug,product_type
251,coffee container,brand_entity_proxy
252,accent chairs living room,product_type
253,antique brass faucet,product_type
254,comfortable accent chair,product_type
255,desk and chair set,product_type
256,high weight capacity bunk beds,multi_constraint
257,living room coffee table sets,multi_constraint
258,breakfast bar table,product_type
259,nursery end table,product_type
260,retractable side awning,product_type
261,semi flush foyer light,product_type
262,bathroom freestanding cabinet,product_type
263,small curtain rods,attribute_constraint
264,cortez pillow,brand_entity_proxy
265,candace wingback upholstered bed,product_type
266,champagne velvet desk chair,product_type
267,dolomite subway tile,product_type
268,betty resin free standing umbrella,multi_constraint
269,donaldson teak couch,product_type
270,edge chair mat,product_type
271,chinese flower stand,product_type
272,oliver parsons,brand_entity_proxy
273,stainless steel free standing shower caddy,multi_constraint
274,gowdy height adjustable standing desk,multi_constraint
275,hinged square ottoman,attribute_constraint
276,chaves l-shape floating desk with hutch,multi_constraint
277,barstool patio sets,product_type
278,parakeet toy,product_type
279,marlon tufted queen bed,attribute_constraint
280,johan desk by laurel foundry,multi_constraint
281,brunk ship wheel,product_type
282,grantola wall mirror,product_type
283,gaia driftwood table,product_type
284,family lamp,product_type
285,"48"" sliding single track , barn door for laundry",long_descriptive
286,hitchcock mid-century wall shelf,multi_constraint
287,cover set for outdoor furniture,multi_constraint
288,round outdoor patio cover,attribute_constraint
289,coma inducer comforter king set,multi_constraint
290,mission double vanity,product_type
291,front door cabinet with doors,multi_constraint
292,decorative white pillow,attribute_constraint
293,wood floor protector mat,attribute_constraint
294,moen multi function dual shower head,multi_constraint
295,end table between recliners,product_type
296,zakariyah twin platform,attribute_constraint
297,seat cushions desk,product_type
298,small woven pouf,attribute_constraint
300,animal print handmade tufted wool beige/black area rug by allmodern,long_descriptive
301,circle cabinet pulls,product_type
302,mattress foam topper queen,attribute_constraint
303,hawaii vintage art,style
304,merlyn 6,attribute_constraint
305,ligth bulb,brand_entity_proxy
306,mobley zero gravity adjustable bed with wireless remote,long_descriptive
307,real touch roses floral arrangements in glass vase,long_descriptive
308,led 60,attribute_constraint
309,moen 5995 arbor one,attribute_constraint
310,meade mirror,product_type
311,odum velvet,brand_entity_proxy
312,coat rack for bedroom,product_type
313,malachi sled,brand_entity_proxy
314,body pillow and case,product_type
315,medium clips,brand_entity_proxy
316,rolande heavy duty power lift assist recliner,multi_constraint
317,hulmeville writing desk with hutch,multi_constraint
318,sunjoy lantern,brand_entity_proxy
319,landis wall mounted bathroom shelves,multi_constraint
320,blaylock bookcase headboard,product_type
321,hussain handmade tufted magenta rug,multi_constraint
322,cream queen duvet cover,attribute_constraint
323,hub leaning full length mirror,multi_constraint
324,chase utility laundry cart,product_type
325,outdoor waterproof chest,product_type
326,bowersville ladder writing desk,product_type
327,kohler purist brushed bronze,product_type
328,golub dining table,product_type
329,wayfair tension rod,product_type
330,kari 2 piece,attribute_constraint
331,upholstered girls bed,product_type
332,attleboro drum coffee table,product_type
333,stainless steel colander set,product_type
334,itchington butterfly,brand_entity_proxy
335,canadian,brand_entity_proxy
336,mystic swivel,brand_entity_proxy
337,iittala bowl,brand_entity_proxy
338,mahone porch rocking chair,product_type
339,ruckus chair,product_type
340,berenice 4 storage cabinet,attribute_constraint
341,canvas map art,product_type
342,brendon counter stool,product_type
343,navy and peach bedding,product_type
344,ottoman bed queen,attribute_constraint
345,oriental vanity,brand_entity_proxy
346,nesting tray set,product_type
347,olive green console table,attribute_constraint
348,one alium way,product_type
349,mud room sign,product_type
351,white bathroom vanity black hardware,multi_constraint
352,amarillo,brand_entity_proxy
353,pennfield playhouse,brand_entity_proxy
354,tressler rug,product_type
355,argenteuil,brand_entity_proxy
356,platform bed side table,product_type
357,tall free standing pet gate,multi_constraint
358,sliding closet mirror,product_type
359,french molding,brand_entity_proxy
360,huntsville sectional sofa,product_type
361,kisner,brand_entity_proxy
362,brushed gold wall decor,attribute_constraint
363,fortunat coffee table,product_type
364,croscill ashton,brand_entity_proxy
365,gas detector,brand_entity_proxy
366,drudge report,brand_entity_proxy
367,wooden chair outdoor,attribute_constraint
368,pasta tools,brand_entity_proxy
369,wrought tv stand,product_type
370,rug for teen room,product_type
