query_id,VI@10,VI@20,VI@50
165,0.0,0.0,0.0
433,0.2857142857142857,0.0,0.2857142857142857
500,0.36363636363636365,0.18181818181818182,0.0
541,0.14285714285714285,0.14285714285714285,0.0
598,0.14285714285714285,0.07142857142857142,0.21428571428571427
600,0.11538461538461539,0.038461538461538464,0.038461538461538464
602,0.0,0.0,0.0
622,0.11538461538461539,0.19230769230769232,0.0
637,0.15384615384615385,0.0,0.07692307692307693
861,0.125,0.08333333333333333,0.08333333333333333
933,0.0,0.0,0.25
978,0.08333333333333333,0.08333333333333333,0.0
1210,0.0,0.0,0.0
1293,0.0,0.0,0.1
1310,0.0,0.0,0.0
1458,0.0,0.06666666666666667,0.0
1476,0.058823529411764705,0.11764705882352941,0.0
1530,0.11764705882352941,0.058823529411764705,0.0
1659,0.0,0.0,0.0
1816,0.0,0.0,0.0
2286,0.0,0.07692307692307693,0.15384615384615385
2390,0.0,0.0,0.0
2692,0.0,0.2857142857142857,0.0
2855,0.2857142857142857,0.14285714285714285,0.0
3012,0.0,0.0,0.4
3492,0.0,0.0,0.0
3494,0.18181818181818182,0.0,0.0
3986,0.0,0.0,0.0
4299,0.0,0.0,0.0
4321,0.0,0.0,0.0
4860,0.0,0.5,0.0
4956,0.14285714285714285,0.0,0.0
5079,0.1,0.0,0.0
5094,0.36363636363636365,0.0,0.0
5419,0.2,0.0,0.0
5787,0.0,0.0,0.0
5921,0.0,0.0,0.0
6138,0.0,0.0,0.0
6685,0.0,0.25,0.0
7034,0.0,0.0,0.0
7126,0.0,0.0,0.0
7303,0.16666666666666666,0.0,0.0
7340,0.5,0.0,0.0
7545,0.0,0.0,0.0
7581,0.2,0.0,0.0
8063,0.16666666666666666,0.25,0.16666666666666666
8519,0.125,0.25,0.0
8605,0.16666666666666666,0.0,0.0
8740,0.0,0.0,0.0
9096,0.09090909090909091,0.0,0.0
9695,0.1111111111111111,0.0,0.0
9776,0.0,0.4444444444444444,0.0
9967,0.0,0.0,0.3333333333333333
10312,0.05,0.0,0.15
10370,0.0,0.0,0.0
11509,0.0,0.0,0.2
11621,0.0,0.0,0.0
11875,0.4,0.0,0.0
11925,0.03571428571428571,0.03571428571428571,0.21428571428571427
12176,0.037037037037037035,0.07407407407407407,0.037037037037037035
12432,0.08333333333333333,0.08333333333333333,0.08333333333333333
12557,0.0,0.0,0.0
12664,0.0,0.0,0.0
12809,0.0,0.0,0.0
13089,0.03125,0.0625,0.0
13169,0.09090909090909091,0.2727272727272727,0.0
13471,0.0,0.09523809523809523,0.047619047619047616
13639,0.06666666666666667,0.0,0.0
13785,0.25,0.0,0.0
13954,0.0,0.0,0.0
14346,0.1,0.0,0.1
14880,0.0,0.0,0.0
14882,0.09090909090909091,0.18181818181818182,0.0
15154,0.0,0.0,0.03571428571428571
15164,0.0,0.0,0.0
15311,0.0,0.1,0.0
15647,0.09523809523809523,0.047619047619047616,0.0
15716,0.0,0.0,0.0
15777,0.3333333333333333,0.0,0.08333333333333333
15807,0.06666666666666667,0.06666666666666667,0.13333333333333333
16613,0.2222222222222222,0.0,0.1111111111111111
16684,0.07692307692307693,0.23076923076923078,0.0
17384,0.09090909090909091,0.0,0.09090909090909091
17607,0.0,0.17647058823529413,0.0
17689,0.3333333333333333,0.0,0.0
17742,0.0,0.0,0.0
18356,0.0,0.0,0.0
18553,0.09523809523809523,0.19047619047619047,0.047619047619047616
18679,0.0,0.0,0.0
18682,0.25,0.0,0.0
18932,0.0,0.0,0.0
19053,0.35714285714285715,0.0,0.0
19134,0.0,0.0,0.0
19268,0.0,0.09523809523809523,0.09523809523809523
19369,0.18181818181818182,0.2727272727272727,0.0
19372,0.06666666666666667,0.0,0.0
19380,0.0,0.0,0.0
19619,0.0,0.0,0.0
19694,0.0,0.0,0.0
19953,0.0,0.3333333333333333,0.0
20037,0.0,0.125,0.0
20185,0.25,0.0,0.0
20307,0.0,0.0,0.0
20315,0.0,0.0,0.0
20385,0.0,0.0,0.0
20500,0.0,0.0,0.2
20523,0.0,0.0,0.0
20788,0.2,0.0,0.0
21481,0.0,0.058823529411764705,0.058823529411764705
21645,0.0,0.0,0.0
22173,0.1111111111111111,0.0,0.0
22211,0.0,0.0,0.0
22441,0.0,0.0,0.0
22639,0.2222222222222222,0.1111111111111111,0.1111111111111111
23148,0.0,0.0,0.0
23260,0.0,0.0,0.0
23744,0.0,0.0,0.0
24082,0.0,0.0,0.0
24402,0.0,0.3333333333333333,0.16666666666666666
24504,0.25,0.0,0.0
24668,0.0,0.0,0.0
24697,0.0,0.0,0.0
24831,0.15789473684210525,0.2631578947368421,0.2631578947368421
25132,0.0,0.16666666666666666,0.0
25426,0.0,0.0,0.0
25497,0.0,0.0,0.0
25516,0.2,0.0,0.0
25591,0.0,0.0,0.0
26321,0.1111111111111111,0.0,0.0
26642,0.0,0.0,0.0
26872,0.0,0.0,0.0
27927,0.0,0.0,0.0
28198,0.13333333333333333,0.0,0.0
28637,0.0,0.0,0.0
29049,0.0,0.0,0.0
29123,0.0,0.0,0.0
29488,0.0,0.0,0.0
29596,0.08333333333333333,0.0,0.08333333333333333
29729,0.1111111111111111,0.2222222222222222,0.1111111111111111
29868,0.2,0.2,0.0
29928,0.0,0.2,0.0
29941,0.0,0.0,0.0
29945,0.0,0.0,0.0
29952,0.25,0.25,0.0
30020,0.0,1.0,0.0
30318,0.25,0.0,0.0
31573,0.0,0.0,0.0
31659,0.14285714285714285,0.0,0.0
31724,0.0,0.0,0.0
31889,0.0,0.0,0.0
32142,0.0,0.0,0.0
32164,0.0,0.0,0.07692307692307693
32311,0.0,0.0,0.0
32350,0.0,0.1111111111111111,0.0
32351,0.5,0.25,0.0
32430,0.05263157894736842,0.05263157894736842,0.05263157894736842
32612,0.0,0.5,0.0
32812,0.0,0.0,0.0
32917,0.2857142857142857,0.2857142857142857,0.0
