query_id,product_id,label,C0,whole_C0,delta_C0,C1,whole_C1,delta_C1,C2s1,whole_C2s1,delta_C2s1,C2s2,whole_C2s2,delta_C2s2,C2s3,whole_C2s3,delta_C2s3,C2s4,whole_C2s4,delta_C2s4,C2s5,whole_C2s5,delta_C2s5,rank_range,VI@10,VI@20,VI@50,dataset,retriever,query
181,7758,Exact,1837,1837,0,1122,618,-715,188,118,-1649,799,654,-1038,16,10,-1821,8239,7967,6402,278,186,-1559,8223,False,True,True,wands,minilm,e12/candelabra
476,5523,Exact,165,165,0,20,25,-145,363,338,198,49,42,-116,66,63,-99,78,75,-87,3652,3139,3487,3632,False,True,True,wands,minilm,hardwood beds
181,7756,Exact,14,14,0,2695,1881,2681,750,612,736,983,800,969,459,356,445,288,192,274,933,759,919,2681,False,True,True,wands,minilm,e12/candelabra
361,9157,Exact,299,299,0,68,41,-231,2520,2380,2221,16,19,-283,49,46,-250,49,45,-250,251,212,-48,2504,False,True,True,wands,minilm,kisner
210,23577,Exact,10,10,0,2336,1851,2326,18,17,8,15,8,5,51,35,41,100,91,90,73,56,63,2326,True,True,True,wands,minilm,love seat wide faux leather tuxedo arm sofa
448,34785,Exact,126,126,0,68,23,-58,367,309,241,20,16,-106,1942,1714,1816,267,223,141,151,121,25,1922,False,True,True,wands,minilm,bed side table
449,40411,Exact,13,13,0,102,104,89,97,89,84,230,212,217,1577,1441,1564,124,110,111,194,191,181,1564,False,True,True,wands,minilm,living room designs
371,41487,Exact,28,28,0,1553,910,1525,5,5,-23,12,13,-16,117,104,89,6,5,-22,15,14,-13,1548,True,True,True,wands,minilm,milk cow chair
162,34536,Exact,486,486,0,476,295,-10,1527,1303,1041,28,21,-458,582,484,96,5,3,-481,5,4,-481,1522,True,True,True,wands,minilm,turquoise chair
152,5166,Exact,4,4,0,1397,1055,1393,323,354,319,291,319,287,21,21,17,5,7,1,43,52,39,1393,True,True,True,wands,minilm,wishbone chair
148,27219,Exact,6,6,0,4,4,-2,201,135,195,1289,998,1283,60,26,54,16,12,10,40,25,34,1285,True,True,True,wands,minilm,industrial
261,34636,Exact,15,15,0,1250,1271,1235,115,122,100,96,97,81,57,64,42,140,155,125,188,198,173,1235,False,True,True,wands,minilm,semi flush foyer light
305,36998,Exact,1230,1230,0,20,27,-1210,663,757,-567,29,40,-1201,21,27,-1209,6,10,-1224,74,82,-1156,1224,True,True,True,wands,minilm,ligth bulb
152,254,Exact,323,323,0,1172,901,849,3,1,-320,8,7,-315,38,45,-285,279,313,-44,652,654,329,1169,True,True,True,wands,minilm,wishbone chair
123,32071,Exact,665,665,0,1169,680,504,287,268,-378,188,154,-477,13,19,-652,150,128,-515,66,62,-599,1156,False,True,True,wands,minilm,entrance table
305,21979,Exact,733,733,0,133,188,-600,17,16,-716,711,821,-22,224,278,-509,227,246,-506,1143,1193,410,1126,False,True,True,wands,minilm,ligth bulb
5,9682,Exact,757,757,0,533,421,-224,536,551,-221,1125,1168,368,19,19,-738,276,303,-481,522,556,-235,1106,False,True,True,wands,minilm,sofa with ottoman
130,28332,Exact,321,321,0,667,552,346,20,24,-301,225,190,-96,818,787,497,1090,1085,769,25,22,-296,1070,False,True,True,wands,minilm,entertainment console
305,21968,Exact,461,461,0,17,21,-444,428,476,-33,24,34,-437,171,210,-290,247,271,-214,1035,1084,574,1018,False,True,True,wands,minilm,ligth bulb
258,34644,Exact,115,115,0,1023,970,908,338,489,223,49,63,-66,387,525,272,11,15,-104,97,128,-18,1012,False,True,True,wands,minilm,breakfast bar table
428,9925,Exact,109,109,0,133,117,24,32,29,-77,16,14,-93,19,17,-90,359,344,250,1024,1033,915,1008,False,True,True,wands,minilm,kitchen storage cabinet
389,2939,Exact,101,101,0,971,856,870,128,110,27,1021,1063,920,605,634,504,20,15,-81,37,21,-64,1001,False,True,True,wands,minilm,brush nickel faucet bathroom
124,38836,Exact,31,31,0,938,721,907,20,16,-11,269,253,238,425,422,394,9,5,-22,409,395,378,929,True,True,True,wands,minilm,unique coffee tables
181,2388,Exact,5,5,0,854,454,849,12,7,7,582,452,577,221,130,216,119,70,114,19,17,14,849,True,True,True,wands,minilm,e12/candelabra
249,7390,Exact,19,19,0,102,62,83,126,101,107,118,97,99,82,78,63,860,912,841,59,58,40,841,False,True,True,wands,minilm,bistro table and chairs
50,13644,Exact,122,122,0,10,16,-112,186,257,64,370,482,248,69,82,-53,37,42,-85,850,926,728,840,True,True,True,wands,minilm,tufted chair with gold legs
123,18723,Exact,5,5,0,830,424,825,81,74,76,46,45,41,6,13,1,26,36,21,24,28,19,825,True,True,True,wands,minilm,entrance table
421,18034,Exact,763,763,0,207,202,-556,14,13,-749,811,862,48,308,315,-455,44,55,-719,13,14,-750,798,False,True,True,wands,minilm,dining room tables
409,24318,Exact,22,22,0,315,430,293,18,19,-4,809,924,787,303,382,281,685,812,663,580,723,558,791,False,True,True,wands,minilm,teal chair
148,34402,Exact,783,783,0,9,8,-774,201,134,-582,294,203,-489,121,68,-662,315,220,-468,56,35,-727,774,True,True,True,wands,minilm,industrial
128,34829,Exact,815,815,0,18,17,-797,161,156,-654,165,163,-650,217,207,-598,92,92,-723,394,391,-421,797,False,True,True,wands,bge_base,block coffee table
420,7056,Exact,14,14,0,639,521,625,511,452,497,564,519,550,499,465,485,349,310,335,343,292,329,625,False,True,True,wands,bge_base,tile backsplash
420,27167,Exact,334,334,0,563,432,229,7,6,-327,314,277,-20,430,382,96,330,286,-4,374,323,40,556,True,True,True,wands,bge_base,tile backsplash
409,22533,Exact,12,12,0,548,397,536,11,9,-1,202,145,190,85,58,73,124,94,112,44,32,32,537,False,True,True,wands,bge_base,teal chair
33,12774,Exact,208,208,0,94,73,-114,77,75,-131,41,40,-167,12,10,-196,386,361,178,182,164,-26,374,False,True,True,wands,bge_base,non slip shower floor tile
5,7102,Exact,361,361,0,3,8,-358,231,250,-130,163,164,-198,163,176,-198,65,75,-296,163,169,-198,358,True,True,True,wands,bge_base,sofa with ottoman
233,15324,Exact,64,64,0,328,286,264,139,103,75,371,325,307,20,20,-44,200,165,136,168,132,104,351,False,True,True,wands,bge_base,kelly clarkson light fixtures
121,42937,Exact,7,7,0,357,160,350,100,65,93,26,19,19,105,72,98,16,10,9,18,12,11,350,True,True,True,wands,bge_base,upholstered bed
305,18707,Exact,12,12,0,211,200,199,196,182,184,137,114,125,229,224,217,358,356,346,153,134,141,346,False,True,True,wands,bge_base,ligth bulb
421,15195,Exact,179,179,0,73,62,-106,116,109,-63,339,315,160,347,316,168,20,19,-159,318,297,139,327,False,True,True,wands,bge_base,dining room tables
305,37006,Exact,323,323,0,323,328,0,304,288,-19,252,257,-71,1,1,-322,261,251,-62,202,187,-121,322,True,True,True,wands,bge_base,ligth bulb
128,9015,Exact,64,64,0,326,323,262,8,9,-56,73,64,9,39,38,-25,76,75,12,49,51,-15,318,True,True,True,wands,bge_base,block coffee table
122,5273,Exact,14,14,0,308,79,294,35,19,21,106,59,92,32,16,18,105,51,91,51,26,37,294,False,True,True,wands,bge_base,king size bed
305,21981,Exact,16,16,0,120,96,104,143,116,127,163,155,147,307,311,291,218,221,202,215,214,199,291,False,True,True,wands,bge_base,ligth bulb
429,29321,Exact,14,14,0,102,58,88,58,41,44,108,78,94,303,242,289,185,148,171,30,28,16,289,False,True,True,wands,bge_base,gray dresser
389,17363,Exact,5,5,0,131,109,126,293,272,288,197,193,192,83,77,78,281,281,276,69,58,64,288,True,True,True,wands,bge_base,brush nickel faucet bathroom
