cache,seconds,items,dimension,source_sha256,scope
esci_bge_base_canonical_raw_05cb6417bac7aa66b86e.json,26.446452856063843,10076,768,21a312b372c7acf3f587d639a9226d81ca4fa50bc0b7edcab667f26e9bc27acf,"measured cache construction, not matched cold-build baseline"
esci_bge_base_rule_appearance_deded28b78528e9f3057.json,26.569587230682373,10076,768,d6e04bf0de8524ea3ad490afe05318b5c4c4fb79c9dfd5aa9f1e024b4c597c6c,"measured cache construction, not matched cold-build baseline"
esci_bge_base_view1_d132d089c6f6cb1fe48f.json,26.725149869918823,10076,768,2de7c544febcd7a9f6cbd42f7339047f55a18688af6b2306e7f0afd3dad1aa3e,"measured cache construction, not matched cold-build baseline"
esci_bge_base_view2_8d4ea33a4f0ccb3553cf.json,26.806313514709473,10076,768,84617c45f8334f3d2d2eebd86c6ba15dd43c1ba976379812187a10d86506674a,"measured cache construction, not matched cold-build baseline"
esci_bge_base_view3_d14252fecde38eb54d69.json,28.73847246170044,10076,768,7b1c0027e97be1b02b5c340e72888b0d681c09282ad7630307b033d3baaa024a,"measured cache construction, not matched cold-build baseline"
esci_bge_base_view4_b07c20fff496c32d5d35.json,30.286553621292114,10076,768,89e4cc972f4a3fc50fdf4f8efb8015d68adbdf2c566b2c6fde6dbef236b27688,"measured cache construction, not matched cold-build baseline"
esci_bge_base_view5_ba2bd698d9e797fca581.json,29.95791530609131,10076,768,6cc778fca5fbe042540d050ba0f03ec7ddb4b163c19a31e119c7271ee4918a06,"measured cache construction, not matched cold-build baseline"
esci_bge_base_view6_5e17978dc596838bf19c.json,29.402304649353027,10076,768,0cf1347114903608575070d4d192e5f52c0aac21afb313b01b73b82118517c91,"measured cache construction, not matched cold-build baseline"
esci_bge_base_view7_ab8219724611557ed9e8.json,27.08235764503479,10076,768,4c7121c36689977de58b9309301b853dd70696261bdbb7b9671b1191cfbd6272,"measured cache construction, not matched cold-build baseline"
esci_minilm_atoms_afb0ad8951048aad61f9.json,3.691464900970459,16294,384,7e81c01962926878ef132c8b6ac77edefaac4c6d8e810132278db09b98fc3529,"measured cache construction, not matched cold-build baseline"
esci_minilm_canonical_raw_2ed2685debe1121ea491.json,4.922369956970215,10076,384,21a312b372c7acf3f587d639a9226d81ca4fa50bc0b7edcab667f26e9bc27acf,"measured cache construction, not matched cold-build baseline"
esci_minilm_nonattributes_601bde86caf59e0250d0.json,2.9694395065307617,10076,384,9651898799e52901c14a69842c78f8cd6fdcdf1d8fd494eaefefbb56076ab3a2,"measured cache construction, not matched cold-build baseline"
esci_minilm_rule_appearance_26ea4b0005865294f56d.json,5.1327667236328125,10076,384,d6e04bf0de8524ea3ad490afe05318b5c4c4fb79c9dfd5aa9f1e024b4c597c6c,"measured cache construction, not matched cold-build baseline"
esci_minilm_view1_71dbf8885df202fd7a62.json,5.215430736541748,10076,384,2de7c544febcd7a9f6cbd42f7339047f55a18688af6b2306e7f0afd3dad1aa3e,"measured cache construction, not matched cold-build baseline"
esci_minilm_view2_a8c73343b4e8701b23af.json,6.180718183517456,10076,384,84617c45f8334f3d2d2eebd86c6ba15dd43c1ba976379812187a10d86506674a,"measured cache construction, not matched cold-build baseline"
esci_new_bge_base_atoms_bbd16acbeba7fcc2abc7.json,26.697513580322266,19280,768,6171254272cfa35e415c822ab4c5a67193baccea02c0351f8d24d7bb04e49293,"measured cache construction, not matched cold-build baseline"
esci_new_bge_base_canonical_b521f76cfd5ee817f59c.json,35.45105338096619,12019,768,37a0d5276fb3e636215ea7fc7fbdc0854b4cfd86447b40da80e5eb70eab8dd5e,"measured cache construction, not matched cold-build baseline"
esci_new_bge_base_canonical_raw_40e4a1fdc94b3d70d5da.json,34.81321430206299,12019,768,56d70151200f2357f1193cffb164caf7ffdf7a59c2f03b1ec959bc9102d02c4e,"measured cache construction, not matched cold-build baseline"
esci_new_bge_base_nonattributes_6b385497608b5aade82d.json,23.64779305458069,12019,768,3c45a052deb66d331fdab96f11a2be39c72a1f903fc541ba9de8daf836cca239,"measured cache construction, not matched cold-build baseline"
esci_new_bge_base_original_804ce9d0692db729eca8.json,32.22875237464905,12019,768,a75bf5a854c72259ccbad8f23612faa907dc000ef9fb9bf27704301b5f808728,"measured cache construction, not matched cold-build baseline"
esci_new_bge_base_queries_1bd9881f7298eca64ec0.json,0.5450336933135986,100,768,6357202e10c84fd769051100d547b646f4409509cb1ee8d4903036745de24442,"measured cache construction, not matched cold-build baseline"
esci_new_bge_base_rule_appearance_f5dd645749230de6e75e.json,34.29208493232727,12019,768,b6a29468406f18fe954b4c81ffc4886b7f43260daea0c5fd037e74c578fc7c01,"measured cache construction, not matched cold-build baseline"
esci_new_bge_base_view1_31e757ed9bbfeed945af.json,35.64168572425842,12019,768,3a7e388dd1afd557f0a44b50d9fc0d0294755c297c87936d1439a963ca166380,"measured cache construction, not matched cold-build baseline"
esci_new_bge_base_view2_cb29be1dc7a84f49127f.json,34.562901973724365,12019,768,393c17c827a0071d535f7f3dd93c40064f96be77b28b3e3c93a850560227bd6f,"measured cache construction, not matched cold-build baseline"
wands_bge_base_canonical_raw_2b9aab5b9c4c396c8958.json,214.5103850364685,42994,768,db1d60f48615f47c6cac36313877be67657e7fe2e2743fb63d6b25fae6f853f8,"measured cache construction, not matched cold-build baseline"
wands_bge_base_rule_appearance_31e4c0ae76c1560cd269.json,217.27654886245728,42994,768,263ab68273a1b2fdca3e906f9a2bd96e124aaf84be73292dcbcdd0486e1ef456,"measured cache construction, not matched cold-build baseline"
wands_bge_base_rule_dimension_48aa3f4eec6a34522775.json,235.60877656936646,42994,768,070debfd38d510ff8ee62e625f466b00b4b08ee274e6ec48dd2dc61f8c809a68,"measured cache construction, not matched cold-build baseline"
wands_bge_base_rule_type_255c1261999473a04508.json,219.23617005348206,42994,768,cdb9570d2de06c7392f3441fcca3dddf20cdce2b427451a2d9375ec851ac00d8,"measured cache construction, not matched cold-build baseline"
wands_bge_base_rule_use_efa4fcbb6af789e71769.json,219.26641702651978,42994,768,4c1292ee55e5d67ef014df96bf8331a1c4c1b2f973c3c951dad8751faadb4f04,"measured cache construction, not matched cold-build baseline"
wands_bge_base_view1_4701f4c51a662ce874be.json,228.76745653152466,42994,768,a3162083517a76d4a8e26af6453c2895234d547d9e01975d43667788fc80b491,"measured cache construction, not matched cold-build baseline"
wands_bge_base_view2_09e5e8d91d95321f933d.json,228.30070066452026,42994,768,1579a2d124c3dce97afbd8e2a6789cee13caedb865306e208cd67478ce0e67b6,"measured cache construction, not matched cold-build baseline"
wands_bge_base_view3_c6e5c3a72b1fa0bcf62c.json,228.96536803245544,42994,768,5c6236bb7154d66db4ab46247c48a6ddf33f339c08407cca2ff52013fdc74c26,"measured cache construction, not matched cold-build baseline"
wands_bge_base_view4_1396b025a95bf6bc4abc.json,226.96684646606445,42994,768,11bfbb409627b2d70c876f9cbda3fbce4d666d13655f01f49242df230bc94bb6,"measured cache construction, not matched cold-build baseline"
wands_bge_base_view5_081b4ff81b054403251c.json,217.01136016845703,42994,768,0ed0b8e9c4e526bed6717cea7f6caa4bd8dd79efde8288bb511989bdbe3b39fc,"measured cache construction, not matched cold-build baseline"
wands_bge_base_view6_9a965f7cc62ecebe237b.json,210.89874124526978,42994,768,e9f2ed48bb7bda7b447cb77627e09b91180c79c0595cddf75503a12eaee7068c,"measured cache construction, not matched cold-build baseline"
wands_bge_base_view7_1957bc4b6e6d54120170.json,215.00204515457153,42994,768,b24eaed6352912d0bc7e928268a0d53a171f134dd8ebf04242335a4dbe29d417,"measured cache construction, not matched cold-build baseline"
wands_minilm_atoms_602c961a575bea3ad118.json,13.572160482406616,129151,384,1ff413a354b8616b4745e8c3025bf4e2ddf1650220ef882f89a3bd9e06830fea,"measured cache construction, not matched cold-build baseline"
wands_minilm_canonical_raw_5bb0ccfb0c8d8478f8de.json,40.83511686325073,42994,384,db1d60f48615f47c6cac36313877be67657e7fe2e2743fb63d6b25fae6f853f8,"measured cache construction, not matched cold-build baseline"
wands_minilm_nonattributes_795ca279b219a3f1dae0.json,13.079043626785278,42994,384,b994e3a7770f2a7944ac1b1beb93ea08e07a67ba97510bf3f320e8a8bb3ef9b2,"measured cache construction, not matched cold-build baseline"
wands_minilm_rule_appearance_7f8df5662c7ba9f5a3da.json,44.953741788864136,42994,384,263ab68273a1b2fdca3e906f9a2bd96e124aaf84be73292dcbcdd0486e1ef456,"measured cache construction, not matched cold-build baseline"
wands_minilm_view1_ad5ef770714a24493459.json,46.31888437271118,42994,384,a3162083517a76d4a8e26af6453c2895234d547d9e01975d43667788fc80b491,"measured cache construction, not matched cold-build baseline"
wands_minilm_view2_353f407eb911d9a4122a.json,54.617324352264404,42994,384,1579a2d124c3dce97afbd8e2a6789cee13caedb865306e208cd67478ce0e67b6,"measured cache construction, not matched cold-build baseline"
