dataset,factor,level,label,pairs,queries,macro_vi20,ci_low,ci_high
wands,rank_band,1-10,Exact,1763,329,0.11662324504269793,0.09416087711680418,0.14039978047956772
wands,rank_band,1-10,Irrelevant,105,60,0.16777777777777778,0.0913888888888889,0.2563888888888889
wands,rank_band,1-10,Partial,2033,369,0.18559168925022584,0.16089382500967866,0.21196761947778203
wands,rank_band,101-500,Exact,9121,257,0.0041695419415092765,0.001980267285299319,0.0069327215062574
wands,rank_band,101-500,Irrelevant,7128,316,0.0047229919892637275,0.0003053167846537963,0.01234378173980398
wands,rank_band,101-500,Partial,43506,450,0.0036056947042277794,0.0023088483166147705,0.005365043211430392
wands,rank_band,11-20,Exact,1440,249,0.5822623828647926,0.5442756741250718,0.620525713966979
wands,rank_band,11-20,Irrelevant,125,62,0.647657450076805,0.5443548387096774,0.7471198156682027
wands,rank_band,11-20,Partial,2141,367,0.651965745426236,0.6208794494182777,0.6833704208295489
wands,rank_band,21-50,Exact,3368,266,0.40069472518399146,0.3693107818553843,0.43268163475601223
wands,rank_band,21-50,Irrelevant,433,132,0.21026654641029816,0.1529747069730886,0.2722779984892988
wands,rank_band,21-50,Partial,6242,426,0.31744726050551286,0.29526454770672533,0.3394269070959349
wands,rank_band,501+,Exact,6076,192,0.00017959770114942528,0.0,0.0005387931034482759
wands,rank_band,501+,Irrelevant,52074,389,0.0,0.0,0.0
wands,rank_band,501+,Partial,82504,427,2.8912597218608145e-05,0.0,8.673779165582444e-05
wands,rank_band,51-100,Exact,3702,241,0.05033249168693849,0.03422059021430941,0.0689130968480364
wands,rank_band,51-100,Irrelevant,854,174,0.026373794087920895,0.011904731808791875,0.044358857190475644
wands,rank_band,51-100,Partial,9244,432,0.037295808118958954,0.0309078569633659,0.044145882452288766
wands,fully_fits,False,Exact,16934,343,0.12769484577787937,0.1089570699442135,0.14747849863542495
wands,fully_fits,False,Irrelevant,39869,392,0.008987331492859433,0.00536339884823427,0.013861713835809922
wands,fully_fits,False,Partial,108690,459,0.05944992541537663,0.052903344898948185,0.06626020466282076
wands,fully_fits,True,Exact,8536,292,0.08692675285740147,0.07152003447513536,0.10387442864607477
wands,fully_fits,True,Irrelevant,20850,383,0.007648186925138003,0.004257209747573538,0.011968287978367992
wands,fully_fits,True,Partial,36980,454,0.040667813297091515,0.03386125422579007,0.048192645051483754
wands,attribute_band,1-3,Exact,12,7,0.0,0.0,0.0
wands,attribute_band,1-3,Irrelevant,49,37,0.0,0.0,0.0
wands,attribute_band,1-3,Partial,136,62,0.016129032258064516,0.0,0.04838709677419355
wands,attribute_band,11-30,Exact,3291,198,0.10142527521840669,0.07570148951101593,0.12945038526709143
wands,attribute_band,11-30,Irrelevant,8338,329,0.006319981967622084,0.002742179338897248,0.011023136481473482
wands,attribute_band,11-30,Partial,8281,405,0.030791015734566274,0.02297345249097703,0.03962002634569773
wands,attribute_band,31+,Exact,22058,368,0.11807275284788361,0.10323379626452388,0.13422709473112587
wands,attribute_band,31+,Irrelevant,51957,410,0.008813190154068827,0.00530751294648498,0.013362501777871717
wands,attribute_band,31+,Partial,136900,465,0.05826992643854192,0.05265995409666177,0.06419736793374918
wands,attribute_band,4-10,Exact,109,43,0.1517780238710471,0.0632305893933801,0.25642918666174475
wands,attribute_band,4-10,Irrelevant,375,125,0.013333333333333332,0.0,0.034666666666666665
wands,attribute_band,4-10,Partial,353,138,0.008684672815107597,0.0013175230566534915,0.018676163812033374
wands,value_overlap,False,Exact,8278,227,0.0883575477949804,0.0694549240423166,0.11046755899125493
wands,value_overlap,False,Irrelevant,27597,378,0.006924771672246176,0.003329350671194537,0.011810399366708335
wands,value_overlap,False,Partial,47112,446,0.025600329600299468,0.02119863497504486,0.03013242938885101
wands,value_overlap,True,Exact,17192,343,0.12413292486050977,0.10804639122896557,0.14144515185091905
wands,value_overlap,True,Irrelevant,33122,354,0.010632808298042787,0.006354076219421409,0.01560090051557323
wands,value_overlap,True,Partial,98558,445,0.0642029852653796,0.05599977878001445,0.07364756779937716
