dataset,encoder,method,K,highest_pairs,rescued_pairs,newly_missed_pairs,macro_net,ci_low,ci_high
wands,bge_base,BM25,20,21299,1341,1501,-0.01384734472042117,-0.037861035382933096,0.009803161175724034
wands,bge_base,BM25,50,21299,2010,2279,-0.005309749266118211,-0.029680294862072753,0.01909777659473161
wands,bge_base,BM25,100,21299,2412,2744,0.0006160190642847154,-0.02506741163071465,0.026787026656813845
wands,bge_base,BM25,200,21299,2340,2739,-0.012607250216124457,-0.037832924151131216,0.012550288353692547
wands,bge_base,BM25,500,21299,2168,2406,-0.015652411895653046,-0.039547536518635976,0.007923266453015092
wands,bge_base,BM25,1000,21299,1266,1885,-0.027508439352148674,-0.049521860934098307,-0.005437454964445888
wands,bge_base,Original,20,21299,0,0,0.0,0.0,0.0
wands,bge_base,Original,50,21299,0,0,0.0,0.0,0.0
wands,bge_base,Original,100,21299,0,0,0.0,0.0,0.0
wands,bge_base,Original,200,21299,0,0,0.0,0.0,0.0
wands,bge_base,Original,500,21299,0,0,0.0,0.0,0.0
wands,bge_base,Original,1000,21299,0,0,0.0,0.0,0.0
wands,bge_base,canonical,20,21299,1084,1165,0.0021286314280869172,-0.01079114609782658,0.01592230926947629
wands,bge_base,canonical,50,21299,1607,1715,-0.002259252220932562,-0.018004044422131743,0.014386086883452108
wands,bge_base,canonical,100,21299,1896,2025,0.0016002521662791043,-0.01942262987177847,0.023366943380778566
wands,bge_base,canonical,200,21299,1837,2064,-0.016194427373135502,-0.03716354803776052,0.004447964414011095
wands,bge_base,canonical,500,21299,1519,1768,-0.014658355263752707,-0.02894885885168553,-0.0012393103449195295
wands,bge_base,canonical,1000,21299,929,1253,-0.014547286071208478,-0.02574335584702387,-0.005378789058837215
wands,bge_base,canonical_raw,20,21299,393,411,-0.00032165544352152973,-0.00520614286857572,0.0043876470726301004
wands,bge_base,canonical_raw,50,21299,550,568,-0.005963297358250909,-0.015964971966659882,0.0028603675893727576
wands,bge_base,canonical_raw,100,21299,640,671,0.000659607820912873,-0.015047842561319157,0.01617923310456206
wands,bge_base,canonical_raw,200,21299,586,676,-0.006606175544941176,-0.01625355480990051,0.0017073936033855676
wands,bge_base,canonical_raw,500,21299,547,582,-0.001571647396996621,-0.007465499748299097,0.004330313913429604
wands,bge_base,canonical_raw,1000,21299,316,423,-0.002219701211466908,-0.006877046596514937,0.002307152389634561
wands,bge_base,hybrid,20,21299,851,726,0.01966279958707102,0.007845205057926337,0.0324352122962365
wands,bge_base,hybrid,50,21299,1237,993,0.031900053416946426,0.014674112360755671,0.0504363242781732
wands,bge_base,hybrid,100,21299,1485,1044,0.04893038272342095,0.032492979595662407,0.06661314768159497
wands,bge_base,hybrid,200,21299,1514,933,0.041934542979638466,0.025375063990923392,0.05948034606550634
wands,bge_base,hybrid,500,21299,1417,850,0.025734070061387282,0.01059008248676117,0.04124683549101885
wands,bge_base,hybrid,1000,21299,927,435,0.014864154680064497,0.006205435509734047,0.0239955431875017
wands,bge_base,rule_appearance,20,21299,418,406,-0.0001232860460079612,-0.0050529608416074335,0.004539521151929911
wands,bge_base,rule_appearance,50,21299,568,556,-0.0040297390877420776,-0.013274306421416757,0.003841870688448162
wands,bge_base,rule_appearance,100,21299,669,640,-0.0004821032523891287,-0.012131864879022645,0.011246507323422864
wands,bge_base,rule_appearance,200,21299,602,629,0.0008751715823348318,-0.009843956798290537,0.011780357643934198
wands,bge_base,rule_appearance,500,21299,557,594,0.001132392172854034,-0.009784427338365952,0.012163005788995781
wands,bge_base,rule_appearance,1000,21299,361,387,-0.003325342520155274,-0.007692092062161057,0.0007454550149239457
wands,bge_base,set_mean,20,21299,979,1036,-0.008036175243592176,-0.01962080313544976,0.0032458438619647717
wands,bge_base,set_mean,50,21299,1428,1467,-0.005385872805982007,-0.021453788023131675,0.010591936157010273
wands,bge_base,set_mean,100,21299,1568,1652,-0.013508818778138459,-0.032503653599673395,0.005447374786688622
wands,bge_base,set_mean,200,21299,1510,1580,-0.0013166158181740844,-0.016212515569954317,0.014341780141726773
wands,bge_base,set_mean,500,21299,1253,1237,-0.0022669893468084926,-0.01582519738056684,0.010119176711903898
wands,bge_base,set_mean,1000,21299,756,739,-0.004290556301636722,-0.014572600293675544,0.004412693394779471
esci,bge_base,BM25,20,4434,384,588,-0.0641959804121528,-0.08937376747091408,-0.03949372069674069
esci,bge_base,BM25,50,4434,207,483,-0.07426125427599607,-0.09638847086680903,-0.0522328690581399
esci,bge_base,BM25,100,4434,111,403,-0.0814567551719919,-0.10128021482066776,-0.062147588807074515
esci,bge_base,BM25,200,4434,75,376,-0.07297258986133827,-0.09274429579387156,-0.05353244326540133
esci,bge_base,BM25,500,4434,42,353,-0.0763411100259506,-0.0947916753612016,-0.05876891605629357
esci,bge_base,BM25,1000,4434,23,320,-0.07326211950414759,-0.09084935932598577,-0.05631713002217266
esci,bge_base,Original,20,4434,0,0,0.0,0.0,0.0
esci,bge_base,Original,50,4434,0,0,0.0,0.0,0.0
esci,bge_base,Original,100,4434,0,0,0.0,0.0,0.0
esci,bge_base,Original,200,4434,0,0,0.0,0.0,0.0
