dataset,query_id,repeat,single_query_encode_ms
esci,165,1,12.030999991111457
esci,433,1,12.317300075665116
esci,500,1,13.530800002627075
esci,541,1,11.680700001306832
esci,598,1,12.18630000948906
esci,600,1,12.317099957726896
esci,602,1,11.088600032962859
esci,622,1,10.41720004286617
esci,637,1,11.468900018371642
esci,861,1,12.4057000502944
esci,933,1,12.151099974289536
esci,978,1,12.413799995556474
esci,1210,1,12.29430001694709
esci,1293,1,11.343299993313849
esci,1310,1,11.294899974018335
esci,1458,1,11.906999978236854
esci,1476,1,12.41160009521991
esci,1530,1,11.166400043293834
esci,1659,1,10.95629995688796
esci,1816,1,10.5918999761343
esci,2286,1,10.276900022290647
esci,2390,1,10.670600109733641
esci,2692,1,10.687800007872283
esci,2855,1,10.483300080522895
esci,3012,1,11.050700093619525
esci,3492,1,11.198500054888427
esci,3494,1,11.369099956937134
esci,3986,1,10.523000033572316
esci,4299,1,11.095999972894788
esci,4321,1,10.691100033000112
esci,4860,1,10.939399944618344
esci,4956,1,12.764699989929795
esci,5079,1,14.699399936944246
esci,5094,1,15.014800010249019
esci,5419,1,13.582699932157993
esci,5787,1,13.863400090485811
esci,5921,1,12.872999999672174
esci,6138,1,12.723300023935735
esci,6685,1,12.385700014419854
esci,7034,1,11.447099968791008
esci,7126,1,11.425699922256172
esci,7303,1,11.15499995648861
esci,7340,1,12.269700062461197
esci,7545,1,11.778200045228004
esci,7581,1,11.495399987325072
esci,8063,1,11.333400034345686
esci,8519,1,11.140799964778125
esci,8605,1,11.578000034205616
esci,8740,1,11.165600037202239
esci,9096,1,10.552700026892126
esci,165,2,11.560100014321506
esci,433,2,11.948099941946566
esci,500,2,11.301000020466745
esci,541,2,10.444200015626848
esci,598,2,11.034400085918605
esci,600,2,11.566199944354594
esci,602,2,11.514100013300776
esci,622,2,11.732800048775971
esci,637,2,11.773600010201335
esci,861,2,11.555199977010489
esci,933,2,11.106999940238893
esci,978,2,10.625199996866286
esci,1210,2,10.53689990658313
esci,1293,2,10.770700057037175
esci,1310,2,10.288499994203448
esci,1458,2,10.826300014741719
esci,1476,2,11.309600085951388
esci,1530,2,10.99929993506521
esci,1659,2,10.709000052884221
esci,1816,2,10.640699998475611
esci,2286,2,11.3271001027897
esci,2390,2,10.788099956698716
esci,2692,2,10.670899995602667
esci,2855,2,10.89730008970946
esci,3012,2,10.779500007629395
esci,3492,2,10.67350001540035
esci,3494,2,10.600099922157824
esci,3986,2,11.442700051702559
esci,4299,2,10.913899983279407
esci,4321,2,11.906399973668158
esci,4860,2,12.010200065560639
esci,4956,2,11.018300079740584
esci,5079,2,10.850699967704713
esci,5094,2,11.148100020363927
esci,5419,2,11.941100005060434
esci,5787,2,11.210100026801229
esci,5921,2,10.611100005917251
esci,6138,2,10.609999997541308
esci,6685,2,11.148600024171174
esci,7034,2,10.384999914094806
esci,7126,2,12.477000011131167
esci,7303,2,12.768099899403751
esci,7340,2,13.273300020955503
esci,7545,2,12.262500007636845
esci,7581,2,12.15219998266548
esci,8063,2,11.653299909085035
esci,8519,2,11.92399999126792
esci,8605,2,12.762799975462258
esci,8740,2,13.82490003015846
esci,9096,2,14.421700034290552
esci,165,3,12.885300093330443
esci,433,3,12.22919998690486
esci,500,3,12.586299912072718
esci,541,3,11.805800022557378
esci,598,3,11.258299928158522
esci,600,3,12.01579999178648
esci,602,3,13.030799920670688
esci,622,3,11.140899965539575
esci,637,3,10.617999942041934
esci,861,3,10.802300064824522
esci,933,3,10.591799975372851
esci,978,3,10.5178999947384
esci,1210,3,10.437099961563945
esci,1293,3,10.934599908068776
esci,1310,3,11.124599957838655
esci,1458,3,10.684499982744455
esci,1476,3,13.452699990011752
esci,1530,3,12.792999972589314
esci,1659,3,13.221499975770712
esci,1816,3,12.619400047697127
esci,2286,3,11.659299954771996
esci,2390,3,13.303200015798211
esci,2692,3,11.950999964028597
esci,2855,3,11.936699971556664
esci,3012,3,11.462799971923232
esci,3492,3,11.60089997574687
esci,3494,3,11.506499955430627
esci,3986,3,11.916800052858889
esci,4299,3,11.81000005453825
esci,4321,3,11.673099943436682
esci,4860,3,11.923099984414876
esci,4956,3,11.648599989712238
esci,5079,3,11.055199895054102
esci,5094,3,10.580600006505847
esci,5419,3,10.314399958588183
esci,5787,3,10.43060002848506
esci,5921,3,10.616200044751167
esci,6138,3,11.588099994696677
esci,6685,3,10.583300027064979
esci,7034,3,11.353199952282012
esci,7126,3,11.268700007349253
esci,7303,3,10.623399983160198
esci,7340,3,10.695200064219534
esci,7545,3,11.002099956385791
esci,7581,3,12.030899990350008
esci,8063,3,11.756699997931719
esci,8519,3,11.709499987773597
esci,8605,3,11.506299953907728
esci,8740,3,11.73869997728616
esci,9096,3,11.667500017210841
esci,165,4,11.868500034324825
esci,433,4,11.481800000183284
esci,500,4,11.171999969519675
