dataset,encoder,method,query_id,K,n_highest,rescued,newly_missed,net,rescued_fraction,missed_fraction,net_fraction
wands,minilm,Original,0,20,39,0,0,0,0.0,0.0,0.0
wands,minilm,Original,1,20,8,0,0,0,0.0,0.0,0.0
wands,minilm,Original,2,20,151,0,0,0,0.0,0.0,0.0
wands,minilm,Original,3,20,55,0,0,0,0.0,0.0,0.0
wands,minilm,Original,4,20,23,0,0,0,0.0,0.0,0.0
wands,minilm,Original,5,20,179,0,0,0,0.0,0.0,0.0
wands,minilm,Original,6,20,43,0,0,0,0.0,0.0,0.0
wands,minilm,Original,7,20,23,0,0,0,0.0,0.0,0.0
wands,minilm,Original,9,20,74,0,0,0,0.0,0.0,0.0
wands,minilm,Original,10,20,21,0,0,0,0.0,0.0,0.0
wands,minilm,Original,11,20,65,0,0,0,0.0,0.0,0.0
wands,minilm,Original,13,20,46,0,0,0,0.0,0.0,0.0
wands,minilm,Original,14,20,20,0,0,0,0.0,0.0,0.0
wands,minilm,Original,16,20,4,0,0,0,0.0,0.0,0.0
wands,minilm,Original,17,20,21,0,0,0,0.0,0.0,0.0
wands,minilm,Original,20,20,12,0,0,0,0.0,0.0,0.0
wands,minilm,Original,22,20,22,0,0,0,0.0,0.0,0.0
wands,minilm,Original,26,20,876,0,0,0,0.0,0.0,0.0
wands,minilm,Original,27,20,100,0,0,0,0.0,0.0,0.0
wands,minilm,Original,28,20,175,0,0,0,0.0,0.0,0.0
wands,minilm,Original,31,20,1,0,0,0,0.0,0.0,0.0
wands,minilm,Original,35,20,51,0,0,0,0.0,0.0,0.0
wands,minilm,Original,36,20,37,0,0,0,0.0,0.0,0.0
wands,minilm,Original,37,20,110,0,0,0,0.0,0.0,0.0
wands,minilm,Original,38,20,1,0,0,0,0.0,0.0,0.0
wands,minilm,Original,39,20,31,0,0,0,0.0,0.0,0.0
wands,minilm,Original,40,20,40,0,0,0,0.0,0.0,0.0
wands,minilm,Original,41,20,19,0,0,0,0.0,0.0,0.0
