dataset,encoder,method,query_id,K,n_highest,rescued,newly_missed,net,rescued_fraction,missed_fraction,net_fraction
esci,bge_base,Original,165,20,6,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,433,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,500,20,22,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,541,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,598,20,14,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,600,20,26,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,602,20,3,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,622,20,26,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,637,20,13,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,861,20,24,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,933,20,4,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,978,20,12,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,1210,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,1293,20,10,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,1310,20,1,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,1458,20,15,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,1476,20,17,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,1530,20,17,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,1659,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,1816,20,4,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,2286,20,13,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,2390,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,2692,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,2855,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,3012,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,3492,20,1,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,3494,20,11,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,3986,20,14,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,4299,20,1,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,4321,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,4860,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,4956,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,5079,20,10,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,5094,20,11,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,5419,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,5787,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,5921,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,6138,20,3,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,6685,20,8,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,7034,20,1,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,7126,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,7303,20,12,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,7340,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,7545,20,12,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,7581,20,10,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,8063,20,12,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,8519,20,8,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,8605,20,6,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,8740,20,1,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,9096,20,11,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,9695,20,9,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,9776,20,9,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,9967,20,3,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,10312,20,20,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,10370,20,10,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,11509,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,11621,20,1,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,11875,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,11925,20,28,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,12176,20,27,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,12432,20,12,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,12557,20,8,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,12664,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,12809,20,4,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,13089,20,32,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,13169,20,11,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,13471,20,21,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,13639,20,15,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,13785,20,8,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,13954,20,13,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,14346,20,10,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,14880,20,4,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,14882,20,11,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,15154,20,28,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,15164,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,15311,20,10,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,15647,20,21,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,15716,20,14,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,15777,20,12,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,15807,20,15,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,16613,20,9,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,16684,20,13,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,17384,20,11,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,17607,20,17,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,17689,20,3,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,17742,20,12,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,18356,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,18553,20,21,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,18679,20,8,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,18682,20,8,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,18932,20,10,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,19053,20,14,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,19134,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,19268,20,21,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,19369,20,11,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,19372,20,15,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,19380,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,19619,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,19694,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,19953,20,3,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,20037,20,32,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,20185,20,4,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,20307,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,20315,20,10,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,20385,20,2,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,20500,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,20523,20,3,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,20788,20,5,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,21481,20,17,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,21645,20,13,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,22173,20,9,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,22211,20,3,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,22441,20,7,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,22639,20,9,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,23148,20,4,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,23260,20,15,0,0,0,0.0,0.0,0.0
esci,bge_base,Original,23744,20,1,0,0,0,0.0,0.0,0.0
