dataset,method,candidate_K,metric,mean,ci_low,ci_high
wands,Original,50,Recall@20,0.37594634693825907,0.3368598915286987,0.4156573169911574
wands,Original,50,returned_condensed_NDCG@10,0.785939043214248,0.7593515854705118,0.8117368511594608
wands,Original,100,Recall@20,0.3675407827251941,0.3280607463474717,0.4079394102433176
wands,Original,100,returned_condensed_NDCG@10,0.7836699692023578,0.7564778463933357,0.8100516809778917
wands,Original,200,Recall@20,0.3772636913572658,0.3371234711446359,0.41815395804883987
wands,Original,200,returned_condensed_NDCG@10,0.776912455917813,0.7495876422685405,0.8040128508581542
wands,Original,500,Recall@20,0.3787920357572766,0.3384934995438441,0.4194197832284607
wands,Original,500,returned_condensed_NDCG@10,0.7759568246362899,0.7483612250143592,0.8028623918675716
wands,hybrid,50,Recall@20,0.3830875385051617,0.34329941174413364,0.4245007089233353
wands,hybrid,50,returned_condensed_NDCG@10,0.7867907895490386,0.7594796575533242,0.8133760087226849
wands,hybrid,100,Recall@20,0.38342235463590524,0.3430508178033917,0.42421411344385984
wands,hybrid,100,returned_condensed_NDCG@10,0.7853738722630005,0.7583501669487677,0.8118152539750367
wands,hybrid,200,Recall@20,0.38182442707243525,0.34141017767002124,0.42285646666831167
wands,hybrid,200,returned_condensed_NDCG@10,0.7792682387562908,0.7518516257341256,0.8057346560559026
wands,hybrid,500,Recall@20,0.3845367564629762,0.34420145991075424,0.42611755509636445
wands,hybrid,500,returned_condensed_NDCG@10,0.7765230465451646,0.7485682863660627,0.8038979339417284
wands,rule_appearance,50,Recall@20,0.37158068712047826,0.33248873527325423,0.411016368238604
wands,rule_appearance,50,returned_condensed_NDCG@10,0.7839594700869833,0.7569031895533905,0.8100469551161376
wands,rule_appearance,100,Recall@20,0.374159268432036,0.3342914374957666,0.414685325974353
wands,rule_appearance,100,returned_condensed_NDCG@10,0.785145717092204,0.7580685646309326,0.8114659463189404
wands,rule_appearance,200,Recall@20,0.380039791176453,0.3396225084954529,0.42106281603383994
wands,rule_appearance,200,returned_condensed_NDCG@10,0.7826716454061288,0.7554407868938787,0.8090140436532736
wands,rule_appearance,500,Recall@20,0.3841555249556688,0.3437112594795543,0.42492363578943
wands,rule_appearance,500,returned_condensed_NDCG@10,0.7786274431710061,0.7513684573430294,0.805461720469411
