dataset,encoder,method,queries,Recall100,source
wands,minilm,Original,308,0.5788332820924585,phase4/results/wands_minilm_retrieval_summary.csv
wands,bge_base,Original,308,0.6317092063148237,phase4/results/wands_bge_base_retrieval_summary.csv
esci,minilm,Original,499,0.8613586583093018,phase4/results/esci_minilm_retrieval_summary.csv
esci,bge_base,Original,499,0.9097759035682006,phase4/results/esci_bge_base_retrieval_summary.csv
wands,minilm,canonical_raw,308,0.5604906636180105,phase4/results/wands_minilm_retrieval_summary.csv
wands,bge_base,canonical_raw,308,0.6323688141357366,phase4/results/wands_bge_base_retrieval_summary.csv
esci,minilm,canonical_raw,499,0.8641170055065267,phase4/results/esci_minilm_retrieval_summary.csv
esci,bge_base,canonical_raw,499,0.9104509122940938,phase4/results/esci_bge_base_retrieval_summary.csv
wands,minilm,set_mean,308,0.588070003289547,phase4/results/wands_minilm_retrieval_summary.csv
wands,bge_base,set_mean,308,0.6182003875366853,phase4/results/wands_bge_base_retrieval_summary.csv
esci,minilm,set_mean,499,0.8450156597563249,phase4/results/esci_minilm_retrieval_summary.csv
esci,bge_base,set_mean,499,0.8895036383409017,phase4/results/esci_bge_base_retrieval_summary.csv
wands,minilm,centroid_2,308,0.564377503409497,phase4/results/wands/minilm_centroid_2_per_query.csv
wands,bge_base,centroid_2,308,0.6395577008477498,phase4/results/wands/bge_base_centroid_2_per_query.csv
esci,minilm,centroid_2,499,0.8632655857172312,phase4/results/esci/minilm_centroid_2_per_query.csv
esci,bge_base,centroid_2,499,0.910661008922026,phase4/results/esci/bge_base_centroid_2_per_query.csv
wands,minilm,max_2,308,0.5703901725065191,phase4/results/wands/minilm_max_2_per_query.csv
wands,bge_base,max_2,308,0.6400023385806206,phase4/results/wands/bge_base_max_2_per_query.csv
esci,minilm,max_2,499,0.8635321861842324,phase4/results/esci/minilm_max_2_per_query.csv
esci,bge_base,max_2,499,0.9108538549315052,phase4/results/esci/bge_base_max_2_per_query.csv
wands,minilm,BM25,308,0.6323252253791084,phase4/results/wands_minilm_retrieval_summary.csv
wands,bge_base,BM25,308,0.6323252253791084,phase4/results/wands_bge_base_retrieval_summary.csv
esci,minilm,BM25,499,0.8283191483962087,phase4/results/esci_minilm_retrieval_summary.csv
esci,bge_base,BM25,499,0.8283191483962087,phase4/results/esci_bge_base_retrieval_summary.csv
wands,minilm,hybrid,308,0.6532247963811416,phase4/results/wands_minilm_retrieval_summary.csv
wands,bge_base,hybrid,308,0.6806395890382446,phase4/results/wands_bge_base_retrieval_summary.csv
esci,minilm,hybrid,499,0.8956765635306928,phase4/results/esci_minilm_retrieval_summary.csv
esci,bge_base,hybrid,499,0.915063106662016,phase4/results/esci_bge_base_retrieval_summary.csv
