field_key,field_id,theta
<UNK>,0,-0.0006529219099320471
a28degreelatch,1,0.0010396537836641073
aafacertified,2,0.002454932313412428
abstractandfractals,3,0.00329186231829226
acadapterincluded,4,0.004158615134656429
accentcolor,5,0.004677353426814079
accentfinish,6,0.0062379841692745686
accentpillow,7,0.0060066599398851395
accentpillowheight-toptobottom,8,0.00837262999266386
accentpillowsincluded,9,0.00950678065419197
accentpillowthickness-fronttoback,10,0.010416783392429352
accentpillowwidth-sidetoside,11,0.01143259834498167
accessdoor,12,0.01302309613674879
accessdoordepth-fronttoback,13,0.013498491607606411
accessdoorheight,14,0.014611504040658474
accessdoorincluded,15,0.015664147213101387
accessdoorwidth-sidetoside,16,0.016669081524014473
accessoriesincluded,17,0.018700534477829933
accessoriestoolsincluded,18,0.018713952973484993
accessorybagincluded,19,0.019753698259592056
accessoryincluded,20,0.022233517840504646
accessorytrayincluded,21,0.021772349253296852
accessorytype,22,0.020577410236001015
accommodatesfireplace,23,0.02391219139099121
acousticallytransparent,24,0.024951936677098274
activationtechnology,25,0.026684505864977837
activationtechnologyold,26,0.028542714193463326
adacompliant,27,0.027450384572148323
adaptertype,28,0.02911042794585228
additionalfeatures,29,0.030150175094604492
additionalframematerialdetails,30,0.030664639547467232
additionalintendeduseforchild,31,0.03328500688076019
additionalitem,32,0.03327066823840141
additionalitemlength-headtotoe,33,0.03430866822600365
additionalitems,34,0.03504451364278793
additionalitemsincluded,35,0.03683096915483475
additionalitemwidth-sidetoside,36,0.037427905946969986
additionalmaterial,37,0.0384676493704319
additionalmaterialdetails,38,0.039590008556842804
additionalmaterials,39,0.0407126247882843
additionalpartnumber,40,0.04158689081668854
additionalpartsrequired,41,0.04411418363451958
additionalpartsrequired-inactive,42,0.0438460111618042
additionalpieces,43,0.04505123570561409
additionalpiecesincluded,44,0.04579593986272812
additionalpowertoolsrequired,45,0.04678463563323021
additionaltoolsneededforinstallation,46,0.047520026564598083
additionaltoolsrequired,47,0.04869243875145912
additionaltoolsrequired ( not included ),48,0.05121733248233795
additionaltoolsrequirednotincluded,49,0.05119924619793892
adirondackback,50,0.051983363926410675
adjustability,51,0.05389673635363579
adjustable,52,0.05277678370475769
adjustableangle,53,0.05502263829112053
adjustablearms,54,0.05614234879612923
adjustablebaseincluded,55,0.057181112468242645
adjustablebed,56,0.061478037387132645
adjustablebodyjets,57,0.05926060304045677
adjustablebottleracks,58,0.06022192910313606
adjustablechain,59,0.06128675118088722
