field_key,occurrences,weight_sum,mean_weight
<UNK-native>,50501,816.3624955726555,0.016165273867302737
a28degreelatch,46,0.7483873786404729,0.01626929084001028
aafacertified,19,0.2944509079679847,0.015497416208841298
abrasionratingdoublerubs,13,0.35045153833925724,0.026957810641481325
abstractandfractals,608,7.101712980307639,0.011680448980769143
acadapterincluded,6,0.0998653331771493,0.01664422219619155
accentcolor,50,2.0503848530352116,0.04100769706070423
accentfinish,1,0.014259647578001022,0.014259647578001022
accentmaterial,12,0.3964066803455353,0.03303389002879461
accentpillow,602,5.840266478713602,0.0097014393334113
accentpillowheight-toptobottom,120,1.2008593389764428,0.010007161158137023
accentpillowsincluded,22,0.25499199982732534,0.011590545446696606
accentpillowthickness-fronttoback,83,0.6893673366867006,0.008305630562490368
accentpillowwidth-sidetoside,114,1.1837493451312184,0.010383766185361566
accessdoor,76,1.1413057120516896,0.015017180421732758
accessdoordepth-fronttoback,1,0.01301634032279253,0.01301634032279253
accessdoorheight,1,0.0191386379301548,0.0191386379301548
accessdoorincluded,1,0.012063543312251568,0.012063543312251568
accessdoorwidth-sidetoside,1,0.01600412093102932,0.01600412093102932
accessoriesincluded,120,3.0498864594846964,0.025415720495705802
accessoriestoolsincluded,10,0.7000328786671162,0.07000328786671162
accessorybagincluded,2,0.09098518267273903,0.045492591336369514
accessorydetails,1,0.017567558214068413,0.017567558214068413
accessoryincluded,50,0.9159763175994158,0.018319526351988316
accessorytrayincluded,183,4.67110329028219,0.025525154591705956
accessorytype,58,4.982324156910181,0.08590214063638243
accommodatesfireplace,200,1.7715415190905333,0.008857707595452666
accomodatesroddiameter,36,0.5646574692800641,0.015684929702224
acidfree,5,0.12759023532271385,0.02551804706454277
acousticallytransparent,105,2.419294319115579,0.02304089827729123
actflammabilityguidelinescompliant,8,0.17492497898638248,0.02186562237329781
activationtechnology,44,0.6285727946087718,0.014285745332017541
activationtechnologyold,44,0.8574533220380545,0.019487575500864874
adacompliant,7091,92.53710403246805,0.013049937107949239
adaptertype,5,0.0692024128511548,0.01384048257023096
adaptor,2,0.05573947913944721,0.027869739569723606
additionalbeverages,12,0.2876897621899843,0.02397414684916536
additionaldoorkitincluded,40,0.571839464828372,0.0142959866207093
additionalfeatures,8,0.18286283127963543,0.02285785390995443
additionalframematerialdetails,605,8.486044497229159,0.014026519830130842
additionalhardwarerequirednotincluded,1,0.007457897067070007,0.007457897067070007
additionalintendeduseforchild,1368,13.898820824921131,0.0101599567433634
additionalitem,132,1.393868599087,0.010559610599143938
additionalitemlength-headtotoe,5,0.04287196882069111,0.008574393764138221
additionalitems,80,2.1702967546880245,0.027128709433600306
additionalitemsincluded,285,4.720384020358324,0.0165627509486257
additionalitemwidth-sidetoside,5,0.04712893348187208,0.009425786696374417
additionalmaterial,2,0.03817025199532509,0.019085125997662544
additionalmaterialdetails,20,0.7160769328474998,0.035803846642374994
additionalmaterials,541,12.545036368072033,0.023188606965013
additionalpartnumber,2,0.05939728394150734,0.02969864197075367
additionalpartsrequired,1435,28.991878773551434,0.020203399842196122
additionalpartsrequired-inactive,15,0.13915540603920817,0.009277027069280545
additionalpicnicitemsincluded,11,0.15934047009795904,0.01448549728163264
additionalpieces,190,4.61191329639405,0.02427322787575816
additionalpiecesincluded,49,1.1549650682136416,0.02357071567782942
additionalpowertoolsrequired,1,0.010548101738095284,0.010548101738095284
additionaltoolsneededforinstallation,17,0.2724798386916518,0.016028225805391285
additionaltoolsrequired,149,2.842205739580095,0.019075206305906676
additionaltoolsrequired ( not included ),596,8.345983526203781,0.014003328064100304
additionaltoolsrequirednotincluded,10161,136.95444871811196,0.013478441956314532
addressplaqueorsignincluded,34,0.4743011901155114,0.013950035003397395
adhesivetabsincluded,1,0.008553514257073402,0.008553514257073402
adirondackback,9,0.1917033400386572,0.021300371115406353
adjustability,115,1.8503339672461152,0.016089860584748827
adjustabilitytype,7,0.13185628969222307,0.018836612813174725
adjustable,1414,28.571294684894383,0.02020600755650239
adjustableangle,16,0.2718207696452737,0.016988798102829605
adjustablearms,5,0.06460938230156898,0.012921876460313796
adjustableback,3,0.03505669254809618,0.011685564182698727
adjustablebase,1,0.018053041771054268,0.018053041771054268
adjustablebaseincluded,293,3.707894743885845,0.01265493086650459
adjustablebassortreble,1,0.019691551104187965,0.019691551104187965
adjustablebed,1311,14.305414058733732,0.010911833759522297
adjustablebodyjets,2,0.04293094575405121,0.021465472877025604
adjustablebottleracks,40,1.041798671707511,0.026044966792687772
adjustablebrightness,2,0.028067072853446007,0.014033536426723003
adjustablechain,6,0.1247335895895958,0.020788931598265965
adjustablechairbackheight,628,5.244169655255973,0.008350588623019066
adjustablecoarseness,1,0.04800373315811157,0.04800373315811157
adjustablecolortemperature,125,1.7988757826387882,0.014391006261110307
adjustableconfigurable,54,1.9246513862162828,0.03564169233733857
adjustabledepth,3,0.0807133475318551,0.026904449177285034
adjustabledetectionzones,3,0.043727751821279526,0.014575917273759842
adjustabledividers,1,0.029454678297042847,0.029454678297042847
adjustabledoorstorage,30,0.4063272913917899,0.013544243046392996
adjustabledrawerdividers,4,0.06289336550980806,0.015723341377452016
adjustableextension,417,5.110642454121262,0.012255737300050988
adjustableexteriorshelves,193,2.1349442452192307,0.011061887280928656
