query_id,product_id,label,grade
731,B07RX57HDL,I,0.0
731,B07RMZQJQL,I,0.0
731,B07QQHC9XP,S,0.1
731,B07L6MH96Z,I,0.0
731,B07MBYT38S,S,0.1
731,B07S7QHL2Y,S,0.1
731,B07N3VXLW1,I,0.0
731,B07T7CW89S,I,0.0
731,B08SJ18KLP,I,0.0
731,B081N18B63,S,0.1
731,B0821Y5BS3,I,0.0
731,B085B1YZ8Q,I,0.0
731,B08C24QJ45,I,0.0
731,B08MVZGB3S,I,0.0
731,B08PFRK8VD,S,0.1
731,B08Q3FMWJT,E,1.0
731,B07KM4PZQZ,S,0.1
731,B08TMC86R2,I,0.0
731,B07T8K575D,I,0.0
731,B07HCZ8WW3,S,0.1
731,B07C79SGBC,I,0.0
731,B07F69PLSK,I,0.0
731,B0020VJTDG,I,0.0
731,B002R3ZKLC,S,0.1
731,B002YI2IG0,I,0.0
731,B0099HD3YA,I,0.0
731,B07FY6G3YS,I,0.0
731,B00V9JP8EE,I,0.0
731,B06ZZ3XHBW,E,1.0
731,B06ZZBBQ4J,I,0.0
731,B00KVL30NC,I,0.0
731,B0751B1PBZ,S,0.1
731,B0753NHZVQ,I,0.0
731,B075DFGX2G,I,0.0
731,B075QK5SP2,I,0.0
731,B079FV6PRH,I,0.0
731,B07CL1QQMR,S,0.1
731,B07CWSCN3L,I,0.0
731,B07F1G63FL,I,0.0
731,B0716CKB4Y,I,0.0
2292,B08835NTQZ,E,1.0
2292,B087Z21FXV,E,1.0
2292,B087LW2KFG,S,0.1
2292,B0876LP52P,S,0.1
2292,B08543BJN2,S,0.1
2292,B082NZX92C,S,0.1
2292,B07YM938TP,S,0.1
2292,B07X6X1QPH,S,0.1
2292,B07X379CZ9,E,1.0
2292,B07V4QFKDM,S,0.1
2292,B07TXXZHZ8,S,0.1
2292,B07T443QPD,E,1.0
2292,B07RCP7ZV8,E,1.0
2292,B07P2JH6MS,E,1.0
2292,B07KBBKQ8X,S,0.1
2292,B07V6DG5ZC,S,0.1
5271,B07VYP1DBD,I,0.0
5271,B07VH468XL,S,0.1
5271,B07RY8P4M2,E,1.0
5271,B07PB9KWGZ,I,0.0
5271,B07PB99N77,I,0.0
5271,B07P66RYQH,E,1.0
5271,B07L4ST9DZ,E,1.0
5271,B07KC3M8P6,E,1.0
5271,B07CQK8DMH,E,1.0
5271,B07HBSYXRJ,E,1.0
5271,B07DZYMX4Q,S,0.1
5271,B0753C6HL7,E,1.0
5271,B01M66MUOL,S,0.1
5271,B00T62C3Q2,E,1.0
5271,B0050IJG6Q,E,1.0
5271,B07HRSDVSD,S,0.1
5318,B07Y31XDF5,E,1.0
5318,B07JZ3TY8Y,E,1.0
5318,B07GC9M3L6,I,0.0
5318,B07FL912CQ,E,1.0
5318,B07F1THWH7,I,0.0
5318,B07D4MN4MM,E,1.0
5318,B07D4C6SSJ,I,0.0
5318,B07XL84RJ4,E,1.0
5318,B07C5RX5XT,I,0.0
5318,B07795CLNB,E,1.0
5318,B07793PTJM,E,1.0
5318,B072MG45CL,E,1.0
5318,B01MCZ3QOQ,S,0.1
5318,B01D8FNB0O,E,1.0
5318,B008CUJBQ4,E,1.0
5318,B07CZQCMMZ,S,0.1
5643,B07R4MXBRJ,S,0.1
5643,B07S38MMR7,S,0.1
5643,B09CKTCT5H,S,0.1
5643,B07WDMJ6LK,E,1.0
5643,B07XJRVJ7V,E,1.0
5643,B08B38PJDP,S,0.1
5643,B08C2737NN,I,0.0
5643,B08DKT16DN,S,0.1
5643,B08JCH7PCV,S,0.1
5643,B08FD91KB4,S,0.1
5643,B08FHYW7WW,I,0.0
5643,B08K71LM3L,S,0.1
5643,B08KWLXSH1,S,0.1
5643,B08MZT468V,S,0.1
5643,B08YXGJ1Q8,S,0.1
5643,B0959VG12M,S,0.1
5643,B07NFRCTTD,S,0.1
5643,B08DR4M7WB,S,0.1
5643,B07L64CSMF,I,0.0
5643,B07HN8H7Q1,E,1.0
5643,B07KZP62VJ,S,0.1
5643,B009AGBIF6,E,1.0
5643,B00CX6DRJA,E,1.0
5643,B01L1IXMSG,S,0.1
5643,B01LS9TOR6,S,0.1
5643,B01N4ISWOR,S,0.1
5643,B072DVVMT5,S,0.1
5643,B072LXSN1Y,S,0.1
5643,B075NFVCV9,S,0.1
5643,B07L3G958T,E,1.0
5643,B07FF2VVL6,I,0.0
5643,B07FKXCR5P,S,0.1
5643,B07G7939D8,S,0.1
5643,B07H4VDC88,S,0.1
5643,B07HCSKL5K,E,1.0
5643,B07JHT8YHW,S,0.1
5643,B07JZ3JRWL,I,0.0
5643,B07KWSSMPF,E,1.0
5643,B07874DZZR,I,0.0
5680,B08CF1KQ41,I,0.0
5680,B086383HC7,E,1.0
5680,B084YQ7BFZ,S,0.1
5680,B082358X13,E,1.0
5680,B081D9HJ4P,E,1.0
5680,B07VFJV7RQ,I,0.0
5680,B07RF1XD36,S,0.1
5680,B07N6S4SY1,S,0.1
5680,B07HRZM2V4,E,1.0
5680,B07HM7K36G,S,0.1
5680,B07GM2J11Q,E,1.0
5680,B07GLV1VC7,E,1.0
5680,B07CVLLC8F,I,0.0
5680,B078RDNFSC,I,0.0
5900,B08TH735PK,C,0.01
5900,B07S2Z9433,I,0.0
5900,B08PZB3NRK,I,0.0
5900,B08PY12SCP,I,0.0
5900,B08PVFTZ6Q,I,0.0
5900,B08FRP4H2Z,I,0.0
5900,B07Y62RPGJ,I,0.0
5900,B07TJ9T6MP,I,0.0
5900,B07KP2J7R7,I,0.0
5900,B07J65C9B5,I,0.0
5900,B07GNZH1YQ,I,0.0
5900,B07BFB1YFC,I,0.0
5900,B077SMR2RK,I,0.0
5900,B00GNI0DNM,I,0.0
5900,1580895808,E,1.0
5900,0692744029,S,0.1
5900,B07MYTBV6N,E,1.0
6436,B07Z4N116N,S,0.1
6436,B07YY9P54Y,E,1.0
