field_key,field_id,theta
<UNK>,0,-0.00047091214219108224
a28degreelatch,1,0.0008473233901895583
aafacertified,2,0.0019571310840547085
abstractandfractals,3,0.002971487119793892
acadapterincluded,4,0.004158615134656429
accentcolor,5,0.004822469782084227
accentfinish,6,0.0062379841692745686
accentpillow,7,0.005957725457847118
accentpillowheight-toptobottom,8,0.008349350653588772
accentpillowsincluded,9,0.009414657950401306
accentpillowthickness-fronttoback,10,0.010394821874797344
accentpillowwidth-sidetoside,11,0.011452686972916126
accessdoor,12,0.012696566991508007
accessdoordepth-fronttoback,13,0.013513079844415188
accessdoorheight,14,0.014564840123057365
accessdoorincluded,15,0.015607298351824284
accessdoorwidth-sidetoside,16,0.01664002053439617
accessoriesincluded,17,0.017943566665053368
accessoriestoolsincluded,18,0.018713952973484993
accessorybagincluded,19,0.019753698259592056
accessoryincluded,20,0.021300984546542168
accessorytrayincluded,21,0.021286124363541603
accessorytype,22,0.02083820477128029
accommodatesfireplace,23,0.02391219139099121
acousticallytransparent,24,0.02493954449892044
activationtechnology,25,0.02678636647760868
activationtechnologyold,26,0.028309714049100876
adacompliant,27,0.028039611876010895
adaptertype,28,0.02911042794585228
additionalfeatures,29,0.030150175094604492
additionalframematerialdetails,30,0.03029780648648739
additionalintendeduseforchild,31,0.0331917405128479
additionalitem,32,0.03342437744140625
additionalitemlength-headtotoe,33,0.03430866822600365
additionalitems,34,0.03534024581313133
additionalitemsincluded,35,0.037454333156347275
additionalitemwidth-sidetoside,36,0.037427905946969986
additionalmaterial,37,0.0384676493704319
additionalmaterialdetails,38,0.039775550365448
additionalmaterials,39,0.04149728640913963
additionalpartnumber,40,0.04158689081668854
additionalpartsrequired,41,0.0429486483335495
additionalpartsrequired-inactive,42,0.04350642114877701
additionalpieces,43,0.044794101268053055
additionalpiecesincluded,44,0.04574364051222801
additionalpowertoolsrequired,45,0.04678463563323021
additionaltoolsneededforinstallation,46,0.04756150022149086
additionaltoolsrequired,47,0.049447011202573776
additionaltoolsrequired ( not included ),48,0.05084456130862236
additionaltoolsrequirednotincluded,49,0.05148740112781525
adirondackback,50,0.051983363926410675
adjustability,51,0.05384967476129532
adjustable,52,0.052677493542432785
adjustableangle,53,0.055102601647377014
adjustablearms,54,0.05614234879612923
adjustablebaseincluded,55,0.057181112468242645
adjustablebed,56,0.061424620449543
adjustablebodyjets,57,0.05926060304045677
adjustablebottleracks,58,0.060191452503204346
adjustablechain,59,0.06128857284784317
adjustablechairbackheight,60,0.06197618320584297
adjustablecolortemperature,61,0.06409855931997299
adjustableconfigurable,62,0.06445834785699844
adjustabledetectionzones,63,0.06592296063899994
adjustabledoorstorage,64,0.06653784215450287
adjustableextension,65,0.06579788029193878
adjustableexteriorshelves,66,0.0686173364520073
adjustablefit,67,0.06965707987546921
adjustableflame,68,0.07119163125753403
adjustableflowrate,69,0.0710841715335846
adjustablefootrest,70,0.07277631759643555
adjustablegrateheight,71,0.07408498227596283
adjustablehangerbars,72,0.07485581189393997
adjustablehanginglength,73,0.07562894374132156
adjustablehardness,74,0.0769352987408638
adjustableheadboard,75,0.07904589921236038
adjustableheadrest,76,0.07885931432247162
adjustableheight,77,0.0826973095536232
adjustableheightincrements,78,0.08109428733587265
adjustableheightsettings,79,0.08213403075933456
adjustableheightshelves,80,0.08312622457742691
adjustableheightstool,81,0.08370181173086166
adjustableinteriorshelves,82,0.08611097186803818
adjustablejets,83,0.08629301935434341
adjustablelamphead,84,0.08764242380857468
adjustablelegheight,85,0.08837053924798965
adjustablelengthrod,86,0.08934836089611053
adjustablelevelers,87,0.09051568061113358
adjustablelightbeam,88,0.0911797285079956
adjustablelightinglevels,89,0.0925295278429985
adjustablelumbar,90,0.0931866392493248
adjustablelumbarsupport,91,0.09421385824680328
adjustablemattressheight,92,0.09564876556396484
adjustablemirror,93,0.09655072540044785
adjustablerecline,94,0.09760526567697525
adjustableseatdepth,95,0.09853973239660263
adjustableseatheight,96,0.09930070489645004
adjustableshelfheight,97,0.10080987960100174
adjustableshelves,98,0.09996362775564194
adjustableshelvesbaskets,99,0.10297293215990067
adjustableshelving,100,0.10370883345603943
adjustableshelvingdetails,101,0.10500647872686386
adjustableshowercurtainrod,102,0.10604622215032578
adjustablesize,103,0.10699974000453949
adjustablespraypattern,104,0.10748881101608276
adjustableswivelhooks,105,0.10944855958223343
adjustabletableheight,106,0.11077479273080826
adjustabletableincluded,107,0.11126731336116791
adjustabletemperature,108,0.11228469759225845
adjustabletemperaturecontrol,109,0.11332247406244278
adjustablethermostat,110,0.11425386369228363
adjustablethermostatincluded,111,0.1154019683599472
adjustabletilttension,112,0.11561371386051178
adjustabletimesettings,113,0.11748146265745163
adjustablewaterflow,114,0.1183667778968811
adjustablewaterlevel,115,0.11957517266273499
adjustablewattage,116,0.12060070037841797
adjustablewidth,117,0.12150292098522186
adjustablewidthshelves,118,0.1226801946759224
adorned,119,0.12377941608428955
adultassemblyrequired,120,0.12587101757526398
advertisements,121,0.12554454803466797
advertising,122,0.12741342186927795
aeratorincluded,123,0.12948118150234222
agegroup,124,0.1302805244922638
agegrouprecommendation,125,0.1299564391374588
agerecommendation,126,0.13081973791122437
ahmacompliant,127,0.13203594088554382
airblowerincluded,128,0.13307568430900574
airdischargedirection,129,0.13411542773246765
airfilterincluded,130,0.13493035733699799
airflow,131,0.13637231290340424
airflowefficiency,132,0.1367233693599701
airpumpincluded,133,0.1382744163274765
airpurifier,134,0.13904404640197754
airpurifying,135,0.14074960350990295
airtight,136,0.14139364659786224
airventincluded,137,0.14274223148822784
alarm,138,0.14138026535511017
alarmsiren,139,0.14548705518245697
all-in-onekit,140,0.1451566368341446
allcompatiblepodtypes,141,0.146592378616333
allergenbarrier,142,0.1477966457605362
allweather,143,0.1515059620141983
aluminumdetails,144,0.1498149186372757
americancornholeassociationacacertified,145,0.1507798582315445
amperage,146,0.15058761835098267
ampererequirement,147,0.15283085405826569
amtrendingskus,148,0.1538705974817276
anchoringmaterialsincluded,149,0.15381880104541779
anchorkitincluded,150,0.15595009922981262
anchormountingmaterialsincluded,151,0.15698984265327454
animal,152,0.15801885724067688
animalcapacity,153,0.15906932950019836
animalinsecttype,154,0.16010907292366028
animals,155,0.16005396842956543
animalshaped,156,0.1621885746717453
animalsinsects,157,0.16325269639492035
animaltheme,158,0.16341248154640198
animaltype,159,0.16392715275287628
animalweightcapacity,160,0.16634756326675415
animated,161,0.16740015149116516
animationtype,162,0.16834169626235962
ansia1171compliant,163,0.1680460125207901
ansibhmaa156certified,164,0.17048905789852142
ansibhmagrade,165,0.17153774201869965
ansibifmae3furnituresustainabilitystandard,166,0.17265848815441132
ansibifmam7.1standardtestmethodfordeterminingvocemissions,167,0.17362578213214874
ansibifmam71standardtestmethodfordeterminingvocemissions,168,0.1752309650182724
ansibifmax511largeoccupantofficeseating,169,0.17588762938976288
ansibifmax51officeseating,170,0.17520073056221008
ansibifmax53verticalfiles,171,0.17778082191944122
ansibifmax54loungepublicseating,172,0.1760249137878418
ansibifmax55deskproducts,173,0.17947693169116974
ansibifmax56panelsystems,174,0.18181844055652618
ansibifmax59storage,175,0.1823790818452835
ansibifmax61educationalseating,176,0.18362130224704742
ansisohos65smallofficehomeoffice,177,0.18386855721473694
ansiwcmaa1001-2018standard,178,0.18735955655574799
ansiz124.6-97compliant,179,0.18642504513263702
ansiz1243compliant,180,0.18713854253292084
ansiz15acga91mcertified,181,0.18888813257217407
ansiz21.11.2-2016-gas-firedunventedroomheatersandgas-firedunventeddecorativeroomheaters,182,0.18921802937984467
ansiz21.50-2016csa2.22-2016-standardforventeddecorativegasappliances,183,0.19043467938899994
ansiz21.60-2017csa2.26-2017-standardfordecorativegasappliances,184,0.1909322291612625
"ansiz21.84-2017-standardformanuallylighted , naturalgas , decorativegasappliances",185,0.1920219510793686
ansiz21.88-2017csa2.33-2017-standardforventedgasfireplaceheaters,186,0.1931232213973999
anti-bacterial,187,0.1943749189376831
anti-fatigue,188,0.19735221564769745
anti-microbial,189,0.1974889189004898
anti-skid,190,0.19753600656986237
anti-slipbacking,191,0.2011699080467224
anti-snore,192,0.1996154934167862
anti-static,193,0.19905976951122284
anti-vibrationtechnology,194,0.2016899287700653
anti-wrinkle,195,0.20110711455345154
antibacterialtreatedsurface,196,0.20377448201179504
antimicrobial,197,0.20383748412132263
antimicrobialdisclaimer,198,0.20585396885871887
antimicrobialtreatmentintent,199,0.2067384123802185
antmoat,200,0.20803585648536682
apmacertified,201,0.210320383310318
appbluetoothcompatibility,202,0.21001295745372772
application,203,0.21292822062969208
applicationtype,204,0.21242061257362366
applique,205,0.21313218772411346
approvedapplications,206,0.21294717490673065
approximatedepth-fronttoback,207,0.21521668136119843
approximatewidth-sidetoside,208,0.2162739634513855
apronincluded,209,0.21916593611240387
apronsize,210,0.21833091974258423
arborpergolaincluded,211,0.21937066316604614
