schedule,dataset,model,query_id,product_id,K,catalog_index,score,competitor_threshold_score,competitor_threshold_id,competitor_threshold_index,signed_margin,reconstructed_rank,saved_rank,inclusion,reconstructed_inclusion,token_length,tokenizer_cap,fully_fitting,rank_mismatch,unresolved_boundary,exact_threshold_tie,precision,catalog_size,competitors,selection,display,variant
C2s1,wands,minilm,2,3276,20,3276,0.4509788751602173,0.4738779664039612,42557,42557,-0.022899091243743896,32,32,False,False,217,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s5,wands,minilm,2,3276,20,3276,0.47782182693481445,0.4738779664039612,42557,42557,0.0039438605308532715,16,16,True,True,217,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s5,wands,minilm,111,10165,20,10165,0.29073140025138855,0.3048747777938843,10156,10156,-0.014143377542495728,31,31,False,False,172,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C0,wands,minilm,111,10165,20,10165,0.3327493667602539,0.3048747777938843,10156,10156,0.02787458896636963,11,11,True,True,172,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s3,wands,minilm,86,41495,20,41495,0.5584713220596313,0.5918573141098022,9164,9164,-0.0333859920501709,40,40,False,False,200,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s2,wands,minilm,86,41495,20,41495,0.6165915131568909,0.5918573141098022,9164,9164,0.024734199047088623,13,13,True,True,200,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s3,wands,minilm,245,4394,20,4394,0.5764983892440796,0.5816242694854736,7653,7653,-0.005125880241394043,23,23,False,False,244,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s2,wands,minilm,245,4394,20,4394,0.6182194948196411,0.5816242694854736,7653,7653,0.03659522533416748,14,14,True,True,244,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s2,wands,minilm,160,8066,20,8066,0.5538278222084045,0.4908088445663452,34422,34422,0.06301897764205933,3,3,True,True,226,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s3,wands,minilm,160,8066,20,8066,0.5810390710830688,0.4908088445663452,34422,34422,0.09023022651672363,1,1,True,True,226,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s3,wands,minilm,333,22324,20,22324,0.6968502998352051,0.672260046005249,31884,31884,0.024590253829956055,8,8,True,True,192,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s5,wands,minilm,333,22324,20,22324,0.7164050340652466,0.672260046005249,31884,31884,0.04414498805999756,6,6,True,True,192,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C1,wands,minilm,415,32674,20,32674,0.6971516013145447,0.696075439453125,15605,15605,0.0010761618614196777,19,19,True,True,207,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s4,wands,minilm,415,32674,20,32674,0.7112526893615723,0.696075439453125,15605,15605,0.015177249908447266,12,12,True,True,207,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s1,wands,minilm,446,27022,20,27022,0.5786164999008179,0.5698376297950745,13214,13214,0.008778870105743408,18,18,True,True,217,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s4,wands,minilm,446,27022,20,27022,0.642279326915741,0.5698376297950745,13214,13214,0.0724416971206665,7,7,True,True,217,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C1,wands,minilm,28,35834,20,35834,0.5925700068473816,0.6702625751495361,9661,9661,-0.07769256830215454,84,84,False,False,220,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s2,wands,minilm,28,35834,20,35834,0.6120196580886841,0.6702625751495361,9661,9661,-0.05824291706085205,65,65,False,False,220,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s5,wands,minilm,68,9711,20,9711,0.3491211235523224,0.5602948069572449,25323,25323,-0.21117368340492249,662,662,False,False,243,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s1,wands,minilm,68,9711,20,9711,0.40032821893692017,0.5602948069572449,25323,25323,-0.1599665880203247,223,223,False,False,243,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s2,wands,minilm,184,15749,20,15749,0.4407373368740082,0.49923717975616455,6262,6262,-0.05849984288215637,67,67,False,False,241,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C1,wands,minilm,184,15749,20,15749,0.4742475152015686,0.49923717975616455,6262,6262,-0.024989664554595947,35,35,False,False,241,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s5,wands,minilm,231,10873,20,10873,0.6339274644851685,0.6943739652633667,20174,20174,-0.06044650077819824,112,112,False,False,246,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s3,wands,minilm,231,10873,20,10873,0.6656097173690796,0.6943739652633667,20174,20174,-0.02876424789428711,53,53,False,False,246,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C2s3,wands,bge_base,241,13328,20,13328,0.7792830467224121,0.7923736572265625,2663,2663,-0.01309061050415039,85,85,False,False,480,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C0,wands,bge_base,241,13328,20,13328,0.7940096855163574,0.7923736572265625,2663,2663,0.0016360282897949219,18,18,True,True,480,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C1,wands,bge_base,235,7253,20,7253,0.7565272450447083,0.7740170359611511,20422,20422,-0.01748979091644287,39,39,False,False,512,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,main_crossing,minimum
C0,wands,bge_base,235,7253,20,7253,0.7741144895553589,0.7740170359611511,20422,20422,9.745359420776367e-05,20,20,True,True,512,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,main_crossing,maximum
C0,wands,bge_base,242,14483,20,14483,0.8097391128540039,0.8152498602867126,19091,19091,-0.00551074743270874,31,31,False,False,444,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C1,wands,bge_base,242,14483,20,14483,0.8180934190750122,0.8152498602867126,19091,19091,0.0028435587882995605,13,13,True,True,444,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
C0,wands,bge_base,250,2598,20,2598,0.7350512742996216,0.741955578327179,29917,29917,-0.006904304027557373,34,34,False,False,449,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,minimum
C2s3,wands,bge_base,250,2598,20,2598,0.7423767447471619,0.741955578327179,29917,29917,0.00042116641998291016,20,20,True,True,449,512,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993,stratified_hash_panel,supplement,maximum
