schedule,dataset,model,query_id,product_id,K,catalog_index,score,competitor_threshold_score,competitor_threshold_id,competitor_threshold_index,signed_margin,reconstructed_rank,saved_rank,inclusion,reconstructed_inclusion,token_length,tokenizer_cap,fully_fitting,rank_mismatch,unresolved_boundary,exact_threshold_tie,precision,catalog_size,competitors
C0,wands,minilm,359,12575,20,12575,0.4918966591358185,0.4912347197532654,9834,9834,0.0006619393825531006,19,19,True,True,139,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C1,wands,minilm,359,12575,20,12575,0.4490737020969391,0.4912347197532654,9834,9834,-0.042161017656326294,58,58,False,False,139,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s1,wands,minilm,359,12575,20,12575,0.4534992575645447,0.4912347197532654,9834,9834,-0.0377354621887207,52,52,False,False,139,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s2,wands,minilm,359,12575,20,12575,0.3867812752723694,0.4912347197532654,9834,9834,-0.104453444480896,174,174,False,False,139,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s3,wands,minilm,359,12575,20,12575,0.49408191442489624,0.4912347197532654,9834,9834,0.0028471946716308594,15,15,True,True,139,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s4,wands,minilm,359,12575,20,12575,0.4671149253845215,0.4912347197532654,9834,9834,-0.024119794368743896,33,33,False,False,139,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s5,wands,minilm,359,12575,20,12575,0.46428894996643066,0.4912347197532654,9834,9834,-0.026945769786834717,36,36,False,False,139,256,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C0,wands,gte_modernbert,409,24318,20,24318,0.6974388957023621,0.689082145690918,22752,22752,0.008356750011444092,11,11,True,True,1059,8192,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C1,wands,gte_modernbert,409,24318,20,24318,0.6496999263763428,0.689082145690918,22752,22752,-0.039382219314575195,468,468,False,False,1059,8192,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s1,wands,gte_modernbert,409,24318,20,24318,0.6690213084220886,0.689082145690918,22752,22752,-0.020060837268829346,123,123,False,False,1059,8192,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s2,wands,gte_modernbert,409,24318,20,24318,0.6565348505973816,0.689082145690918,22752,22752,-0.03254729509353638,301,301,False,False,1059,8192,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s3,wands,gte_modernbert,409,24318,20,24318,0.6431988477706909,0.689082145690918,22752,22752,-0.04588329792022705,677,677,False,False,1059,8192,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s4,wands,gte_modernbert,409,24318,20,24318,0.6508045792579651,0.689082145690918,22752,22752,-0.03827756643295288,435,435,False,False,1059,8192,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
C2s5,wands,gte_modernbert,409,24318,20,24318,0.636094331741333,0.689082145690918,22752,22752,-0.05298781394958496,939,939,False,False,1059,8192,True,False,False,False,saved fp32; no epsilon in ranking,42994,42993
