query_id,product_id,label
1,16679,Exact
1,20054,Exact
1,25973,Exact
1,29449,Exact
1,33698,Exact
1,37304,Exact
1,5235,Exact
1,9929,Exact
2,10306,Exact
2,10437,Exact
2,10505,Exact
2,10539,Exact
2,10547,Exact
2,10550,Exact
2,10552,Exact
2,10553,Exact
2,10561,Exact
2,11033,Exact
2,11074,Exact
2,11075,Exact
2,11840,Exact
2,11871,Exact
2,11874,Exact
2,11877,Exact
2,11878,Exact
2,12020,Exact
2,12075,Exact
2,12130,Exact
2,12165,Exact
2,12179,Exact
2,12969,Exact
2,13500,Exact
2,13636,Exact
2,14034,Exact
2,14418,Exact
2,14678,Exact
2,15617,Exact
2,15618,Exact
2,16226,Exact
2,16227,Exact
2,16256,Exact
2,17275,Exact
2,18868,Exact
2,195,Exact
2,19651,Exact
2,20664,Exact
2,20665,Exact
2,20957,Exact
2,20971,Exact
2,20976,Exact
2,21043,Exact
2,21045,Exact
2,21046,Exact
2,21047,Exact
2,21048,Exact
2,21055,Exact
2,21062,Exact
2,21064,Exact
2,21072,Exact
2,21073,Exact
2,21083,Exact
2,21094,Exact
2,23033,Exact
2,24094,Exact
2,24095,Exact
2,24099,Exact
2,24196,Exact
2,25320,Exact
2,26729,Exact
2,27508,Exact
2,27509,Exact
2,27510,Exact
2,27511,Exact
2,27512,Exact
2,27513,Exact
2,27515,Exact
2,27516,Exact
2,27728,Exact
2,27812,Exact
2,28472,Exact
2,28482,Exact
2,29143,Exact
2,29144,Exact
2,29146,Exact
2,29150,Exact
2,29151,Exact
2,29152,Exact
2,29736,Exact
2,29776,Exact
2,29777,Exact
2,29886,Exact
2,30321,Exact
2,30926,Exact
2,32603,Exact
2,32604,Exact
2,3276,Exact
2,32781,Exact
2,32873,Exact
2,32893,Exact
2,34445,Exact
2,34734,Exact
2,34735,Exact
2,34736,Exact
2,34737,Exact
2,34739,Exact
2,34948,Exact
2,35710,Exact
2,35711,Exact
2,35712,Exact
2,36533,Exact
2,36534,Exact
2,36619,Exact
2,36620,Exact
2,36621,Exact
2,36622,Exact
2,36628,Exact
2,36630,Exact
2,36631,Exact
2,36632,Exact
2,36633,Exact
2,36645,Exact
2,36672,Exact
2,37068,Exact
2,3754,Exact
2,3756,Exact
2,38517,Exact
2,38578,Exact
2,38580,Exact
2,38581,Exact
2,38582,Exact
2,38593,Exact
2,38628,Exact
2,39310,Exact
2,39493,Exact
2,39494,Exact
2,39495,Exact
2,39496,Exact
2,39497,Exact
2,39498,Exact
2,39880,Exact
2,40289,Exact
2,4201,Exact
2,4202,Exact
2,4203,Exact
2,4204,Exact
2,4205,Exact
2,42516,Exact
2,42528,Exact
2,42530,Exact
2,42557,Exact
2,620,Exact
2,621,Exact
2,8093,Exact
2,8142,Exact
2,8589,Exact
2,9547,Exact
2,9569,Exact
2,9570,Exact
2,9571,Exact
6,10287,Exact
6,14488,Exact
6,1452,Exact
6,1454,Exact
6,14787,Exact
6,14788,Exact
6,18387,Exact
6,18655,Exact
6,18662,Exact
6,19248,Exact
6,19812,Exact
6,21912,Exact
6,21914,Exact
6,25143,Exact
6,25147,Exact
6,25571,Exact
6,25711,Exact
6,25875,Exact
6,26804,Exact
6,27039,Exact
6,28921,Exact
6,28922,Exact
6,29488,Exact
6,29496,Exact
6,29497,Exact
6,29502,Exact
6,29503,Exact
6,30107,Exact
6,30129,Exact
6,30514,Exact
6,32573,Exact
6,32575,Exact
6,33512,Exact
6,34105,Exact
6,39367,Exact
6,39368,Exact
6,39369,Exact
6,40460,Exact
6,41827,Exact
6,41828,Exact
6,42350,Exact
6,42527,Exact
6,752,Exact
7,11297,Exact
7,11316,Exact
7,14226,Exact
7,14227,Exact
7,17379,Exact
7,19580,Exact
7,19768,Exact
7,24319,Exact
7,24449,Exact
7,27648,Exact
7,29096,Exact
7,33158,Exact
7,34083,Exact
7,34787,Exact
7,34926,Exact
7,3647,Exact
7,37645,Exact
7,37651,Exact
7,37652,Exact
7,37655,Exact
7,40795,Exact
7,41904,Exact
7,4310,Exact
11,10263,Exact
11,10264,Exact
11,10265,Exact
11,11917,Exact
11,11918,Exact
11,11919,Exact
11,11920,Exact
11,11922,Exact
11,11923,Exact
11,11925,Exact
11,11926,Exact
11,11927,Exact
11,11928,Exact
11,11929,Exact
11,14382,Exact
11,14400,Exact
11,14656,Exact
11,17136,Exact
11,18139,Exact
11,18140,Exact
11,18141,Exact
11,18459,Exact
11,24510,Exact
11,24511,Exact
11,24512,Exact
11,25658,Exact
11,25702,Exact
11,25744,Exact
11,25752,Exact
11,28172,Exact
11,28348,Exact
11,28778,Exact
11,28779,Exact
11,28780,Exact
11,29810,Exact
11,32340,Exact
11,37028,Exact
11,37573,Exact
11,3835,Exact
11,3856,Exact
11,3857,Exact
11,3858,Exact
11,3859,Exact
11,3860,Exact
11,3861,Exact
11,3885,Exact
11,38897,Exact
11,4126,Exact
11,42195,Exact
11,42196,Exact
11,7740,Exact
11,7741,Exact
11,7742,Exact
11,82,Exact
11,83,Exact
11,84,Exact
11,85,Exact
11,8536,Exact
11,8537,Exact
11,9143,Exact
11,9144,Exact
11,9145,Exact
11,9146,Exact
11,9147,Exact
11,9148,Exact
13,12504,Exact
13,12505,Exact
13,12508,Exact
13,12509,Exact
13,12510,Exact
13,12514,Exact
13,12520,Exact
13,16354,Exact
13,16355,Exact
13,22849,Exact
13,22850,Exact
13,22851,Exact
13,22852,Exact
13,22853,Exact
13,22854,Exact
13,22855,Exact
13,22856,Exact
13,22857,Exact
13,22858,Exact
13,22859,Exact
13,26660,Exact
13,27527,Exact
13,29352,Exact
13,29729,Exact
13,29730,Exact
13,29731,Exact
13,30523,Exact
13,30538,Exact
13,34045,Exact
13,36728,Exact
13,36851,Exact
13,36919,Exact
13,36920,Exact
13,36921,Exact
13,37871,Exact
13,40883,Exact
13,40892,Exact
13,41426,Exact
13,42812,Exact
13,42813,Exact
13,42814,Exact
13,5451,Exact
13,5943,Exact
13,7098,Exact
13,8633,Exact
