product_id,distinct_full_family_texts,distinct_old_seven_texts,dataset
0,32,7,wands
1000,32,7,wands
10000,32,7,wands
10019,32,7,wands
10024,32,7,wands
10029,32,7,wands
10038,32,7,wands
10043,32,7,wands
10074,32,7,wands
10075,32,7,wands
10076,32,7,wands
10096,32,7,wands
10097,32,7,wands
10107,32,7,wands
10108,32,7,wands
10109,32,7,wands
10110,32,7,wands
10114,32,7,wands
10115,32,7,wands
10116,32,7,wands
10118,32,7,wands
10126,32,7,wands
10127,32,7,wands
10128,32,7,wands
10129,32,7,wands
10130,32,7,wands
10131,32,7,wands
10132,32,7,wands
10136,19,6,wands
10138,32,7,wands
10139,32,7,wands
1014,32,7,wands
10142,32,7,wands
10144,32,7,wands
10145,32,7,wands
10146,32,7,wands
10147,32,7,wands
10150,32,7,wands
10153,32,7,wands
10155,32,7,wands
10156,32,7,wands
10157,32,7,wands
10161,32,7,wands
10162,32,7,wands
10165,32,7,wands
10166,32,7,wands
10167,32,7,wands
10168,32,7,wands
10169,32,7,wands
10170,32,7,wands
10172,32,7,wands
10174,32,7,wands
10175,32,7,wands
10176,32,7,wands
10179,32,7,wands
10180,32,7,wands
10181,32,7,wands
10182,32,7,wands
10183,32,7,wands
10184,32,7,wands
10185,32,7,wands
10187,32,7,wands
10190,32,7,wands
10193,32,7,wands
10195,32,7,wands
10196,32,7,wands
10197,32,7,wands
10198,32,7,wands
10206,32,7,wands
10207,32,7,wands
10208,32,7,wands
10216,32,7,wands
10231,32,7,wands
10232,32,7,wands
10234,32,7,wands
10263,32,7,wands
10264,32,7,wands
10265,32,7,wands
10268,32,7,wands
10278,32,7,wands
10287,32,7,wands
10295,32,7,wands
10305,32,7,wands
10306,32,7,wands
10316,32,7,wands
10331,32,7,wands
10334,32,7,wands
10355,32,7,wands
10373,32,7,wands
10378,32,7,wands
10380,32,7,wands
10381,32,7,wands
10420,32,7,wands
10421,32,7,wands
10424,32,7,wands
10429,32,7,wands
10437,32,7,wands
1045,32,7,wands
10454,32,7,wands
10465,32,7,wands
1048,32,7,wands
10505,32,7,wands
1052,32,7,wands
10538,32,7,wands
10539,32,7,wands
1054,32,7,wands
10547,32,7,wands
1055,32,7,wands
10550,32,7,wands
10552,32,7,wands
10553,32,7,wands
10561,32,7,wands
10579,32,7,wands
1059,32,7,wands
1060,32,7,wands
1061,32,7,wands
10625,32,7,wands
1063,32,7,wands
10650,32,7,wands
10660,32,7,wands
10663,32,7,wands
10664,32,7,wands
10666,32,7,wands
1067,32,7,wands
10672,32,7,wands
1068,32,7,wands
10692,32,7,wands
10694,32,7,wands
10703,32,7,wands
10713,32,7,wands
10715,32,7,wands
1073,32,7,wands
10738,32,7,wands
10746,32,7,wands
10747,32,7,wands
10755,32,7,wands
10758,32,7,wands
10762,32,7,wands
10765,32,7,wands
10766,32,7,wands
10772,32,7,wands
10784,32,7,wands
10785,32,7,wands
10787,32,7,wands
10798,32,7,wands
1080,32,7,wands
10800,32,7,wands
10802,32,7,wands
10803,32,7,wands
10805,32,7,wands
10813,32,7,wands
10819,32,7,wands
10825,32,7,wands
10829,32,7,wands
10831,32,7,wands
10841,32,7,wands
10845,32,7,wands
1085,32,7,wands
1088,32,7,wands
10918,32,7,wands
10919,32,7,wands
10946,32,7,wands
10957,32,7,wands
10982,32,7,wands
