method,group,lr,seed,epoch,train_loss,gradient_mean,gradient_max,sample_entropy,sample_max_weight,Recall@20,Recall@100,VI@20,VI@100,Robust@100,Never@100,worst_schedule@100,cNDCG@10,invariance_max_L2
C2,C2_lr3e-05,3e-05,42,0,,0.0,0.0,3.8918254375457764,0.031115666031837463,0.5106883727542438,0.7981459316163033,0.0,0.0,0.7981459316163033,0.20185406838369668,0.7981459316163033,0.8784946872666445,1.3960891465103487e-07
C2,C2_lr3e-05,3e-05,43,0,,0.0,0.0,3.8918254375457764,0.031115666031837463,0.5106883727542438,0.7981459316163033,0.0,0.0,0.7981459316163033,0.20185406838369668,0.7981459316163033,0.8784946872666445,1.3960891465103487e-07
C2,C2_lr3e-05,3e-05,44,0,,0.0,0.0,3.8918254375457764,0.031115666031837463,0.5106883727542438,0.7981459316163033,0.0,0.0,0.7981459316163033,0.20185406838369668,0.7981459316163033,0.8784946872666445,1.3960891465103487e-07
C2,C2_lr3e-05,3e-05,42,1,0.25204562457899254,0.10619007120134705,0.32199329137802124,3.838484764099121,0.057327814400196075,0.5065497001283307,0.795713756700301,0.0,0.0,0.795713756700301,0.20428624329969894,0.795713756700301,0.8712094083899345,1.1665126464777131e-07
C2,C2_lr3e-05,3e-05,43,1,0.2511829659907204,0.1078841550924787,0.3871695101261139,3.839158058166504,0.05378299951553345,0.507677708149721,0.7959993249789958,0.0,0.0,0.7959993249789958,0.20400067502100405,0.7959993249789958,0.8767652556587594,1.1245677455917757e-07
C2,C2_lr3e-05,3e-05,44,1,0.2486433107970339,0.1052538430685121,0.28117573261260986,3.837275505065918,0.052216023206710815,0.5088311106872067,0.7976419352963677,0.0,0.0,0.7976419352963677,0.2023580647036323,0.7976419352963677,0.8747040942136746,1.2040848673677829e-07
C2,C2_lr3e-05,3e-05,42,2,0.2339127024240566,0.2829413264989853,0.7222892045974731,3.2079429626464844,0.1939030885696411,0.5148638646979018,0.782613706953107,0.0,0.0,0.782613706953107,0.21738629304689305,0.782613706953107,0.8437406404126521,1.3131229081864149e-07
C2,C2_lr3e-05,3e-05,43,2,0.23398189212788234,0.28377345630503964,0.8720080256462097,3.253340721130371,0.18743805587291718,0.5106933585798535,0.7817412468321137,0.0,0.0,0.7817412468321137,0.21825875316788632,0.7817412468321137,0.8485924100294584,1.357170020810372e-07
C2,C2_lr3e-05,3e-05,44,2,0.23426516963676972,0.25565487744681764,0.9900215268135071,3.3410496711730957,0.1629105806350708,0.5156158344290633,0.7811399702252143,0.0,0.0,0.7811399702252143,0.2188600297747858,0.7811399702252143,0.8435076836041895,1.1150207512855559e-07
C2,C2_lr3e-05,3e-05,42,3,0.2113047665493055,0.5727057624043841,1.821579098701477,2.4233803749084473,0.3567521274089813,0.46518132025337405,0.7179484085824444,0.0,0.0,0.7179484085824444,0.28205159141755565,0.7179484085824444,0.8310298128579353,1.3658544162353792e-07
C2,C2_lr3e-05,3e-05,43,3,0.20940282201450883,0.5657709102061662,2.121497869491577,2.462031364440918,0.34075286984443665,0.40160430030258376,0.7540942500501112,0.0,0.0,0.7540942500501112,0.2459057499498888,0.7540942500501112,0.8387264961383302,1.5793850138834387e-07
C2,C2_lr3e-05,3e-05,44,3,0.21324421674238914,0.5182053766241579,2.307427406311035,2.524057388305664,0.3294452726840973,0.4485821295683949,0.7591068601053459,0.0,0.0,0.7591068601053459,0.24089313989465405,0.7591068601053459,0.8350169639233509,1.3987435920626012e-07
C2,C2_lr3e-05,3e-05,42,4,0.19647567733332064,0.8642861822789366,4.212956428527832,1.879305362701416,0.44262635707855225,0.4507092471391534,0.7043856060679592,0.0,0.0,0.7043856060679592,0.29561439393204086,0.7043856060679592,0.8298633272843688,1.4024375616372708e-07
C2,C2_lr3e-05,3e-05,43,4,0.19720809968809286,0.9121255869553848,2.8936548233032227,1.9115486145019531,0.4243803024291992,0.39573902187896126,0.741730650369102,0.0,0.0,0.741730650369102,0.2582693496308979,0.741730650369102,0.8389279924494512,1.3685925637219043e-07
C2,C2_lr3e-05,3e-05,44,4,0.19454413629842526,0.8771882452296488,2.798248291015625,2.20862078666687,0.424964964389801,0.4509821951449101,0.7520700497368997,0.0,0.0,0.7520700497368997,0.24792995026310022,0.7520700497368997,0.830481572599627,1.4067821041408024e-07
C2,C2_lr3e-05,3e-05,42,5,0.18705893488544406,0.9969018335933938,3.8157269954681396,1.6792960166931152,0.5190417766571045,0.46560811125469204,0.6886458415595802,0.0,0.0,0.6886458415595802,0.3113541584404198,0.6886458415595802,0.8286406454480654,1.7497728777016164e-07
C2,C2_lr3e-05,3e-05,43,5,0.18714399661191486,1.1180711608718743,5.449355125427246,2.0386996269226074,0.49823445081710815,0.4044326765608104,0.7374494331224326,0.0,0.0,0.7374494331224326,0.26255056687756745,0.7374494331224326,0.8364141747590746,1.35545263901804e-07
C2,C2_lr3e-05,3e-05,44,5,0.18390928694244588,1.1630005259631258,5.513571739196777,1.8450508117675781,0.47318825125694275,0.47714701969600654,0.7268724281106291,0.0,0.0,0.7268724281106291,0.2731275718893708,0.7268724281106291,0.8292048465692918,1.3205692539486336e-07
