name,stage,seconds
D_T0_s42,final_catalog_generation,6.358999999938533
D_T0_s42,full_schedule_audit,98.25
D_T0_s42,test_ranking,4.6560000001918525
D_T0_s42_lr0.0001,dev_catalog_generation,9.718999999808148
D_T0_s42_lr0.0001,dev_ranking,0.4069999996572733
D_T0_s42_lr0.0001,sampled_invariance,1.2960000003222376
D_T0_s42_lr0.0001,training,1.5000000002328306
D_T0_s42_lr0.0003,dev_catalog_generation,9.31499999971129
D_T0_s42_lr0.0003,dev_ranking,0.4830000002402812
D_T0_s42_lr0.0003,sampled_invariance,0.9680000001098961
D_T0_s42_lr0.0003,training,1.1870000001508743
D_T0_s43,final_catalog_generation,6.25
D_T0_s43,full_schedule_audit,98.12400000030175
D_T0_s43,test_ranking,4.375
D_T0_s43_lr0.0001,dev_catalog_generation,10.967999999877065
D_T0_s43_lr0.0001,dev_ranking,0.7190000002738088
D_T0_s43_lr0.0001,sampled_invariance,1.2660000000614673
D_T0_s43_lr0.0001,training,2.2660000000614673
D_T0_s44,final_catalog_generation,5.952999999979511
D_T0_s44,full_schedule_audit,96.8430000001099
D_T0_s44,test_ranking,4.391000000061467
D_T0_s44_lr0.0001,dev_catalog_generation,9.844000000040978
D_T0_s44_lr0.0001,dev_ranking,0.7180000001098961
D_T0_s44_lr0.0001,sampled_invariance,1.2049999996088445
D_T0_s44_lr0.0001,training,2.015000000363216
D_T1_s42,final_catalog_generation,6.015000000130385
D_T1_s42,full_schedule_audit,98.26599999982864
D_T1_s42,test_ranking,4.312000000150874
D_T1_s42_lr0.0001,dev_catalog_generation,9.29700000025332
D_T1_s42_lr0.0001,dev_ranking,0.3749999995343387
D_T1_s42_lr0.0001,sampled_invariance,1.0309999999590218
D_T1_s42_lr0.0001,training,7.656999999890104
D_T1_s42_lr0.0003,dev_catalog_generation,9.532000000355765
D_T1_s42_lr0.0003,dev_ranking,0.3889999999664724
D_T1_s42_lr0.0003,sampled_invariance,0.8909999998286366
D_T1_s42_lr0.0003,training,7.547999999718741
D_T2_f0.25_s42,final_catalog_generation,6.062999999849126
D_T2_f0.25_s42,full_schedule_audit,98.29700000002049
D_T2_f0.25_s42,test_ranking,4.313000000081956
D_T2_f0.25_s42_lr0.0001,dev_catalog_generation,11.124000000301749
D_T2_f0.25_s42_lr0.0001,dev_ranking,0.8139999995473772
D_T2_f0.25_s42_lr0.0001,sampled_invariance,1.4990000000689179
D_T2_f0.25_s42_lr0.0001,training,3.0630000000819564
D_T2_f0.5_s42,final_catalog_generation,6.108999999938533
