Candidate,Selected_epoch,Epochs_run,Selected_dev_R100,Best_trained_epoch,Best_trained_dev_R100,Last_dev_R100,Last_train_loss,Last_alpha,Last_delta_norm,Last_cosine_to_base,Max_gradient_norm
D_T0_s42_lr0.0001,0,4,79.58391265413321,1,79.58391265413321,71.79156034127656,0.2299133796831627,0.0510492287576198,23.6933708190918,0.7899752259254456,0.2859867513179779
D_T0_s42_lr0.0003,0,4,79.58391265413321,1,78.96395879023473,54.96955135593549,0.1175750271304623,0.0513705648481845,31.26897621154785,0.4754624664783478,1.9328521490097048
D_T1_s42_lr0.0001,0,4,79.58391265413321,1,67.01265044197098,18.83942830212764,0.0433074182141337,0.0516019985079765,21.265655517578125,0.6017197370529175,1.4943149089813232
D_T1_s42_lr0.0003,0,4,79.58391265413321,1,36.98029812182252,9.48597225911012,0.022358260113039,0.0522247329354286,22.894275665283203,0.5423513054847717,1.5363945960998535
D_T2_s42_lr0.0001,0,4,79.58391265413321,1,58.71222536835571,9.42351013201554,0.1545552308912799,0.0516708083450794,21.310443878173828,0.5554792881011963,2.967124462127685
D_T2_s42_lr0.0003,0,4,79.58391265413321,1,10.54953711689954,8.28326517772884,0.0945394547901519,0.0521360710263252,22.610673904418945,0.4974291920661926,3.267594814300537
S_T0_s42_lr0.0001,0,4,79.58391265413321,1,77.16013523802843,67.70071678460256,0.1477070046868516,0.0507346391677856,5.82219123840332,0.9863265156745912,5.940411567687988
S_T0_s42_lr0.0003,0,4,79.58391265413321,1,71.15376482323734,44.22562835566534,0.0639749603830414,0.0519316308200359,14.260931968688965,0.8960232734680176,7.691316604614258
S_T1_s42_lr0.0001,0,4,79.58391265413321,1,63.95035577644668,33.70989826880793,0.0419429369696287,0.0528869368135929,16.34020233154297,0.8323835134506226,25.415037155151367
S_T1_s42_lr0.0003,0,4,79.58391265413321,3,40.73645373352857,18.71911918538231,0.0193263220939342,0.054742407053709,27.154417037963867,0.3858360052108764,16.833633422851562
S_T2_s42_lr0.0001,0,4,79.58391265413321,1,58.3969163072486,24.70805879727895,0.1917120613933231,0.052544966340065,18.54718017578125,0.7926091551780701,73.02201080322266
S_T2_s42_lr0.0003,0,4,79.58391265413321,1,36.80545151727655,8.28792910125927,0.0474089521705694,0.0552554167807102,27.037328720092773,0.347799152135849,37.176048278808594
D_T2_f0.25_s42_lr0.0001,0,4,79.58391265413321,1,79.58391265413321,63.45963021264637,0.6747866365921292,0.0511803179979324,27.42172813415528,0.5800125002861023,0.707103967666626
D_T2_f0.5_s42_lr0.0001,0,4,79.58391265413321,1,78.83235568754806,12.47584362597669,0.252270931876848,0.0514875091612339,21.866024017333984,0.5719053149223328,1.4925258159637451
S_T2_f0.25_s42_lr0.0001,0,4,79.58391265413321,1,78.2654222965446,56.37984791572088,0.5887579712147208,0.0508022531867027,7.631566524505615,0.9753503203392028,60.72753143310547
S_T2_f0.5_s42_lr0.0001,0,4,79.58391265413321,1,67.15048585041416,42.68616669541716,0.3745450353300249,0.0514356382191181,10.303126335144045,0.9521355032920836,67.34857177734375
D_T0_s43_lr0.0001,0,4,79.58391265413321,1,79.58391265413321,70.96307326462772,0.2273173175015292,0.0510637275874614,25.206859588623047,0.7715110182762146,0.4347143471240997
D_T0_s44_lr0.0001,0,4,79.58391265413321,1,79.58391265413321,71.37817038636412,0.2254204627795097,0.0510393008589744,26.87251091003418,0.7528786063194275,0.1927491426467895
S_T0_s43_lr0.0001,0,4,79.58391265413321,1,77.79337264780811,73.17923466234188,0.148485290261852,0.0507594160735607,6.541007041931152,0.9828854203224182,4.814299583435059
S_T0_s44_lr0.0001,0,4,79.58391265413321,1,77.76090751624919,65.90621055078022,0.1485831134921902,0.0507127232849597,5.922215461730957,0.9858585596084596,9.33974838256836
