Method,Epoch,Alpha,Base_norm_mean,Delta_norm_mean,Delta_to_base_median,Delta_to_base_p95,Scaled_residual_p95,Cosine_final_base_mean,Cosine_final_base_p05
D_T0_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
D_T1_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
D_T2_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
S_T0_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
S_T1_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
S_T2_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
D_T2_f0.25_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
D_T2_f0.5_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
S_T2_f0.25_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
S_T2_f0.5_s42,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
D_T0_s43,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
D_T0_s44,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
S_T0_s43,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
S_T0_s44,0,0.05000000074505806,1.0,0.0,0.0,0.0,0.0,1.0,1.0
