candidate,epoch,train_loss,gradient_mean,gradient_max,training_seconds,Recall@20,Recall@100,Robust@100,VI@20,VI@100,Never@100,base_attribute_norm,delta_norm,delta_to_base,scaled_delta_to_base,final_base_cosine,alpha,invariance_max_L2,alpha_global
D_T0_s42_lr0.0001,0,,0.0,0.0,0.0,0.5029990225043398,0.7958391265413322,0.7958391265413322,0.0,0.0,0.2041608734586678,1.0,0.0,0.0,0.0,1.0,0.0500214584171772,1.2582759723045456e-07,0.05
D_T0_s42_lr0.0001,1,0.2827411134601076,0.0162241122020142,0.0365351252257823,0.5470000000204891,0.5037833362298301,0.7958391265413322,0.7958391265413322,0.0,0.0,0.2041608734586678,1.0,0.1867837905883789,0.1867837905883789,0.0093698259443044,0.9999998807907104,0.0501646399497985,1.3570947032803818e-07,0.0501685552299022
D_T0_s42_lr0.0001,2,0.2811810420109675,0.017865705330457,0.0414318665862083,0.5,0.5042428950533595,0.7958391265413322,0.7958391265413322,0.0,0.0,0.2041608734586678,1.0,0.7579640746116638,0.7579640746116638,0.0382097400724887,0.9999778270721436,0.0504081919789314,1.3153125166809332e-07,0.0504115484654903
D_T0_s42_lr0.0001,3,0.2738448481856685,0.0369690659322908,0.1764540821313858,0.2340000001713633,0.5000491190581129,0.7858041862239942,0.7858041862239942,0.0,0.0,0.2141958137760058,1.0,4.438613414764404,4.4386138916015625,0.2250502556562423,0.9922266602516174,0.050689723342657,1.2433253004928704e-07,0.0507024712860584
D_T0_s42_lr0.0001,4,0.2299133796831627,0.1243501253426075,0.2859867513179779,0.2190000000409782,0.4560751663797498,0.7179156034127656,0.7179156034127656,0.0,0.0,0.2820843965872344,1.0,23.6933708190918,23.6933708190918,1.209534764289856,0.7899752259254456,0.0510320737957954,1.527238993048741e-07,0.0510492287576198
D_T0_s42_lr0.0003,0,,0.0,0.0,0.0,0.5029990225043398,0.7958391265413322,0.7958391265413322,0.0,0.0,0.2041608734586678,1.0,0.0,0.0,0.0,1.0,0.0500214584171772,1.2582759723045456e-07,0.05
D_T0_s42_lr0.0003,1,0.2815206548669836,0.0180543076513069,0.0510230176150798,0.3900000001303851,0.504702453876889,0.7896395879023472,0.7896395879023472,0.0,0.0,0.2103604120976528,1.0,1.4956985712051392,1.4956985712051392,0.0755523741245269,0.9996457695961,0.0505303405225276,1.38141857064511e-07,0.0505131296813488
D_T0_s42_lr0.0003,2,0.2369353439345028,0.0986551715859345,0.3352433741092682,0.25,0.4661962736461858,0.7272923101521923,0.7272923101521923,0.0,0.0,0.2727076898478076,1.0,43.25279235839844,43.25279235839844,2.216792345046997,0.6102133989334106,0.0512641184031963,1.26902577335386e-07,0.0512518584728241
D_T0_s42_lr0.0003,3,0.1717471491286169,0.1432793340512684,0.4560701847076416,0.3279999999795109,0.4855113373031821,0.7621881353511922,0.7621881353511922,0.0,0.0,0.2378118646488078,1.0,40.26217269897461,40.26218032836914,2.0637753009796143,0.5347837805747986,0.0512680895626544,1.5445634460320434e-07,0.0512582696974277
D_T0_s42_lr0.0003,4,0.1175750271304623,0.1963333076664379,1.9328521490097048,0.2190000000409782,0.3117474622748299,0.5496955135593549,0.5496955135593549,0.0,0.0,0.4503044864406451,1.0,31.26897621154785,31.26897621154785,1.606307029724121,0.4754624664783478,0.0513769686222076,2.3305864260692038e-07,0.0513705648481845
D_T1_s42_lr0.0001,0,,0.0,0.0,0.0,0.5029990225043398,0.7958391265413322,0.7958391265413322,0.0,0.0,0.2041608734586678,1.0,0.0,0.0,0.0,1.0,0.0500214584171772,1.2582759723045456e-07,0.05
D_T1_s42_lr0.0001,1,0.2662887088622752,0.0922165768558853,0.238891527056694,2.031999999890104,0.4335544159553429,0.6701265044197098,0.6701265044197098,0.0,0.0,0.3298734955802903,1.0,24.1555233001709,24.1555233001709,1.2347166538238523,0.6977128386497498,0.0511177629232406,1.877541251360526e-07,0.0511151850223541
D_T1_s42_lr0.0001,2,0.1091814954079731,0.2228987187548887,0.8304283022880554,1.953000000212341,0.1460629659977382,0.2945619776593639,0.2945619776593639,0.0,0.0,0.705438022340636,1.0,23.911544799804688,23.91154289245605,1.2291855812072754,0.5520762801170349,0.0514022782444953,3.167641864365578e-07,0.0514054857194423
D_T1_s42_lr0.0001,3,0.061077932181511,0.2634678435895373,1.4544183015823364,1.8909999998286369,0.2036665802343943,0.3765984448539124,0.3765984448539124,0.0,0.0,0.6234015551460876,1.0,18.418458938598636,18.418460845947266,0.9484060406684875,0.760816752910614,0.0515079535543918,3.464904239081079e-07,0.0514918603003025
D_T1_s42_lr0.0001,4,0.0433074182141337,0.2719394577685378,1.4943149089813232,1.7809999999590218,0.0814379648702675,0.1883942830212764,0.1883942830212764,0.0,0.0,0.8116057169787235,1.0,21.265655517578125,21.265655517578125,1.0973517894744873,0.6017197370529175,0.0516050942242145,4.671377666909393e-07,0.0516019985079765
D_T1_s42_lr0.0003,0,,0.0,0.0,0.0,0.5029990225043398,0.7958391265413322,0.7958391265413322,0.0,0.0,0.2041608734586678,1.0,0.0,0.0,0.0,1.0,0.0500214584171772,1.2582759723045456e-07,0.05
D_T1_s42_lr0.0003,1,0.1855705647443678,0.1376730738088999,0.5393443703651428,1.952999999979511,0.249926576640949,0.3698029812182252,0.3698029812182252,0.0,0.0,0.6301970187817748,1.0,19.838624954223636,19.838624954223636,1.0211591720581057,0.7442665696144104,0.0514910779893398,2.582215188340342e-07,0.0514735989272594
D_T1_s42_lr0.0003,2,0.0559116144912499,0.2054622542003498,0.9624223709106444,1.7660000000614673,0.0756943246506813,0.1282208875389388,0.1282208875389388,0.0,0.0,0.8717791124610612,1.0,23.237144470214844,23.237144470214844,1.2035144567489624,0.5862746834754944,0.0517791844904422,2.9285519076438504e-07,0.0517924912273883
D_T1_s42_lr0.0003,3,0.0334743683350506,0.1925591707147438,1.5363945960998535,1.8439999998081475,0.1019916400467155,0.2116975632704699,0.2116975632704699,0.0,0.0,0.78830243672953,1.0,20.15414810180664,20.15414810180664,1.0477176904678345,0.6749613285064697,0.0519966259598732,3.715011587246409e-07,0.0519847609102726
D_T1_s42_lr0.0003,4,0.022358260113039,0.1710052328713822,0.9781009554862976,1.9849999998696148,0.0656854201290434,0.0948597225911012,0.0948597225911012,0.0,0.0,0.9051402774088988,1.0,22.894275665283203,22.894275665283203,1.195637822151184,0.5423513054847717,0.0522404611110687,3.362226266290236e-07,0.0522247329354286
D_T2_s42_lr0.0001,0,,0.0,0.0,0.0,0.5029990225043398,0.7958391265413322,0.7958391265413322,0.0,0.0,0.2041608734586678,1.0,0.0,0.0,0.0,1.0,0.0500214584171772,1.2582759723045456e-07,0.05
D_T2_s42_lr0.0001,1,0.9260217457927368,0.2041111446405742,0.5336170196533203,3.203999999910593,0.4214911575903559,0.5871222536835571,0.5871222536835571,0.0,0.0,0.4128777463164429,1.0,25.6181755065918,25.6181755065918,1.310594081878662,0.6256074905395508,0.0511572919785976,2.117013906399734e-07,0.0511582903563976
D_T2_s42_lr0.0001,2,0.3344013469146737,0.6044508272818491,1.521147608757019,3.093000000109896,0.0133267207176125,0.1129049508366396,0.1129049508366396,0.0,0.0,0.8870950491633603,1.0,23.060895919799805,23.060895919799805,1.1868325471878052,0.5296455025672913,0.0514870807528495,4.100093349279632e-07,0.0514650009572505
D_T2_s42_lr0.0001,3,0.1964273048678597,0.7630485917131106,2.955533504486084,2.968000000109896,0.0061319073083778,0.0209033408084641,0.0209033408084641,0.0,0.0,0.979096659191536,1.0,22.9841423034668,22.98414421081543,1.1857999563217163,0.4743166267871856,0.0516034662723541,4.539397195912898e-07,0.0515916943550109
