query_id,product_id,rank,score,zero_score
0,25434,68,0.011409532278776169,False
0,42931,21,0.017767295241355896,False
0,2636,20,0.018610013648867607,False
0,42923,3461,0.0006482463795691729,False
0,41156,146,0.00807775929570198,False
0,5936,3324,0.0006756373913958669,False
0,22390,51,0.012694095261394978,False
0,42929,23,0.017320752143859863,False
0,42928,17,0.019149716943502426,False
0,25428,369,0.004468033090233803,False
0,39428,29,0.015561740845441818,False
0,39429,4,0.02889344096183777,False
0,25433,122,0.008815537206828594,False
0,25432,59,0.012174542061984539,False
0,25431,2,0.030365770682692528,False
0,27534,75,0.010916981846094131,False
0,36910,33,0.014569288119673729,False
0,25429,833,0.0023586819879710674,False
0,2638,3574,0.0006259089568629861,False
0,27541,19,0.018869604915380478,False
0,29746,47,0.01297491043806076,False
0,29744,6,0.02704678475856781,False
0,20026,197,0.006914683151990175,False
0,22391,10,0.023621024563908577,False
0,7465,1,0.03151364624500275,False
0,25427,701,0.0026852451264858246,False
0,25426,52,0.01258669514209032,False
0,1197,24,0.017048554494976997,False
0,15612,18,0.01914069429039955,False
0,7468,7,0.02612903155386448,False
0,25424,746,0.0025482981000095606,False
0,25423,698,0.002689773216843605,False
0,39461,9,0.0257086344063282,False
0,1198,36,0.014218579977750778,False
0,7467,12,0.02261800691485405,False
0,42927,133,0.008559796027839184,False
0,7466,11,0.02301587350666523,False
0,25425,410,0.004104345105588436,False
0,22389,27,0.01570615917444229,False
1,9929,225,0.007507998030632734,False
1,5235,1327,0.0014692298136651516,False
1,37304,1101,0.0018165544606745243,False
1,25973,1360,0.0014354533050209284,False
1,16679,1532,0.001228120643645525,False
1,29449,538,0.003481875406578183,False
1,33698,20,0.02000500075519085,False
1,20054,1081,0.0018483900930732489,False
2,4205,33,0.020627327263355255,False
2,4202,94,0.012647753581404686,False
2,4204,89,0.013008197769522667,False
2,36622,7,0.02854251116514206,False
2,29777,19,0.02500000037252903,False
2,40289,71,0.014702760614454746,False
2,10539,38,0.019487854093313217,False
2,34445,68,0.01490897685289383,False
2,34736,3,0.030330881476402283,False
2,10561,50,0.016626320779323578,False
2,29152,42,0.017705433070659637,False
2,37068,46,0.01728763058781624,False
2,12969,199,0.005101587623357773,False
2,27516,101,0.01207229308784008,False
2,32603,59,0.015714285895228386,False
2,14034,54,0.016298945993185043,False
2,36630,4,0.029386531561613083,False
